rocket_id,current_regime,target_regime,improvement_rank,limiting_factor,current_value,easy_median_value,required_change_pct,prob_lift_to_target_regime
R0068,INFEASIBLE,FRAGILE,5,control_effectiveness,13.426157,8.881821,-33.85,0.0147
R0069,INFEASIBLE,FRAGILE,1,backlash,0.166581,0.046223,-72.25,0.1791
R0069,INFEASIBLE,FRAGILE,2,Iyy,0.022184,0.027866,25.62,0.0153
R0069,INFEASIBLE,FRAGILE,3,p_unstable,1.828732,1.152109,-37.0,0.011
R0069,INFEASIBLE,FRAGILE,4,control_effectiveness,13.881199,8.881821,-36.02,0.0102
R0069,INFEASIBLE,FRAGILE,5,static_margin,0.231125,0.130246,-43.65,0.0041
R0070,INFEASIBLE,FRAGILE,1,backlash,0.217535,0.046223,-78.75,0.0448
R0070,INFEASIBLE,FRAGILE,2,Iyy,0.025634,0.027866,8.71,0.0169
R0070,INFEASIBLE,FRAGILE,3,thrust,38.641712,35.274838,-8.71,0.0146
R0070,INFEASIBLE,FRAGILE,4,max_gimbal_deg,13.719214,11.163395,-18.63,0.0142
R0070,INFEASIBLE,FRAGILE,5,best_u_max_frac,0.914614,0.744226,-18.63,0.0094
R0072,FRAGILE,EASY,1,backlash,0.149565,0.046223,-69.09,0.6943
R0072,FRAGILE,EASY,2,wind_strength,0.341101,0.245771,-27.95,0.061
R0072,FRAGILE,EASY,3,p_unstable,1.54007,1.152109,-25.19,0.0383
R0072,FRAGILE,EASY,4,Iyy,0.026157,0.027866,6.53,0.0251
R0072,FRAGILE,EASY,5,best_u_max_frac,0.628691,0.744226,18.38,0.0235
R0073,INFEASIBLE,FRAGILE,1,static_margin,0.200608,0.130246,-35.07,0.0394
R0073,INFEASIBLE,FRAGILE,2,servo_slew_deg_s,57.868516,74.855953,29.36,0.0309
R0073,INFEASIBLE,FRAGILE,3,thrust,48.271306,35.274838,-26.92,0.0151
R0073,INFEASIBLE,FRAGILE,4,mass,1.685147,1.544939,-8.32,0.0103
R0073,INFEASIBLE,FRAGILE,5,wind_strength,0.116747,0.245771,110.51,0.0072
R0074,INFEASIBLE,FRAGILE,1,p_unstable,1.966841,1.152109,-41.42,0.0884
R0074,INFEASIBLE,FRAGILE,2,static_margin,0.174164,0.130246,-25.22,0.0487
R0074,INFEASIBLE,FRAGILE,3,Cm_alpha,-53.682219,-48.954533,8.81,0.0378
R0074,INFEASIBLE,FRAGILE,4,mass,1.130446,1.544939,36.67,0.032
R0074,INFEASIBLE,FRAGILE,5,thrust,29.248413,35.274838,20.6,0.0262
R0075,FRAGILE,EASY,1,Iyy,0.010039,0.027866,177.57,0.493
R0075,FRAGILE,EASY,2,backlash,0.067778,0.046223,-31.8,0.2477
R0075,FRAGILE,EASY,3,thrust,41.121282,35.274838,-14.22,0.1122
R0075,FRAGILE,EASY,4,deadband,0.004147,0.079617,1819.86,0.0859
R0075,FRAGILE,EASY,5,mass,1.109119,1.544939,39.29,0.0708
R0076,INFEASIBLE,FRAGILE,1,backlash,0.093568,0.046223,-50.6,0.0992
R0076,INFEASIBLE,FRAGILE,2,p_unstable,2.558541,1.152109,-54.97,0.0962
R0076,INFEASIBLE,FRAGILE,3,static_margin,0.213417,0.130246,-38.97,0.0516
R0076,INFEASIBLE,FRAGILE,4,Iyy,0.012681,0.027866,119.75,0.0422
R0076,INFEASIBLE,FRAGILE,5,servo_slew_deg_s,68.942863,74.855953,8.58,0.01
R0077,INFEASIBLE,FRAGILE,1,thrust,49.768247,35.274838,-29.12,0.0558
R0077,INFEASIBLE,FRAGILE,2,Cm_alpha,-67.787464,-48.954533,27.78,0.0284
R0077,INFEASIBLE,FRAGILE,3,backlash,0.233666,0.046223,-80.22,0.0281
R0077,INFEASIBLE,FRAGILE,4,servo_slew_deg_s,66.113847,74.855953,13.22,0.0171
R0077,INFEASIBLE,FRAGILE,5,deadband,0.095459,0.079617,-16.6,0.0083
R0078,INFEASIBLE,FRAGILE,1,p_unstable,2.063726,1.152109,-44.17,0.0328
R0078,INFEASIBLE,FRAGILE,2,static_margin,0.177808,0.130246,-26.75,0.0276
R0078,INFEASIBLE,FRAGILE,3,servo_slew_deg_s,33.681152,74.855953,122.25,0.0156
R0078,INFEASIBLE,FRAGILE,4,backlash,0.084624,0.046223,-45.38,0.0149
R0078,INFEASIBLE,FRAGILE,5,best_u_max_frac,0.82325,0.744226,-9.6,0.0117
