Iyy,keff,td,wind,latency,best_Kd,coarse_peak_sr,kp_floor,kp_ceil,window_ratio,opt_Kp,opt_rms,floor_cens,ceil_cens,infeasible
0.003,39.269908169872416,314.1592653589793,0.4,3,0.5223185083514084,1.0,2.7264371353927146,600.0,220.06742506959594,57.844587523177296,2.242564226110081,False,True,False
0.0037214155039839436,31.657234829998586,253.2578786399887,0.4,3,0.5817399232525222,1.0,2.7614935928880913,600.0,217.27372518452728,54.682648003327024,1.9250026843419867,False,True,False
0.004616311117764017,25.520317306230485,204.16253844984388,0.4,3,2.478919942128873,1.0,2.799750965470341,600.0,214.30477474599377,277.67155894870433,3.5591521438320606,False,True,False
0.005726403921620151,20.573072755979418,164.58458204783534,0.4,3,2.760933556489984,1.0,0.7317777914891831,600.0,819.9210292771901,131.42913354411476,3.2761027629407935,False,True,False
0.0071034427786638935,16.584876964656342,132.67901571725073,0.4,3,3.0750303685911216,1.0,0.7317777914891831,600.0,819.9210292771901,475.6685507183253,3.1539826785175475,False,True,False
0.008811620696060863,13.369813405867864,106.95850724694292,0.4,3,6.699045879356692,1.0,0.7317777914891831,600.0,819.9210292771901,242.96977681808616,3.620129565952769,False,True,False
0.010930567291182214,10.778006426496765,86.22405141197412,0.4,3,3.814488562965484,1.0,0.7317777914891831,600.0,819.9210292771901,280.032556358217,2.399475935501845,False,True,False
0.013559060861581752,8.688634538356514,69.50907630685211,0.4,3,1.1104259259587494,1.0,0.7317777914891831,600.0,819.9210292771901,93.03242674728865,0.8768195431675974,False,True,False
0.016819633103250724,7.004298119133657,56.03438495306926,0.4,3,2.4190961818152736,1.0,0.19126656003378711,600.0,3136.983275560612,210.29948620461766,1.385468619698268,False,True,False
0.02086428113391959,5.646478963422852,45.171831707382815,0.4,3,1.3774520856295376,1.0,0.19126656003378711,600.0,3136.983275560612,152.4179008735851,1.1597957628650628,False,True,False
0.025881553097082673,4.551880023107908,36.415040184863265,0.4,3,3.0008206788785716,1.0,0.19126656003378711,600.0,3136.983275560612,153.54865204070768,1.624287549945324,False,True,False
0.03210533765422235,3.669474707864455,29.35579766291564,0.4,3,6.537377844739861,1.0,0.19126656003378711,600.0,3136.983275560612,294.7402205854083,1.88277092764637,False,True,False
0.039825767102354144,2.9581281939112576,23.66502555129006,0.4,3,14.241873693321397,1.0,0.05,600.0,12000.0,576.7624297639293,2.525307131231062,True,True,False
0.04940274238425145,2.3846798542740917,19.077438834192733,0.4,3,1.0836280236499263,1.0,0.05,600.0,12000.0,62.97601906173467,0.7716129828101584,True,True,False
0.06128271048269263,1.922397419789206,15.379179358313648,0.4,3,1.2069066541449707,1.0,0.05,600.0,12000.0,65.28812423724807,0.8305125584579262,True,True,False
0.07601947630548388,1.5497308089337456,12.397846471469965,0.4,3,0.0,1.0,0.05,600.0,12000.0,19.537144853065158,1.6418357844284663,True,True,False
0.09430001924265584,1.2493075341423365,9.994460273138692,0.4,3,0.0,1.0,0.05,600.0,12000.0,23.596773234446008,1.3763104831605206,True,True,False
0.11697651787853444,1.0071228537675228,8.056982830140182,0.4,3,0.0,1.0,0.05,600.0,12000.0,28.304373142105803,1.3165573756051248,True,True,False
0.14510607574507764,0.811886917241049,6.495095337928392,0.4,3,0.0,1.0,0.05,600.0,12000.0,35.197632331615324,1.255547035491958,True,True,False
