rocket_id,td,original_label,orig_Kp,orig_Kd,new_Kp,new_Kd,kp_ratio_new_over_orig,label_orig_gains_freshseed,nom_sr_orig_gains,under_sr_orig_gains,over_sr_orig_gains,label_new_gains_freshseed,nom_sr_new_gains,under_sr_new_gains,over_sr_new_gains,flip_from_seed_noise,flip_from_search,flip_from_original
R0026,367.97884529976704,FRAGILE,22.73,1.0,58.65987877815546,1.0,2.580724979241331,FRAGILE,0.7142857142857143,0.8571428571428571,0.7142857142857143,FRAGILE,0.5714285714285714,0.8571428571428571,0.5714285714285714,0,0,0
R0028,411.8370450147294,FRAGILE,113.27,1.0,115.62844575768011,1.0,1.0208214510256919,EASY,0.8571428571428571,1.0,1.0,EASY,0.8571428571428571,1.0,1.0,1,0,1
R0236,168.5998668667279,FRAGILE,46.78,1.0,41.78105458855241,1.0,0.8931392601229672,FRAGILE,1.0,1.0,0.5714285714285714,EASY,1.0,0.8571428571428571,0.8571428571428571,0,1,1
R0303,217.5129605955632,FRAGILE,50.74,1.0,58.65987877815546,1.0,1.1560874808465798,FRAGILE,0.5714285714285714,0.8571428571428571,0.42857142857142855,FRAGILE,0.7142857142857143,0.7142857142857143,0.42857142857142855,0,0,0
R0350,330.55956133823173,FRAGILE,36.97,1.0,320.0,4.0,8.655666756829863,FRAGILE,0.5714285714285714,0.5714285714285714,0.5714285714285714,FRAGILE,0.42857142857142855,0.14285714285714285,0.14285714285714285,0,0,0
R0400,214.6999063287188,FRAGILE,19.32,1.0,41.78105458855241,1.0,2.1625804652459837,EASY,0.8571428571428571,0.8571428571428571,1.0,MARGINAL,0.7142857142857143,0.8571428571428571,0.8571428571428571,1,1,1
R0452,168.3853926409828,FRAGILE,16.43,1.0,15.097120013097204,1.0,0.9188752290381743,FRAGILE,1.0,1.0,0.7142857142857143,FRAGILE,0.8571428571428571,1.0,0.5714285714285714,0,0,0
R0612,111.773604397946,FRAGILE,46.78,1.0,21.19609566078763,1.0,0.4531016601279955,EASY,0.8571428571428571,1.0,0.8571428571428571,EASY,1.0,1.0,0.8571428571428571,1,0,1
R0815,143.24327127054778,FRAGILE,59.67,1.0,21.19609566078763,1.0,0.35522198191365223,FRAGILE,0.5714285714285714,1.0,0.42857142857142855,EASY,0.8571428571428571,1.0,1.0,0,1,1
R0859,99.38261865341676,FRAGILE,59.21,1.0,82.35745631970453,1.0,1.3909382928509462,EASY,0.8571428571428571,1.0,1.0,FRAGILE,1.0,1.0,0.7142857142857143,1,1,0
R0906,79.44097470036105,FRAGILE,88.81,1.0,115.62844575768011,1.0,1.3019755180461672,EASY,1.0,1.0,0.8571428571428571,FRAGILE,1.0,1.0,0.5714285714285714,1,1,0
R0969,115.84897376423488,FRAGILE,112.39,1.0,162.34034009544706,1.0,1.4444375842641433,FRAGILE,0.5714285714285714,0.8571428571428571,0.7142857142857143,INFEASIBLE,0.14285714285714285,0.7142857142857143,0.14285714285714285,0,1,1
R1080,89.61299441200431,FRAGILE,113.27,1.0,115.62844575768011,1.0,1.0208214510256919,EASY,1.0,1.0,0.8571428571428571,FRAGILE,1.0,1.0,0.7142857142857143,1,1,0
R1103,55.05358597483785,FRAGILE,88.81,1.0,82.35745631970453,1.0,0.9273444017532319,FRAGILE,1.0,1.0,0.7142857142857143,EASY,1.0,1.0,1.0,0,1,1
R1229,58.81504741996059,FRAGILE,168.58,1.0,162.34034009544706,1.0,0.9629869503822935,FRAGILE,0.5714285714285714,1.0,0.5714285714285714,MARGINAL,0.5714285714285714,1.0,0.8571428571428571,0,1,1
R1293,76.98365259721514,FRAGILE,168.58,1.0,162.34034009544706,1.0,0.9629869503822935,EASY,1.0,1.0,1.0,EASY,1.0,1.0,0.8571428571428571,1,0,1
R1300,174.62530282827237,FRAGILE,132.17,4.0,82.35745631970453,2.0,0.6231176236642546,FRAGILE,0.8571428571428571,0.8571428571428571,0.5714285714285714,FRAGILE,0.8571428571428571,1.0,0.5714285714285714,0,0,0
R1513,283.50681934531883,FRAGILE,12.98,1.0,29.758952096260835,1.0,2.292677357184964,EASY,0.8571428571428571,1.0,0.8571428571428571,EASY,0.8571428571428571,1.0,1.0,1,0,1
R1526,66.78993016253548,FRAGILE,168.58,1.0,21.19609566078763,1.0,0.12573315731870702,MARGINAL,0.7142857142857143,1.0,0.8571428571428571,EASY,1.0,1.0,1.0,1,1,1
R1641,209.91106234246683,FRAGILE,96.31,1.0,82.35745631970453,1.0,0.8551288165268873,FRAGILE,0.8571428571428571,1.0,0.42857142857142855,EASY,0.8571428571428571,1.0,0.8571428571428571,0,1,1
R1645,56.13260415400903,FRAGILE,88.81,1.0,82.35745631970453,1.0,0.9273444017532319,FRAGILE,1.0,1.0,0.7142857142857143,EASY,1.0,1.0,0.8571428571428571,0,1,1
R1672,76.11995954838007,FRAGILE,1.9,1.0,7.658973741837444,1.0,4.031038811493392,MARGINAL,0.8571428571428571,1.0,1.0,EASY,1.0,1.0,0.8571428571428571,1,1,1
R1701,173.3475551633541,FRAGILE,88.81,1.0,41.78105458855241,1.0,0.4704543923944647,FRAGILE,0.5714285714285714,1.0,0.7142857142857143,FRAGILE,0.8571428571428571,1.0,0.5714285714285714,0,0,0
