td,latency_steps,omega_c,sr,rms
199.88145765652598,2,20,0.0,11.565542760929231
199.88145765652598,2,30,0.0,50.129066938908196
199.88145765652598,2,50,0.0,212.22479610283943
199.88145765652598,2,80,0.0,1542.9771497301929
199.88145765652598,2,120,0.0,1040.8788698195444
199.88145765652598,3,2,0.3,8.976110485392729
199.88145765652598,3,3,1.0,4.753274065927959
199.88145765652598,3,5,1.0,2.7881028580804594
199.88145765652598,3,7,1.0,3.046630273951611
199.88145765652598,3,10,0.5,8.581957879738273
199.88145765652598,3,15,0.4,13.386509449711742
199.88145765652598,3,20,0.0,18.27814234684883
199.88145765652598,3,30,0.0,93.61519642958456
199.88145765652598,3,50,0.0,193.53514195623532
199.88145765652598,3,80,0.0,1432.7165749043693
199.88145765652598,3,120,0.0,937.3426941716932
199.88145765652598,4,2,0.2,9.049540529695399
199.88145765652598,4,3,0.9,4.8829868713763265
199.88145765652598,4,5,1.0,3.1565753816623126
199.88145765652598,4,7,0.7,4.277484236245785
199.88145765652598,4,10,0.0,15.758805028757592
199.88145765652598,4,15,0.0,18.733885394080197
199.88145765652598,4,20,0.0,32.66821414756962
199.88145765652598,4,30,0.0,149.4476642286743
199.88145765652598,4,50,0.0,245.16239244711818
199.88145765652598,4,80,0.0,1419.5852304206746
199.88145765652598,4,120,0.0,935.0174636497632
199.88145765652598,6,2,0.2,9.197379730182734
199.88145765652598,6,3,0.9,5.173380844259223
199.88145765652598,6,5,0.6,4.384383655488877
199.88145765652598,6,7,0.2,11.479514946653733
199.88145765652598,6,10,0.0,24.624830830761113
199.88145765652598,6,15,0.0,31.554603574253257
199.88145765652598,6,20,0.0,79.91592508544305
199.88145765652598,6,30,0.0,242.0127958123309
199.88145765652598,6,50,0.0,344.0157595270858
199.88145765652598,6,80,0.0,1502.385475098062
199.88145765652598,6,120,0.0,930.3904155634127
199.88145765652598,8,2,0.2,9.357097722491627
199.88145765652598,8,3,0.6,5.5430302829779325
199.88145765652598,8,5,0.3,6.6584756979564315
199.88145765652598,8,7,0.0,28.63416491859301
199.88145765652598,8,10,0.0,34.50432540594503
199.88145765652598,8,15,0.0,56.67924051928816
199.88145765652598,8,20,0.0,146.94641732791214
199.88145765652598,8,30,0.0,325.5735687905832
199.88145765652598,8,50,0.0,459.5676062029003
199.88145765652598,8,80,0.0,1452.724715262867
199.88145765652598,8,120,0.0,924.8801720028556
199.88145765652598,10,2,0.2,9.516507699771127
199.88145765652598,10,3,0.6,5.966123801399696
199.88145765652598,10,5,0.2,10.97158691207436
199.88145765652598,10,7,0.0,38.264241719131164
199.88145765652598,10,10,0.0,47.231560987528795
199.88145765652598,10,15,0.0,102.94479250018396
199.88145765652598,10,20,0.0,211.4621352105649
199.88145765652598,10,30,0.0,344.8727397003793
199.88145765652598,10,50,0.0,427.8974408884519
199.88145765652598,10,80,0.0,1230.927029872037
199.88145765652598,10,120,0.0,918.4942054226219
199.88145765652598,12,2,0.2,9.690907419136314
199.88145765652598,12,3,0.5,6.527703655280466
199.88145765652598,12,5,0.1,18.642044634046094
199.88145765652598,12,7,0.0,52.369725393482305
199.88145765652598,12,10,0.0,65.01745371375605
199.88145765652598,12,15,0.0,162.0088569489661
199.88145765652598,12,20,0.0,223.49812395925602
199.88145765652598,12,30,0.0,391.6290041236483
199.88145765652598,12,50,0.0,584.49055217396
199.88145765652598,12,80,0.0,1220.4572861511174
199.88145765652598,12,120,0.0,911.2398080957921
