rocket_id,regime,keff_full,keff_simple,authority_ratio,Iyy,servo_slew_deg_s,wind_strength,sr_pid2,rms_pid2,slew_pid2,sr_pidbest,rms_pidbest,slew_pidbest,best_Kp,best_Kd,sr_adrc,best_omega_c,best_omega0,sr_improvement_vs_pid2,sr_improvement_vs_pidbest
R0759,FRAGILE,19.413738246539502,13.542155617121493,0.0,0.0117237357226526,151.6370489080444,0.4068091944970474,0.14285714285714285,15.904035487288228,0.7447619047619047,0.8571428571428571,4.4339476735415095,0.7476190476190476,80.0,1.0,1.0,5.0,10.0,0.8571428571428572,0.1428571428571429
R0866,FRAGILE,13.80472263143398,9.724256093368163,0.0,0.0119979341770969,148.16307898203755,0.0632295385276821,0.0,14.408144098856113,0.7114285714285715,0.5714285714285714,4.263873193431569,0.6816666666666666,80.0,1.0,1.0,5.0,10.0,1.0,0.4285714285714286
R0954,FRAGILE,11.655524830105234,11.559356419035025,0.0,0.0200691556067186,160.4405185155291,0.1305198423496357,0.8571428571428571,9.737660513355843,0.6819047619047619,0.8571428571428571,4.319223592990627,0.6583333333333333,80.0,1.0,1.0,5.0,10.0,0.1428571428571429,0.1428571428571429
R0958,FRAGILE,21.513579004795993,6.834777278114547,0.0,0.0103390964854125,166.06288469924658,0.3905760239746831,0.14285714285714285,16.974126399317356,0.7907142857142857,0.2857142857142857,10.992675723155418,0.8335714285714287,40.0,2.0,1.0,5.0,10.0,0.8571428571428572,0.7142857142857143
R0982,FRAGILE,11.352376242459808,9.378060565514655,0.0,0.0162252508739767,166.6415828278453,0.3409810363448179,0.8571428571428571,7.092416557352917,0.6728571428571428,0.8571428571428571,3.839904357270526,0.6671428571428571,80.0,1.0,1.0,5.0,10.0,0.1428571428571429,0.1428571428571429
R1021,FRAGILE,17.78909358088766,5.588949418437551,0.0,0.0100247784702589,142.28952536366347,0.3620767950540466,0.2857142857142857,16.622807637420312,0.7997619047619047,0.5714285714285714,7.028804911136045,0.7969047619047619,40.0,1.0,1.0,5.0,10.0,0.7142857142857143,0.4285714285714286
R1070,FRAGILE,15.400314651027948,7.275969083842018,0.0,0.0113311066809888,115.32487374025972,0.3313059222616702,0.2857142857142857,14.126425226431962,0.7821428571428573,0.14285714285714285,13.360933650366713,0.8880952380952382,5.0,2.0,1.0,5.0,10.0,0.7142857142857143,0.8571428571428572
R1082,FRAGILE,13.510131742663203,11.730422244696252,0.0,0.0122465570619681,160.95202205260418,0.3988010998452474,0.7142857142857143,10.833456532502984,0.5319047619047619,0.7142857142857143,4.615469852944517,0.5157142857142857,80.0,1.0,1.0,5.0,10.0,0.2857142857142857,0.2857142857142857
R1094,FRAGILE,14.702715474342451,6.669987325505701,0.0,0.0100879889876423,103.55707825683726,0.3244523571195195,0.0,14.01812630394356,0.7459523809523809,0.8571428571428571,6.272873275196113,0.7447619047619048,5.0,1.0,1.0,5.0,10.0,1.0,0.1428571428571429
R1165,FRAGILE,9.907373307121853,7.685070852590153,0.0,0.0204002927299103,124.87133123895912,0.1081205439579263,0.7142857142857143,7.355327923004326,0.633095238095238,0.7142857142857143,6.180068893868548,0.6316666666666667,5.0,1.0,1.0,5.0,10.0,0.2857142857142857,0.2857142857142857
R1171,FRAGILE,16.626157619675,12.32960268229349,0.0,0.0128701545790913,157.69536481309672,0.2362188337055421,0.7142857142857143,11.08802982602838,0.3647619047619048,0.7142857142857143,5.475963727099427,0.4114285714285714,80.0,2.0,1.0,5.0,10.0,0.2857142857142857,0.2857142857142857
R0349,EASY,2.0461691364977113,8.10503225731668,0.0,0.0384541479190392,116.27636634895808,0.3741107590123418,0.8571428571428571,5.883286648928857,0.0,1.0,0.9105821998165428,0.0,80.0,1.0,1.0,5.0,10.0,0.1428571428571429,0.0
R1179,EASY,3.1978429269449573,7.673597295392693,0.0,0.020132598038617,187.05942891378697,0.1749832088286455,1.0,2.9256889752661013,0.0,1.0,0.7003863374713735,0.0,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0951,EASY,5.407033432672605,6.810506120219103,0.0,0.0350385566958044,151.26116864426243,0.1988456095577684,1.0,4.0226672440207265,0.0,1.0,0.8575815829812329,0.0,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0579,EASY,7.89980788447036,6.660719936248193,0.0,0.0261706175018808,114.4944440858528,0.4091777318395014,0.8571428571428571,3.98154396668188,0.0,1.0,1.175505919615386,0.0,80.0,1.0,1.0,5.0,10.0,0.1428571428571429,0.0
R0193,EASY,3.6826865102552833,10.218839211844482,0.0,0.025779869908507,174.8838243723283,0.0754836533621515,1.0,2.1210177525897227,0.0,1.0,0.7583516530645046,0.00023809523809523812,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0737,EASY,6.129164192410402,7.655155973696832,0.0,0.0336476806271285,63.49635297961372,0.129948934810125,1.0,5.2940143974932585,0.5880952380952381,1.0,1.4971309276079812,0.5780952380952381,40.0,1.0,1.0,5.0,10.0,0.0,0.0
R0793,EASY,6.924160630805872,8.393011143337155,0.0,0.0158617922639515,153.50619916555038,0.0804826806391885,1.0,4.324882252242678,0.0,1.0,0.9148366550489537,0.0,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0594,EASY,4.96768956906539,11.51627986710136,0.0,0.031523655708739,107.67707900653852,0.326812565472426,1.0,2.8719538079545477,0.41238095238095235,1.0,0.8649845280336067,0.4107142857142857,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R1041,EASY,4.603473120187357,9.23091342765316,0.0,0.0377912428067354,186.68176429486613,0.2993375290765376,1.0,1.8082399706413048,0.0,1.0,0.5249064669175741,0.00023809523809523812,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0970,EASY,3.0578901936614296,9.01842433708428,0.0,0.0380544566009404,86.17656642946392,0.3852962306674284,1.0,2.944123532152426,0.45,1.0,1.1054452256437375,0.4545238095238095,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0721,EASY,3.513831796227257,8.752134503007479,0.0,0.0280574561296468,123.4687026651639,0.2045289332495319,1.0,2.2319316093457533,0.2942857142857143,1.0,0.756380081239351,0.29190476190476194,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0220,EASY,4.359758482699254,7.56710272976821,0.0,0.0186289344070986,144.57526659157952,0.1095121782729067,1.0,2.263081512540786,0.23404761904761903,1.0,0.6308314321624374,0.2361904761904762,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0764,EASY,4.862718740035872,6.3195565935110425,0.0,0.0268277320339064,118.01131199676358,0.2014909410186848,1.0,2.3739645581661035,0.3735714285714286,1.0,0.7774322860060263,0.374047619047619,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0968,EASY,6.544096163272171,13.535491071461813,0.0,0.0256087712134635,139.0756125650961,0.2780389852999294,0.8571428571428571,5.980710659790845,0.3969047619047619,1.0,0.8889755176993085,0.3888095238095238,80.0,1.0,1.0,5.0,10.0,0.1428571428571429,0.0
R0225,EASY,4.398960219611079,8.890808203459958,0.0,0.0332387212099385,96.16627491259048,0.1897831239684256,1.0,3.20728429970013,0.4164285714285714,1.0,1.185080886705842,0.41500000000000004,15.0,1.0,1.0,5.0,10.0,0.0,0.0
R0353,EASY,4.073682117926523,5.204016359682462,0.0,0.0356793632009572,65.69544885119237,0.1946833023508158,1.0,4.031274383222653,0.5604761904761905,1.0,1.5322498865797998,0.5635714285714286,15.0,1.0,1.0,5.0,10.0,0.0,0.0
R1155,EASY,5.136226295067507,6.51090813347824,0.0,0.0246329498777466,185.0392019421396,0.2867847057998826,1.0,1.1243785667652644,0.13238095238095235,1.0,0.4858741880914253,0.13166666666666665,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0011,EASY,5.722394021876971,13.46279013091037,0.0,0.0247630887575616,87.75706454397438,0.2510418986634238,1.0,4.243681897794129,0.4547619047619048,1.0,1.048498307642341,0.4590476190476191,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0706,EASY,18.258223107544676,13.094288464953166,0.0,0.0107228073436975,175.95811604399736,0.2923552869139085,0.7142857142857143,8.156380295214243,0.0,1.0,2.3238632048007495,0.0,80.0,1.0,1.0,5.0,10.0,0.2857142857142857,0.0
R0311,EASY,6.531905610370088,12.67457451370741,0.0,0.0309801203849102,105.25107225832332,0.1986234525331819,1.0,4.247377456303487,0.3983333333333334,1.0,0.7845453668387619,0.4033333333333333,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0429,EASY,6.471975002706083,6.88834258573218,0.0,0.0227604941917159,132.54484470839324,0.4053537562457094,1.0,3.235588380550109,0.3114285714285714,1.0,0.810939180010992,0.3135714285714286,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0963,EASY,7.471204105981675,11.830631208487857,0.0,0.0207448055499463,116.07210534097143,0.3065583744455881,1.0,3.1989999079079787,0.3502380952380953,1.0,0.7956975020546713,0.3538095238095238,40.0,1.0,1.0,5.0,10.0,0.0,0.0
R0736,EASY,10.590014071191868,11.931647613144843,0.0,0.0214080786885726,61.6599492314208,0.3448860485269825,0.8571428571428571,7.01944183923018,0.6178571428571429,1.0,1.474708337082836,0.62,40.0,1.0,1.0,5.0,10.0,0.1428571428571429,0.0
R0212,EASY,10.009613291611116,9.616431716775686,0.0,0.0192471490074005,149.7773519288815,0.1598633648153024,0.8571428571428571,6.181032404962676,0.5530952380952381,1.0,3.2789898592308453,0.5526190476190476,15.0,1.0,1.0,5.0,10.0,0.1428571428571429,0.0
R0255,EASY,19.836483694832705,13.600565527107552,0.0,0.0102468153446987,154.7377305479218,0.356967947659954,1.0,3.742610611223258,0.4204761904761905,1.0,0.7869971501501156,0.4204761904761905,80.0,1.0,1.0,5.0,10.0,0.0,0.0
