system,arm,F_max,Ixx,latency_steps,gust_strength,keff,Pi,d_sigma,tau_ou,u_max,slew_max,design_idx,Kp_probe,best_kd,sr,fsat,regime,l_pend,m_bob,I_body,tau_max,g_over_l,K_rudder,T_yaw,k_damp
quad,0.10365738986339101,0.5458903796567778,0.005395983027600114,5,0.3568942469837715,10.4866,262.17,0.2994088746760197,0.3,1.0,inf,26,38.0,0.57,1.0,0.8505,saturation,,,,,,,,
quad,0.15924962164621184,0.7039920913770426,0.002143369559953616,3,0.2068185109131077,52.3057,470.75,0.8654231827761598,0.3,1.0,inf,27,63.333,1.0,1.0,0.9329,saturation,,,,,,,,
quad,0.09459585436936471,2.365454628404536,0.0034476419882660692,1,0.2013509381420669,64.903,64.9,1.0454618978500083,0.3,1.0,inf,28,190.0,0.57,1.0,0.973,saturation,,,,,,,,
quad,0.16070447652487085,1.6616097351671464,0.0063090547369122766,2,0.24115214643695598,42.3246,169.3,0.8165331591274969,0.3,1.0,inf,29,95.0,1.0,1.0,0.9158,saturation,,,,,,,,
pendulum,,,,2,,62.1963,248.79,0.06386031005864172,0.5,1.0,inf,0,95.0,1.0,1.0,0.948,saturation,0.4542018814972146,0.12130357999771492,0.030969505820539252,1.9261894785783755,21.598325325431663,,,
pendulum,,,,3,,5.3027,47.72,0.1485735845576369,0.5,1.0,inf,1,63.333,0.01,0.95,0.9212,saturation,0.7990900025730319,0.3240391425303658,0.22968486625786458,1.2179516981218534,12.276464438814484,,,
pendulum,,,,4,,15.4702,247.52,0.0814993671627676,0.5,1.0,inf,2,47.5,0.57,0.95,0.8903,saturation,0.47092459381577484,0.08518338542204586,0.02374831837518209,0.3673918776614265,20.83136053802631,,,
pendulum,,,,2,,4.6322,18.53,0.1309107002927558,0.5,1.0,inf,3,95.0,0.01,0.95,0.9368,saturation,0.6393574854576409,0.34472503804244126,0.18015614403948432,0.8345204963755999,15.343528813114894,,,
pendulum,,,,2,,19.2199,76.88,0.04602757338307461,0.5,1.0,inf,4,95.0,0.32,1.0,0.9516,saturation,0.7089204281488017,0.13903945306596696,0.09043937275530824,1.738235865981412,13.837942328191579,,,
pendulum,,,,1,,2.2334,2.23,0.14440683044842828,0.5,1.0,inf,5,190.0,0.01,0.35,0.9542,saturation,0.2932505066821319,0.29926772943893176,0.028528624582724652,0.06371472385869152,33.45262762199939,,,
pendulum,,,,3,,267.4137,2406.72,0.1209996410823147,0.5,1.0,inf,6,63.333,2.0,1.0,0.9499,saturation,0.23235759737818354,0.08943584975238603,0.006218382186839116,1.6628805671750841,42.219407115117114,,,
pendulum,,,,5,,19.636,490.9,0.11511419495628185,0.5,1.0,inf,7,38.0,1.0,1.0,0.7739,saturation,0.48733350050895313,0.21387269818068955,0.06455445698843766,1.267592902615183,20.129952054916803,,,
pendulum,,,,6,,14.7941,532.59,0.0982370024637046,0.5,1.0,inf,8,31.667,1.0,1.0,0.8111,saturation,0.6806339598879243,0.16168000439088215,0.11130785202259222,1.646698860231576,14.413033404350484,,,
pendulum,,,,4,,178.324,2853.18,0.1260114274781619,0.5,1.0,inf,9,47.5,2.0,1.0,0.9255,saturation,0.2340873739314174,0.1385914250148614,0.010969482709687166,1.9561215100131963,41.907428987921925,,,
pendulum,,,,6,,9.7305,350.3,0.052241169871906926,0.5,1.0,inf,10,31.667,1.0,1.0,0.403,saturation,0.6856008131532205,0.22451871153207514,0.1357930198968512,1.3213312751133937,14.308617801781438,,,
pendulum,,,,5,,125.3802,3134.5,0.13712577816258176,0.5,1.0,inf,11,38.0,2.0,1.0,0.9145,saturation,0.48422986102690285,0.05267330107277451,0.013022162308845344,1.632720970816711,20.258973660145625,,,
pendulum,,,,2,,12.9069,51.63,0.08653071769143457,0.5,1.0,inf,12,95.0,0.01,1.0,0.9471,saturation,0.7272016740583884,0.07132634577786089,0.05160493569701831,0.6660582416803572,13.490067954948543,,,
pendulum,,,,1,,8.8827,8.88,0.0910564590247993,0.5,1.0,inf,13,190.0,0.01,1.0,0.9541,saturation,0.7806919037159508,0.2322385944787695,0.20441593390611193,1.8157748134922655,12.56577652887931,,,
pendulum,,,,1,,3.6769,3.68,0.14293818107543516,0.5,1.0,inf,14,190.0,0.01,0.85,0.9305,saturation,0.47983137141962523,0.19968072892286665,0.06390028370713735,0.23495322116982664,20.444682412023653,,,
pendulum,,,,1,,3.5939,3.59,0.023160738563375333,0.5,1.0,inf,15,190.0,0.01,1.0,0.9327,saturation,0.7473267315561909,0.3256694263986874,0.25065118446650647,0.9008114809500672,13.126788572880582,,,
pendulum,,,,6,,17.7957,640.65,0.12520216085169877,0.5,1.0,inf,16,31.667,1.0,1.0,0.8316,saturation,0.5154364517216475,0.2154842767242659,0.08099216846858306,1.4413131480021686,19.032414116682844,,,
pendulum,,,,5,,94.4519,2361.3,0.059007099639456606,0.5,1.0,inf,17,38.0,2.0,1.0,0.8898,saturation,0.22051763017148793,0.11065565709823018,0.005450520683210136,0.5148121855072025,44.48623900216571,,,
pendulum,,,,4,,19.3284,309.25,0.024505531449285762,0.5,1.0,inf,18,47.5,1.0,1.0,0.8282,saturation,0.5493567833759387,0.2806538627384018,0.10233260401428873,1.9779257610155263,17.857247415268137,,,
pendulum,,,,4,,26.9242,430.79,0.06537891420373222,0.5,1.0,inf,19,47.5,1.0,1.0,0.8796,saturation,0.3561321242625391,0.35333263728504566,0.05230700450171681,1.4083232602704852,27.545956491046873,,,
pendulum,,,,1,,32.9898,32.99,0.09320913558792247,0.5,1.0,inf,20,190.0,0.32,1.0,0.9669,saturation,0.39064678308305606,0.23894229722865906,0.052717251287349214,1.7391328613066592,25.11219962590676,,,
pendulum,,,,3,,11.3504,102.15,0.12352945163825395,0.5,1.0,inf,21,63.333,0.32,1.0,0.9216,saturation,0.5725585912550167,0.23034686889172956,0.10939888233695359,1.241725048392215,17.133617676571795,,,
pendulum,,,,6,,18.95,682.2,0.14954618155280155,0.5,1.0,inf,22,31.667,1.0,1.0,0.7875,saturation,0.5073148573095113,0.26066475200166356,0.07291808004011546,1.3818001291353939,19.337103691435846,,,
pendulum,,,,1,,44.8757,44.88,0.1316532661804015,0.5,1.0,inf,23,190.0,0.32,0.35,0.9827,saturation,0.2845457371093216,0.25849881111162437,0.02790127353062419,1.2520878054405502,34.47600410274651,,,
pendulum,,,,2,,36.2317,144.93,0.09696076066258681,0.5,1.0,inf,24,95.0,0.57,0.5,0.958,saturation,0.3108319461221736,0.11154503780456945,0.01615048072755369,0.5851598936035088,31.560462566303098,,,
pendulum,,,,3,,21.3066,191.76,0.10217462115223977,0.5,1.0,inf,25,63.333,0.57,0.85,0.9427,saturation,0.44231134902668956,0.311092609106177,0.08965966356465001,1.9103404377131596,22.178947073338726,,,
pendulum,,,,6,,43.116,1552.18,0.13537860821304912,0.5,1.0,inf,26,31.667,2.0,1.0,0.8214,saturation,0.3509133804372571,0.23040300287433196,0.0329806189638288,1.42199396821366,27.955616818532846,,,
pendulum,,,,1,,3.065,3.06,0.09944738557300856,0.5,1.0,inf,27,190.0,0.01,0.85,0.9565,saturation,0.5085562477742178,0.3260505766617359,0.11015609607600674,0.33762770826266936,19.289901643987502,,,
pendulum,,,,3,,7.2331,65.1,0.09350696011879706,0.5,1.0,inf,28,63.333,0.01,1.0,0.8942,saturation,0.7564268737297384,0.2358211362901712,0.14602970267365095,1.056250320542208,12.968867633733737,,,
pendulum,,,,6,,5.0743,182.67,0.07836339167318296,0.5,1.0,inf,29,31.667,1.0,1.0,0.3843,saturation,0.7857134882731334,0.2004210380973781,0.17419846501831213,0.883930750983124,12.485467217268647,,,
marine,,,,3,,0.0136,0.12,0.03018650671093638,2.0,1.0,inf,0,63.333,0.01,1.0,0.7353,saturation,,,,,,0.46296568425577994,34.047615057464995,0.029370632812671806
marine,,,,5,,0.0028,0.07,0.021374627282253467,2.0,1.0,inf,1,38.0,0.01,1.0,0.7728,saturation,,,,,,0.07985934012967395,28.904773890951603,0.034596361271417575
marine,,,,3,,0.0111,0.1,0.01988967485136326,2.0,1.0,inf,2,63.333,0.01,1.0,0.5862,saturation,,,,,,0.1943567059212295,17.568569298549157,0.05691983126267326
marine,,,,3,,0.0014,0.01,0.0342465475758146,2.0,1.0,inf,3,63.333,0.01,1.0,0.9007,saturation,,,,,,0.05299473671278261,38.28828628764931,0.02611764842352244
marine,,,,2,,0.0096,0.04,0.022494694526648266,2.0,1.0,inf,4,95.0,0.01,1.0,0.7299,saturation,,,,,,0.3738829499179773,38.774034055762314,0.025790455503336706
marine,,,,6,,0.0046,0.16,0.01728644776946818,2.0,1.0,inf,5,31.667,0.01,1.0,0.4362,saturation,,,,,,0.15281524390175888,33.41759686472423,0.02992435404760073
marine,,,,5,,0.0101,0.25,0.010861323709062912,2.0,1.0,inf,6,38.0,0.01,1.0,0.4884,saturation,,,,,,0.22004587327715813,21.85061599587775,0.045765300172254
marine,,,,4,,0.0391,0.63,0.03838431156848464,2.0,1.0,inf,7,47.5,0.01,1.0,0.4832,saturation,,,,,,0.457378173143229,11.692150685293576,0.08552746427206101
marine,,,,1,,0.0021,0.0,0.019732483742540177,2.0,1.0,inf,8,190.0,0.01,1.0,0.963,saturation,,,,,,0.06654455848344237,31.325704045328152,0.03192266640050626
marine,,,,3,,0.0288,0.26,0.014806280924184168,2.0,1.0,inf,9,63.333,0.01,1.0,0.5973,saturation,,,,,,0.37869007412520284,13.14374211593447,0.07608183355847162
marine,,,,4,,0.0037,0.06,0.03757100838454338,2.0,1.0,inf,10,47.5,0.01,1.0,0.6113,saturation,,,,,,0.13821592003077743,37.49973152072396,0.02666685758662984
marine,,,,4,,0.059,0.94,0.03648606529476012,2.0,1.0,inf,11,47.5,0.01,1.0,0.5335,saturation,,,,,,0.42739844474521616,7.242531303293912,0.13807327274446143
marine,,,,1,,0.0058,0.01,0.038932968691951966,2.0,1.0,inf,12,190.0,0.01,1.0,0.9338,saturation,,,,,,0.18526337614184174,31.90689025511526,0.03134119282714121
marine,,,,5,,0.0298,0.75,0.009496857824614832,2.0,1.0,inf,13,38.0,0.01,1.0,0.357,saturation,,,,,,0.26183725417038106,8.77573667228234,0.11395054766837324
marine,,,,5,,0.0192,0.48,0.02584098570441577,2.0,1.0,inf,14,38.0,0.01,1.0,0.4993,saturation,,,,,,0.20528483596046804,10.702259277800371,0.09343821468372512
marine,,,,2,,0.0334,0.13,0.008313473549063366,2.0,1.0,inf,15,95.0,0.01,1.0,0.6906,saturation,,,,,,0.21126261762292564,6.324346763901067,0.15811909709124913
marine,,,,2,,0.0202,0.08,0.029445818712308718,2.0,1.0,inf,16,95.0,0.01,1.0,0.8518,saturation,,,,,,0.20834093447706908,10.324682344835427,0.09685528005616717
marine,,,,5,,0.0111,0.28,0.021679417046634928,2.0,1.0,inf,17,38.0,0.01,1.0,0.5252,saturation,,,,,,0.1619964706725495,14.55481706044882,0.06870577595354287
marine,,,,4,,0.0086,0.14,0.02405889808921005,2.0,1.0,inf,18,47.5,0.01,1.0,0.6372,saturation,,,,,,0.23610417560192898,27.378943472712454,0.03652441888404721
marine,,,,6,,0.0129,0.46,0.024750835740232312,2.0,1.0,inf,19,31.667,0.01,1.0,0.3977,saturation,,,,,,0.38320951659918495,29.733774323008426,0.033631788185941314
marine,,,,6,,0.0185,0.67,0.013265168007747307,2.0,1.0,inf,20,31.667,0.01,1.0,0.2762,transitional,,,,,,0.4837941297877585,26.11425068709183,0.03829326799310753
marine,,,,6,,0.0112,0.4,0.029802224424276776,2.0,1.0,inf,21,31.667,0.01,1.0,0.5528,saturation,,,,,,0.3190467992611323,28.613682145650273,0.0349483158060458
marine,,,,5,,0.0063,0.16,0.013331789652263743,2.0,1.0,inf,22,38.0,0.01,1.0,0.4026,saturation,,,,,,0.2429489762220126,38.64167843093389,0.025878793070216857
marine,,,,5,,0.0059,0.15,0.0070913437070687525,2.0,1.0,inf,23,38.0,0.01,1.0,0.673,saturation,,,,,,0.10134326973315355,17.31714413203464,0.05774624224268711
marine,,,,4,,0.0033,0.05,0.02851456407538919,2.0,1.0,inf,24,47.5,0.01,1.0,0.734,saturation,,,,,,0.08798767373901478,26.4961598146998,0.03774131825115314
marine,,,,4,,0.0282,0.45,0.026712174690729687,2.0,1.0,inf,25,47.5,0.01,1.0,0.6453,saturation,,,,,,0.4803939779159695,17.022551529986487,0.058745599814365425
marine,,,,1,,0.0052,0.01,0.008636416721472528,2.0,1.0,inf,26,190.0,0.01,1.0,0.9517,saturation,,,,,,0.19690717564003446,37.733154581382045,0.026501892330343644
marine,,,,6,,0.0607,2.18,0.026656530611800514,2.0,1.0,inf,27,31.667,0.01,1.0,0.4202,saturation,,,,,,0.4559424445510583,7.513768098827542,0.13308901563731268
marine,,,,3,,0.0106,0.1,0.010186647767857288,2.0,1.0,inf,28,63.333,0.01,1.0,0.5608,saturation,,,,,,0.3751000201642175,35.37971292280382,0.028264785590033856
marine,,,,4,,0.0161,0.26,0.03927706181466363,2.0,1.0,inf,29,47.5,0.01,1.0,0.5408,saturation,,,,,,0.484108491725177,30.081382922834514,0.03324315250283619
