rocket_id,label,td,keff,latency,Pi,best_Kp,best_Kd,peak_pid_sr,peak_adrc_sr,adrc_sr_std_ratio,best_wc,best_w0_ratio,sr_delta,adrc_sr_wc0.5,adrc_sr_wc1.0,adrc_sr_wc1.5,adrc_sr_wc2.0,adrc_sr_wc3.0,adrc_sr_wc5.0
S1345,FRAGILE,94.91961820009467,15.77331079162462,12,13668.425020813633,21.19609566078763,1.0,0.2,1.0,1.0,1.5,20,0.8,0.26666666666666666,0.8,1.0,1.0,1.0,0.0
S1363,INFEASIBLE,229.93211315012766,24.610321120904114,12,33110.22429361838,1.971167485616068,0.5,0.3333333333333333,1.0,0.6666666666666666,1.5,20,0.6666666666666667,0.2,0.8666666666666667,1.0,1.0,0.8,0.13333333333333333
S1396,FRAGILE,109.41099084915562,16.581174731182987,11,13238.729892747831,15.097120013097204,0.5,0.7333333333333333,1.0,1.0,1.0,12,0.2666666666666667,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666
S1430,INFEASIBLE,346.48227692894665,39.22381638199298,12,49893.44787776832,82.35745631970453,4.0,0.0,0.9333333333333333,0.4666666666666667,2.0,20,0.9333333333333333,0.4666666666666667,0.4666666666666667,0.8666666666666667,0.9333333333333333,0.4666666666666667,0.06666666666666667
S1440,FRAGILE,82.20894805698146,17.42757931075376,12,11838.088520205329,10.753066807087182,0.5,0.6,1.0,1.0,1.0,20,0.4,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333
S1458,FRAGILE,97.14832302786321,11.813947941666852,10,9714.83230278632,29.758952096260835,0.5,0.7333333333333333,1.0,1.0,0.5,20,0.2666666666666667,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
S1563,INFEASIBLE,154.93768758366983,14.787764263473694,9,12549.952694277255,41.78105458855241,2.0,0.5333333333333333,1.0,1.0,1.0,20,0.4666666666666667,0.6666666666666666,1.0,1.0,1.0,1.0,0.8666666666666667
S1573,FRAGILE,119.82682093473846,14.676356223087815,9,9705.972495713815,58.65987877815546,4.0,0.5333333333333333,1.0,1.0,1.0,20,0.4666666666666667,0.4,1.0,1.0,1.0,1.0,0.7333333333333333
S1589,FRAGILE,80.59832596044895,15.085681665429503,11,9752.397441214322,29.758952096260835,8.0,0.4,1.0,1.0,1.0,12,0.6,0.8666666666666667,1.0,1.0,1.0,1.0,0.7333333333333333
S1644,FRAGILE,83.5553443875406,7.525336137531229,11,10110.196670892412,41.78105458855241,16.0,0.26666666666666666,1.0,1.0,0.5,20,0.7333333333333334,1.0,1.0,1.0,1.0,1.0,0.2
S1675,FRAGILE,87.11975708026405,7.434223710445227,12,12545.245019558024,29.758952096260835,0.5,0.8,1.0,1.0,0.5,20,0.19999999999999996,1.0,1.0,1.0,1.0,1.0,0.26666666666666666
S1812,FRAGILE,138.44840367057924,24.676705443592272,9,11214.320697316918,41.78105458855241,2.0,0.7333333333333333,1.0,0.8,1.0,20,0.2666666666666667,0.4,1.0,1.0,1.0,1.0,0.3333333333333333
S1943,INFEASIBLE,126.05369938309094,11.179776682268026,10,12605.369938309095,41.78105458855241,4.0,0.26666666666666666,1.0,1.0,1.5,20,0.7333333333333334,0.13333333333333333,0.8666666666666667,1.0,1.0,1.0,0.4
S2010,FRAGILE,68.68168819801627,11.681003914735344,12,9890.163100514343,41.78105458855241,1.0,0.6,1.0,1.0,1.0,20,0.4,0.6,1.0,1.0,1.0,1.0,0.6666666666666666
S2011,EASY,88.3462714559389,7.377204181307954,11,10689.898846168608,41.78105458855241,1.0,0.7333333333333333,1.0,1.0,1.0,12,0.2666666666666667,0.8,1.0,1.0,1.0,1.0,0.6
S2028,EASY,111.88761036248953,10.013621326796377,10,11188.761036248952,41.78105458855241,0.5,0.7333333333333333,1.0,1.0,0.5,20,0.2666666666666667,1.0,1.0,1.0,1.0,1.0,1.0
S2032,INFEASIBLE,157.21951685518223,13.438669228602667,10,15721.951685518223,29.758952096260835,1.0,0.4,1.0,1.0,1.5,12,0.6,0.4,0.9333333333333333,1.0,1.0,1.0,0.5333333333333333
S2077,INFEASIBLE,195.2847344237548,24.271625852154536,11,23629.452865274332,41.78105458855241,2.0,0.0,1.0,0.4666666666666667,1.5,20,1.0,0.13333333333333333,0.8,1.0,0.9333333333333333,0.4666666666666667,0.0
S2179,FRAGILE,95.50664891388524,7.986738002256007,12,13752.957443599475,29.758952096260835,32.0,0.06666666666666667,1.0,1.0,1.0,12,0.9333333333333333,0.8666666666666667,1.0,1.0,1.0,1.0,0.2
S2245,FRAGILE,105.69953722523663,19.041604255679477,10,10569.953722523662,29.758952096260835,2.0,0.4666666666666667,1.0,1.0,1.0,20,0.5333333333333333,0.5333333333333333,1.0,1.0,1.0,1.0,0.4
S2270,FRAGILE,75.51351140222002,6.483687181598124,11,9137.134879668622,41.78105458855241,0.5,1.0,1.0,1.0,1.0,12,0.0,0.7333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666
S2307,INFEASIBLE,75.36388724629352,9.071327198659644,11,9119.030356801515,29.758952096260835,1.0,0.6666666666666666,1.0,1.0,0.5,5,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,0.8
