rocket_id,regime_label,theta_ddot_max,nom_sr,under_sr,over_sr,rise_time_best,tracking_rms_best,overshoot_best,rise_time_kp2,tracking_rms_kp2,overshoot_kp2,best_Kp,best_Kd,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s,static_margin
R0028,EASY,69.21654340771406,1.0,1.0,1.0,0.23833333333333342,71.22042699790155,31.479634099098636,1.3166666666666667,22.204803204001113,34.08358027132866,40.0,1.0,0.0152870479661188,1.308540123113688,12.980399035434166,0.3082046486001493,184.1777510854634,0.1707486425414677
R0029,EASY,84.55600658315515,1.0,1.0,1.0,0.26833333333333337,36.17481778758351,21.70335471490368,2.155,14.460771177455578,16.703742842294883,40.0,1.0,0.0110161261912839,1.923316344822992,7.7314608773967635,0.4081360777951867,165.98919621782449,-0.0727450511962246
R0030,EASY,48.28677907166148,1.0,1.0,1.0,0.18166666666666664,40.364732152691516,90.47960142594764,1.0683333333333334,15.478852062149434,24.5826219518254,80.0,1.0,0.0181567679919692,2.260265489318057,6.1854510607405455,0.1483432342650507,107.54481524020912,-0.1326960202370853
R0031,EASY,27.374813069438517,1.0,1.0,1.0,0.42500000000000004,17.74883622435962,16.685056319679234,1.1883333333333335,14.232743758816511,25.14107737049959,15.0,1.0,0.0318722796434162,1.5974808332873367,8.72627803863056,0.1360586752529665,69.42234226061974,-0.0868970765621022
R0032,EASY,18.72229190343161,1.0,1.0,1.0,0.21833333333333335,50.56016721912764,23.167168953605643,1.325,13.813578067990319,26.508556783983504,80.0,1.0,0.0281710473231022,1.3264312369990197,6.341389329091713,0.0819160611791361,181.66229498882373,0.1035531419445034
R0033,EASY,59.31816417132826,1.0,1.0,1.0,0.18333333333333335,62.943340584104675,152.72727139210625,1.2283333333333333,13.690220919325318,25.619764838778206,80.0,1.0,0.0242525016198654,1.6248793159121506,14.237105870106868,0.2541378342591348,149.53746321642075,-0.027828612672936
R0034,EASY,48.32012036541097,1.0,1.0,1.0,0.19333333333333327,123.69417019011568,313.3757380506736,1.1983333333333335,16.263053949675506,29.68022771845908,80.0,1.0,0.0230157163429159,1.7089872275279254,10.414245447790297,0.2196674225879027,85.3660392475548,-0.14625367071089
R0035,EASY,66.79336228414483,1.0,1.0,1.0,0.18000000000000002,32.734983668734834,69.81055836141543,1.2433333333333334,12.51510153005322,22.172189152864533,80.0,1.0,0.0224836129811259,1.9180824076723064,12.561367604349238,0.0733606159515749,181.09937422070976,-0.2904219162622915
R0036,EASY,20.103204679423676,1.0,1.0,1.0,0.445,16.10258541219119,16.138604959942853,1.2750000000000001,14.71804094025162,25.242451633593376,15.0,1.0,0.0236680503821496,1.4182830774861932,5.347066399713583,0.3166415545043645,69.36876659157589,-0.1089597674327204
R0037,EASY,31.053987958311062,1.0,1.0,1.0,0.25333333333333335,28.14870637635205,23.85417549745557,1.24,15.306271459585824,28.52531506151777,40.0,1.0,0.030738661204723,1.4130310442266651,10.81566134596414,0.0570604018832535,146.53245736490746,-0.1170111622722435
R0038,EASY,99.37806096260245,1.0,1.0,1.0,0.17666666666666667,16.808825559711277,28.741340198993427,1.4733333333333334,15.78151982889991,28.964847432893823,80.0,1.0,0.0140551609507432,1.6171547801656203,13.8820078405887,0.3616101907273984,131.9772095165727,-0.1514625685747084
