rocket_id,td,latency_steps,Iyy,motor_scale,max_gimbal_deg,new_Kp,new_Kd,nom_sr,under_sr,over_sr,margin,nom_rms,pass_label
R0124,355.61211476113743,5,0.0061856679803174676,2.5455351654965166,13.753213462797127,162.34034009544706,7.999999999999999,0.4666666666666667,0.7333333333333333,0.6666666666666666,0.6666666666666666,10.70465821387713,extension_td300
R13800,353.41732388214393,1,0.00523404619782701,2.82342243937429,10.427246857507663,320.0,1.0,1.0,1.0,1.0,1.0,0.8908576901197058,extension_td300
R5341,361.3612241604652,2,0.005623219327581827,2.9173056459033595,11.085742101322307,41.78105458855241,1.0,1.0,1.0,1.0,1.0,3.2734104095306504,extension_td300
R13441,398.6953359596213,3,0.006076664407270343,2.9086975786860005,13.256472337529214,82.35745631970453,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,3.361550695113078,extension_td300
R5205,496.23361749807725,4,0.005154023354852247,2.966699542871421,13.720790444382656,162.34034009544706,4.0,0.8,0.6666666666666666,0.8,0.6666666666666666,6.105672907197923,extension_td300
R10585,383.3791830675392,5,0.005555683852692571,2.923524055337276,11.595233848831125,115.62844575768011,2.0,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.3333333333333333,9.209597054077399,extension_td300
R1609,384.29676491317304,5,0.006409491973882543,2.8186348960251864,13.908222948179452,41.78105458855241,1.0,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8666666666666667,4.871878201909481,extension_td300
R17451,423.0435463261481,5,0.005906961931083106,2.8624223208288577,13.89426788416963,41.78105458855241,1.0,0.8,0.6,0.8666666666666667,0.6,6.41674239849873,extension_td300
R11408,388.6257448512731,3,0.005042372648154205,2.342695219261218,13.312844096782774,58.65987877815546,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,3.869441454249873,extension_td300
R8583,385.5404787443428,6,0.0060055358057571565,2.8499615600401476,12.930129432569588,115.62844575768011,2.0,0.6,0.4666666666666667,0.6,0.4666666666666667,10.727206000761383,extension_td300
R17494,411.3676994882904,4,0.005048836626551989,2.538354156319463,13.022351741884288,7.658973741837444,1.0,0.5333333333333333,0.8666666666666667,0.3333333333333333,0.3333333333333333,11.397396027617813,extension_td300
R12021,374.06772038776904,4,0.006332653314161422,2.6823597881908983,14.055265305054952,41.78105458855241,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,5.54882638900578,extension_td300
R7888,379.87016029819443,1,0.005413187041883818,2.6402009967979136,12.395708493954078,320.0,1.0,1.0,1.0,1.0,1.0,0.7435696450454964,extension_td300
