rocket_id,regime,theta_ddot,Iyy,keff_full,best_Kd,Kp,sr,rms_deg,slew_sat
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,16,1.0,1.5113876479773258,0.3326190476190476
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,20,1.0,1.4040081052674103,0.33571428571428574
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,25,1.0,1.2326503422368114,0.3369047619047619
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,32,1.0,1.1115512245164303,0.3352380952380952
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,40,1.0,0.9886928027243973,0.334047619047619
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,51,1.0,0.8871944735780223,0.33142857142857146
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,64,1.0,0.7958711046462345,0.33333333333333337
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,80,1.0,0.7018707476178477,0.33547619047619043
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,101,1.0,0.6746721135326587,0.33333333333333337
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,127,1.0,0.7543951477083091,0.32976190476190476
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,160,1.0,0.7497673062661683,0.3245238095238095
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,202,1.0,0.8217518933226039,0.3211904761904762
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,254,1.0,0.717327356209382,0.32880952380952383
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,320,1.0,1.1937335882981976,0.315
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,1,1.0,1.6146262597720216,0.1326190476190476
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,2,1.0,1.1243785667652644,0.13238095238095235
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,3,1.0,1.00891128654537,0.1311904761904762
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,4,1.0,0.9317656089726756,0.13238095238095235
