rocket_id,pi_bin,keff,lat,Pi,Kp,Kd,Kd_Kp_ratio,sr
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,1.4243997676799955,0.14243997676799955,0.09999999999999999,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,1.4243997676799955,0.4558079256575986,0.32,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,1.4243997676799955,0.57,0.4001685572642242,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,1.4243997676799955,1.4243997676799955,1.0,0.7333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,1.4243997676799955,4.501103265868786,3.16,0.4
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.032429012336791,0.20324290123367914,0.1,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.032429012336791,0.57,0.2804525995939414,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.032429012336791,0.6503772839477732,0.32,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.032429012336791,2.032429012336791,1.0,0.4
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.032429012336791,6.42247567898426,3.16,0.4
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.9000058718882875,0.29000058718882876,0.1,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.9000058718882875,0.57,0.19655132616295515,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.9000058718882875,0.928001879004252,0.32,0.8666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.9000058718882875,2.9000058718882875,1.0,0.6
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,2.9000058718882875,9.164018555166988,3.16,0.2
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,4.137922656062213,0.41379226560622134,0.1,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,4.137922656062213,0.57,0.13775027891469369,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,4.137922656062213,1.3241352499399082,0.32,0.8
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,4.137922656062213,4.137922656062213,1.0,0.3333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,4.137922656062213,13.075835593156594,3.16,0.13333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,5.904265254609298,0.57,0.09654037808599751,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,5.904265254609298,0.5904265254609298,0.1,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,5.904265254609298,1.8893648814749753,0.32,0.8666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,5.904265254609298,5.904265254609298,1.0,0.3333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,5.904265254609298,18.657478204565383,3.16,0.26666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,8.42460120556262,0.57,0.06765898896479974,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,8.42460120556262,0.8424601205562621,0.1,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,8.42460120556262,2.6958723857800386,0.32,0.7333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,8.42460120556262,8.42460120556262,1.0,0.5333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,8.42460120556262,26.621739809577882,3.16,0.13333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,12.020785383475069,0.57,0.04741786678793691,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,12.020785383475069,1.202078538347507,0.1,1.0
