rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code,td,new_label,corrected_label
R0706,706,0.481461206874979,0.8995137088417331,0.0980287448314464,0.0483580432302455,-40.27201323801746,9.045916865446271,1.4706874450359524,149.27543874270228,9.628799491069191,4,0.0022328176105569,0.0283321019209108,0.4056009562930165,43.14,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5706889426596816,1.7472817842739874,0.9832288641004708,1.7472817842739874,0.0,0.1794444444444444,0.0,4.0,0.0,0.0,EASY,2,9.076511337877598,,EASY
R0707,707,0.0,0.7963465358589269,0.0516513248372501,-0.2737278771103592,-32.43737838191876,8.636400496333366,1.8859569856101484,151.7014920432187,14.446651645104888,1,0.1436002352292012,0.098865843813677,0.351258643269059,81.89,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4832833917369991,1.527608949964256,0.9954447570803842,1.527608949964256,0.0,0.0338888888888888,0.0,6.666666666666667,0.0,0.0,EASY,2,33.14342507248483,,EASY
R0708,708,0.0,0.5903606389568866,0.0898389572454668,-0.1833300065386504,-16.449028195903352,10.767725492932517,1.9302729972288235,73.89146092762206,6.1411584153934005,1,0.0304703018797756,0.1040070733603107,0.143370364843234,81.89,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6971338011639451,1.663192860699715,0.7824363735159755,1.663192860699715,0.0,0.1172222222222222,0.0,7.333333333333333,0.0,0.0005546311702717,EASY,2,8.290566394718926,,EASY
R0709,709,0.0,0.5758201796104363,0.0090262583140325,-0.0117987637140569,-43.40752514736722,8.01003478099058,2.620973334375196,170.15741959210277,6.586035900551872,5,0.0770269563609589,0.0169194081632018,0.1444500767942538,88.81,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.4610091652097612,4.2870422695599855,1.946289900388276,4.2870422695599855,0.0,0.1427777777777777,2.95,14.333333333333334,0.0,0.0,EASY,2,120.15969202344482,EASY,EASY
R0710,710,0.0,0.6897614263404815,0.0370704781454916,-0.2886011689316273,-76.29049183345423,13.19600502266122,2.331783061197326,165.8927636722676,7.275427239937489,3,0.1297000788251044,0.0636173383819867,0.0524846470517881,19.32,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5539408507076192,2.6000148134195995,1.0585322231765986,2.6000148134195995,0.0,0.0016666666666666,1.0,5.0,0.0,0.0,EASY,2,28.75400378337655,,EASY
R0711,711,5.137459674432209,0.6416213596929443,0.0846227310218743,0.149968348044612,-85.36260754579533,7.189598896526924,0.5581315512866191,91.8542808740538,8.99942760668141,3,0.0387352194035883,0.1280682118915089,0.442549482157166,69.63,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8480311861521646,3.1507425396980087,1.7813885594226022,3.1507425396980087,0.0,0.0738888888888888,1.835,3.333333333333333,0.0,0.0,EASY,2,3.7294457396376783,,EASY
R0712,712,0.0,0.7828578199792474,0.0566038346868244,-0.0254436817458703,-62.49804304347405,9.248719484032502,0.8798052089468257,164.21183913172212,4.111675881714543,2,0.1324159245571351,0.097595208506335,0.2744591012879906,133.21,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4716723441838653,1.1366910439750155,0.6783400070616121,1.1366910439750155,0.0,0.0,0.0,6.0,0.0,0.0,EASY,2,4.015498017212879,,EASY
R0713,713,0.8695937966180317,0.839540555640274,0.0895710317467651,0.1574207098500977,-31.85976055330364,11.18468805901307,2.990024499146265,143.67777309644447,13.541295700364405,2,0.0614363731076407,0.1738654380588039,0.2235244676766823,69.63,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5177047077968253,2.926397150500075,1.149314115267812,2.926397150500075,0.0,0.0427777777777777,1.0,6.333333333333333,0.0,0.0,EASY,2,28.401891252004418,,EASY
R0714,714,1.65424504565932,0.9532861685788088,0.0151482814176233,0.2550758005680633,-37.43937110667511,9.14330207946831,2.9956756303794387,70.51984976468017,8.591609266969739,2,0.1482843290500065,0.242511255540895,0.2623879601913757,215.01,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8608270499834277,3.8407688052046174,2.2725908552865133,3.8407688052046174,0.0,0.225,1.9516666666666669,13.333333333333334,0.0,0.0,EASY,2,106.75440589186653,EASY,EASY
R0715,715,4.989505181064144,0.7420909686504924,0.0663890213213093,0.2353241474433188,-87.07521133299116,9.711044588055868,1.5160236326443186,74.39758438219437,9.267810547095651,1,0.118862324796888,0.1553942028994208,0.2633946713655998,69.63,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8320607783817872,2.911366138818744,1.2379444237310235,2.911366138818744,0.0,0.0999999999999999,1.9483333333333333,4.666666666666667,0.0,0.0,EASY,2,13.297399619708727,,EASY
