rocket_id,keff,Pi,latency_steps,Kp_ceiling,kp_simple,kp_full,overtuned,false_rejection_v2,sr_simple_in_full,sr_full_in_full,wind_strength,label
R1276,2.4468706218820153,2.4468706218820153,1,380.0,31.43,88.81,0,0,1.0,1.0,0.1683129200625024,EASY
R1277,1.9934126706336623,7.973650682534649,2,190.0,31.43,88.81,0,0,1.0,1.0,0.0570003564417835,EASY
R1278,1.9429229364027505,31.086766982444008,4,95.0,168.58,133.21,1,0,1.0,1.0,0.3650974203465472,EASY
R1279,1.6980127589741079,15.282114830766972,3,126.66666666666667,215.01,133.21,1,0,1.0,1.0,0.092394098271848,EASY
R1280,3.9096122053504403,140.74603939261584,6,63.333333333333336,3.6,24.65,0,1,0.3333333333333333,1.0,0.132503287329689,EASY
R1281,2.3550438158959106,58.87609539739776,5,76.0,2.4,81.89,0,1,0.0,1.0,0.4305141688679922,EASY
R1282,2.2999049528545212,57.49762382136303,5,76.0,182.82,81.89,1,0,1.0,1.0,0.4469947570255091,EASY
R1283,1.996063458504909,1.996063458504909,1,380.0,215.01,96.31,0,0,1.0,1.0,0.2418354312049355,EASY
R1284,3.3141154166900804,53.025846667041286,4,95.0,22.73,24.65,0,0,1.0,1.0,0.2175528296700599,EASY
R1285,8.458287088976402,135.33259342362243,4,95.0,16.56,132.17,0,0,1.0,1.0,0.2148823251485243,EASY
R1286,4.90293120494079,122.57328012351975,5,76.0,3.6,59.67,0,0,0.6666666666666666,1.0,0.1612249576157749,EASY
R1287,0.903013209417465,14.44821135067944,4,95.0,3.6,10.18,0,0,1.0,1.0,0.0545046847526816,EASY
R1288,17.576661671321318,70.30664668528527,2,190.0,320.0,252.87,1,0,1.0,1.0,0.3652402683579223,EASY
R1289,1.9076317309056423,30.522107694490277,4,95.0,10.18,96.31,0,0,1.0,1.0,0.1747382590305662,EASY
R1290,33.60123199191915,302.4110879272723,3,126.66666666666667,320.0,112.39,1,1,0.0,1.0,0.4243547664879606,EASY
R1291,2.3605673400610536,84.98042424219793,6,63.333333333333336,295.07,70.18,1,0,0.6666666666666666,1.0,0.1311001583850662,EASY
R1292,2.547123199453443,40.75397119125509,4,95.0,59.21,81.89,0,0,1.0,1.0,0.1097646980926472,EASY
R1293,8.1332349765574,130.1317596249184,4,95.0,36.68,168.58,0,0,0.6666666666666666,1.0,0.1007419125886206,EASY
R1294,4.561491034727023,18.245964138908093,2,190.0,11.97,59.67,0,0,1.0,1.0,0.0860773444991799,EASY
R1295,2.0205979597103583,18.185381637393224,3,126.66666666666667,113.27,96.31,0,0,1.0,1.0,0.3492661117390886,EASY
R1296,1.4965090760535016,5.986036304214006,2,190.0,155.45,113.27,0,0,1.0,1.0,0.3316672888781524,EASY
R1297,6.959493926260115,173.98734815650286,5,76.0,2.83,59.67,0,1,0.3333333333333333,1.0,0.3984607611088662,EASY
R1298,1.2304326806672412,30.76081701668103,5,76.0,3.32,43.14,0,0,1.0,1.0,0.3207145164659643,EASY
R1299,1.9709202337399447,49.273005843498616,5,76.0,50.74,6.84,0,0,0.6666666666666666,1.0,0.3322942841329965,EASY
R1300,20.85035314019539,521.2588285048848,5,76.0,3.6,132.17,0,1,0.3333333333333333,1.0,0.3905553008421928,FRAGILE
R1301,6.328394729878718,56.95555256890846,3,126.66666666666667,88.81,168.58,0,0,1.0,1.0,0.3862827475139871,EASY
R1302,3.003118198337729,48.049891173403665,4,95.0,295.07,69.63,1,1,0.3333333333333333,1.0,0.3525825625890263,EASY
R1303,1.4000491978570937,22.4007871657135,4,95.0,4.6,88.81,0,0,1.0,1.0,0.3987163063942661,EASY
R1304,6.902600091924648,62.12340082732183,3,126.66666666666667,295.07,295.07,1,0,1.0,1.0,0.2320416165740526,EASY
R1305,2.6543668920955206,95.55720811543874,6,63.333333333333336,59.67,113.27,0,0,1.0,1.0,0.1670541968502605,EASY
R1306,8.666447986244522,216.66119965611307,5,76.0,8.72,31.43,0,1,0.0,1.0,0.2528412544494293,EASY
R1307,2.650084266962894,23.850758402666045,3,126.66666666666667,2.42,24.65,0,1,0.3333333333333333,1.0,0.2288701666204893,EASY
R1308,2.4305202969259803,21.874682672333822,3,126.66666666666667,7.42,81.89,0,0,1.0,1.0,0.4251121314881285,EASY
R1309,11.893456648470035,190.29530637552057,4,95.0,26.73,50.74,0,0,1.0,1.0,0.3128229417207697,EASY
R1310,4.605436482302427,73.68698371683884,4,95.0,2.42,69.63,0,0,0.6666666666666666,1.0,0.2947184271761298,EASY
R1311,2.617065582284355,10.46826232913742,2,190.0,12.98,81.89,0,0,1.0,1.0,0.1002725883331445,EASY
R1312,11.277132605174323,45.10853042069729,2,190.0,46.78,252.87,0,0,1.0,1.0,0.3431617213273589,EASY
R1313,6.45279036685256,103.24464586964096,4,95.0,2.42,24.65,0,0,1.0,1.0,0.2936847379170188,EASY
