rocket_id,regime_label,Kp_sweep,Kd,best_Kp_exp1,sr,rms_deg,peak_deg,Iyy,authority_inertia_ratio,static_margin,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s
R0968,EASY,80,1.0,80.0,1.0,1.003095652072923,2.633475316483594,0.0256087712134635,660.9839099362937,0.1708618802922599,2.133774552250064,7.93288386886497,0.2780389852999294,139.0756125650961
R0968,EASY,120,1.0,80.0,1.0,1.0909237466914536,3.388454654213759,0.0256087712134635,660.9839099362937,0.1708618802922599,2.133774552250064,7.93288386886497,0.2780389852999294,139.0756125650961
R0968,EASY,160,1.0,80.0,1.0,1.4895677132765035,5.3685564055911,0.0256087712134635,660.9839099362937,0.1708618802922599,2.133774552250064,7.93288386886497,0.2780389852999294,139.0756125650961
R0968,EASY,240,1.0,80.0,0.6,2.9587368916259145,12.718722935542877,0.0256087712134635,660.9839099362937,0.1708618802922599,2.133774552250064,7.93288386886497,0.2780389852999294,139.0756125650961
R0968,EASY,320,1.0,80.0,0.6,7.718582416584806,24.62723238608295,0.0256087712134635,660.9839099362937,0.1708618802922599,2.133774552250064,7.93288386886497,0.2780389852999294,139.0756125650961
R0225,EASY,1,1.0,15.0,1.0,4.769125144984796,8.236022056142485,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,2,1.0,15.0,1.0,3.2504380400465935,5.526027122783908,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,3,1.0,15.0,1.0,2.4696348395051997,4.296589943348057,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,5,1.0,15.0,1.0,1.7582054110247896,3.4360284797941816,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,8,1.0,15.0,1.0,1.3554040222718027,2.6836941265727994,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,12,1.0,15.0,1.0,1.1644780914209167,2.2007197412610786,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,20,1.0,15.0,1.0,1.0455969245868864,2.410909313659754,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,30,1.0,15.0,1.0,0.9702345899697082,2.275246199493549,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,40,1.0,15.0,1.0,1.0317965900799806,2.68753307241015,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,60,1.0,15.0,1.0,0.842573063157827,2.2318238262527657,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,80,1.0,15.0,1.0,0.8331539143761908,2.140934558248748,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,120,1.0,15.0,1.0,0.9268154004197745,2.8981677045952847,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,160,1.0,15.0,1.0,1.098937000294031,3.615186345494238,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,240,1.0,15.0,0.6,3.2941157074962866,13.615253358199624,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0225,EASY,320,1.0,15.0,0.0,28.332022488379852,92.40132743207229,0.0332387212099385,705.0463283291126,-0.0897551107457856,1.8616775435374997,12.588022253785162,0.1897831239684256,96.16627491259048
R0353,EASY,1,1.0,15.0,0.8,4.08859366002805,8.538770933290575,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,2,1.0,15.0,1.0,3.594824921245672,6.984463280611263,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,3,1.0,15.0,1.0,3.1188698966571495,5.886948967829428,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,5,1.0,15.0,1.0,2.5367375725926484,4.807127291227924,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,8,1.0,15.0,1.0,2.0012796775605133,3.8568120967085235,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,12,1.0,15.0,1.0,1.856097384984197,3.5345248742358963,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,20,1.0,15.0,1.0,1.7970120950343205,4.667548073088483,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,30,1.0,15.0,1.0,1.6792029249906573,3.8006917327499066,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,40,1.0,15.0,1.0,1.6819198350833005,4.665730547350904,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,60,1.0,15.0,1.0,1.2492795730882764,2.8196899689271975,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,80,1.0,15.0,1.0,1.6833239358247127,5.084969849200909,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,120,1.0,15.0,0.8,2.3591406697904653,8.239089778215755,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,160,1.0,15.0,0.2,12.041390224525191,53.80231460638779,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R0353,EASY,240,1.0,15.0,0.0,94.21553960527442,298.53408521798093,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
