rocket_id,keff,latency,Pi,fsat_floor,frozen_floor,frozen_ceil,opt_Kd,Kp,Kd,sr,kd_mult
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,2.0,0.3333333333333333,2.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,4.0,0.13333333333333333,4.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,8.0,0.2,8.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,0.125,1.0,0.125
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,0.25,1.0,0.25
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,0.5,1.0,0.5
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,0.707,1.0,0.707
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,1.0,0.8,1.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,1.414,0.4,1.414
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,2.0,0.2,2.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,4.0,0.3333333333333333,4.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,8.0,0.26666666666666666,8.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,0.125,1.0,0.125
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,0.25,1.0,0.25
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,0.5,1.0,0.5
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,0.707,1.0,0.707
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,1.0,1.0,1.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,1.414,0.6666666666666666,1.414
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,2.0,0.4,2.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,4.0,0.2,4.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,8.0,0.13333333333333333,8.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,0.637,0.125,1.0,0.125
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,0.637,0.25,1.0,0.25
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,0.637,0.5,0.9333333333333333,0.5
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,0.637,0.707,0.6666666666666666,0.707
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,0.637,1.0,0.5333333333333333,1.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,0.637,1.414,0.06666666666666667,1.414
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,0.637,2.0,0.26666666666666666,2.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,0.637,4.0,0.06666666666666667,4.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,0.637,8.0,0.13333333333333333,8.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.0010000000000001,0.125,1.0,0.125
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.0010000000000001,0.25,1.0,0.25
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.0010000000000001,0.5,0.9333333333333333,0.5
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.0010000000000001,0.707,0.8,0.707
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.0010000000000001,1.0,0.5333333333333333,1.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.0010000000000001,1.414,0.3333333333333333,1.414
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.0010000000000001,2.0,0.2,2.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.0010000000000001,4.0,0.26666666666666666,4.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.0010000000000001,8.0,0.2,8.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.82,0.125,1.0,0.125
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.82,0.25,1.0,0.25
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.82,0.5,1.0,0.5
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.82,0.707,0.9333333333333333,0.707
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.82,1.0,0.8,1.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.82,1.414,0.5333333333333333,1.414
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.82,2.0,0.26666666666666666,2.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.82,4.0,0.06666666666666667,4.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,1.82,8.0,0.0,8.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,2.9120000000000004,0.125,1.0,0.125
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,2.9120000000000004,0.25,1.0,0.25
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,2.9120000000000004,0.5,1.0,0.5
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,2.9120000000000004,0.707,1.0,0.707
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,2.9120000000000004,1.0,0.6666666666666666,1.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,2.9120000000000004,1.414,0.4,1.414
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,2.9120000000000004,2.0,0.6,2.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,2.9120000000000004,4.0,0.06666666666666667,4.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,2.9120000000000004,8.0,0.13333333333333333,8.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,4.55,0.125,1.0,0.125
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,4.55,0.25,1.0,0.25
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,4.55,0.5,1.0,0.5
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,4.55,0.707,1.0,0.707
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,4.55,1.0,0.8,1.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,4.55,1.414,0.6,1.414
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,4.55,2.0,0.4,2.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,4.55,4.0,0.13333333333333333,4.0
R9127,12.31,6,443.0,0.63,1.82,78.68,1.0,4.55,8.0,0.2,8.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.134,0.125,0.9333333333333333,0.125
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.134,0.25,1.0,0.25
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.134,0.5,0.8666666666666667,0.5
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.134,0.707,0.4666666666666667,0.707
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.134,1.0,0.13333333333333333,1.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.134,1.414,0.06666666666666667,1.414
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.134,2.0,0.26666666666666666,2.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.134,4.0,0.06666666666666667,4.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.134,8.0,0.4,8.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.7820000000000003,0.125,0.8,0.125
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.7820000000000003,0.25,1.0,0.25
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.7820000000000003,0.5,0.8666666666666667,0.5
