wind_strength,Kp,sr,rms_deg,osc_score,slew_sat
0.1295,2,0.0,18.055530536740743,1.375,0.85625
0.1295,5,0.0,15.917759800523216,1.375,0.8547916666666666
0.1295,10,0.0,12.701202749838423,1.375,0.8529166666666667
0.1295,20,1.0,8.145225188099007,1.5,0.8535416666666666
0.1295,40,1.0,4.2291539050441465,2.25,0.8525
0.1295,80,1.0,2.9994782634830472,2.5,0.8462500000000001
0.1295,160,1.0,1.8019907350450344,3.75,0.8360416666666667
0.1594,1,0.25,16.292710785585935,1.25,0.8568749999999999
0.1594,2,0.25,15.670712789283533,1.25,0.8564583333333333
0.1594,5,0.25,14.174353074775093,1.25,0.8547916666666666
0.1594,10,0.375,11.481199919409447,1.25,0.8545833333333334
0.1594,20,1.0,7.227186928902711,1.25,0.85375
0.1594,40,1.0,4.250699487804355,2.0,0.8504166666666667
0.1594,80,1.0,2.8978359292972398,2.5,0.843125
0.1594,160,1.0,2.0314651147043663,4.0,0.833125
0.1962,1,0.25,11.960910475048111,2.0,0.8560416666666667
0.1962,2,0.25,11.758404331354344,2.0,0.85625
0.1962,5,0.25,10.603016054639262,2.125,0.8558333333333333
0.1962,10,0.5,8.598148075212848,2.125,0.85375
0.1962,20,0.875,6.034198229471064,2.25,0.8527083333333333
0.1962,40,1.0,3.7315329248104816,2.625,0.849375
0.1962,80,1.0,2.386751944457189,3.25,0.84625
0.1962,160,1.0,1.5728753380948604,4.375,0.8389583333333334
0.2414,1,0.625,7.5737678084824385,2.125,0.8541666666666666
0.2414,2,0.875,7.194182397234677,2.125,0.853125
0.2414,5,0.75,6.8264695282057035,2.125,0.8533333333333333
0.2414,10,0.875,5.907758844656858,2.125,0.8512500000000001
0.2414,20,0.875,5.074155652075643,2.375,0.8514583333333333
0.2414,40,1.0,3.712640295178312,2.625,0.848125
0.2414,80,1.0,2.6979394702381523,3.25,0.8416666666666667
0.2414,160,1.0,1.721770670411106,4.25,0.833125
0.2971,1,0.625,5.526259409386526,1.125,0.8502083333333333
0.2971,2,0.75,5.487513803875647,1.125,0.8502083333333333
0.2971,5,0.75,5.009099289483605,1.375,0.8497916666666667
0.2971,10,1.0,4.101009524240289,1.375,0.8504166666666667
0.2971,20,1.0,3.8121035582292135,1.5,0.8489583333333334
0.2971,40,1.0,3.16433808795957,2.25,0.8464583333333333
0.2971,80,1.0,2.3500200674319602,2.625,0.8410416666666667
0.2971,160,1.0,1.8001945577495972,3.75,0.8310416666666667
0.3657,1,1.0,2.5808382010954394,2.375,0.8464583333333333
0.3657,2,1.0,2.6381774618948333,2.375,0.8466666666666667
0.3657,5,1.0,2.6940828555246217,2.375,0.8464583333333333
0.3657,10,1.0,2.747975386109016,2.5,0.8458333333333333
0.3657,20,1.0,2.4267174528119533,2.375,0.8454166666666667
0.3657,40,1.0,2.385910917089408,2.75,0.8445833333333334
0.3657,80,1.0,1.6725413978411008,4.125,0.8422916666666667
0.3657,160,1.0,1.4775126678910702,4.625,0.8302083333333333
0.45,1,0.875,3.019777016712891,2.125,0.8385416666666666
