rocket_id,keff,lat,Pi_keff,td,kp,adrc,pd,h1,h2,h3,h4,h5
R0322,2.873,6,180.2,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,54.12,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,105.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,204.7,1.0,0.375,0.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,398.11,1.0,0.0,0.0,1.0,1.0,1.0,1.0
R1326,6.788,1,5.9,32.3,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
R1326,6.788,1,5.9,32.3,1.94,1.0,1.0,1.0,0.5,0.5,0.5,0.5
R1326,6.788,1,5.9,32.3,3.78,1.0,1.0,1.0,0.5,0.5,0.5,0.5
R1326,6.788,1,5.9,32.3,7.36,1.0,1.0,1.0,0.5,0.5,0.5,0.5
R1326,6.788,1,5.9,32.3,14.31,1.0,1.0,1.0,0.5,0.5,0.5,0.5
R1326,6.788,1,5.9,32.3,27.83,1.0,1.0,0.625,0.5,0.5,0.5,0.5
R1326,6.788,1,5.9,32.3,54.12,1.0,1.0,0.0,0.5,0.5,0.5,0.5
R1326,6.788,1,5.9,32.3,105.25,1.0,1.0,0.0,0.5,0.5,0.5,0.625
R1326,6.788,1,5.9,32.3,204.7,1.0,1.0,0.0,0.5,0.5,0.875,1.0
R1326,6.788,1,5.9,32.3,398.11,1.0,1.0,0.0,0.5,0.875,1.0,1.0
R0178,2.794,3,34.5,35.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,54.12,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,105.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,204.7,1.0,0.625,0.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,398.11,1.0,0.0,0.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,27.83,1.0,1.0,0.125,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,54.12,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,105.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,204.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,398.11,1.0,0.25,0.0,1.0,1.0,1.0,1.0
R2157,3.949,1,4.3,51.2,1.0,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R2157,3.949,1,4.3,51.2,1.94,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R2157,3.949,1,4.3,51.2,3.78,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R2157,3.949,1,4.3,51.2,7.36,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R2157,3.949,1,4.3,51.2,14.31,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R2157,3.949,1,4.3,51.2,27.83,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R2157,3.949,1,4.3,51.2,54.12,1.0,1.0,0.0,0.375,0.375,0.375,0.375
R2157,3.949,1,4.3,51.2,105.25,1.0,1.0,0.0,0.375,0.375,0.375,0.375
R2157,3.949,1,4.3,51.2,204.7,1.0,0.25,0.0,0.375,0.375,0.375,0.375
R2157,3.949,1,4.3,51.2,398.11,1.0,0.0,0.0,0.375,0.375,0.5,0.875
R1470,3.57,1,4.2,31.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,54.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,105.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,204.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,398.11,1.0,0.125,0.0,1.0,1.0,1.0,1.0
R0574,2.906,4,48.0,34.8,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75
R0574,2.906,4,48.0,34.8,1.94,1.0,1.0,1.0,0.75,0.75,0.75,0.75
R0574,2.906,4,48.0,34.8,3.78,1.0,1.0,1.0,0.75,0.75,0.75,0.75
R0574,2.906,4,48.0,34.8,7.36,1.0,1.0,1.0,0.75,0.75,0.75,0.75
R0574,2.906,4,48.0,34.8,14.31,1.0,1.0,1.0,0.75,0.75,0.75,0.75
R0574,2.906,4,48.0,34.8,27.83,1.0,1.0,1.0,0.75,0.75,0.75,0.75
R0574,2.906,4,48.0,34.8,54.12,1.0,1.0,0.0,0.75,0.75,0.75,0.75
R0574,2.906,4,48.0,34.8,105.25,1.0,1.0,0.0,0.75,0.75,0.75,0.75
R0574,2.906,4,48.0,34.8,204.7,1.0,1.0,0.0,0.75,0.75,0.75,0.875
R0574,2.906,4,48.0,34.8,398.11,1.0,0.0,0.0,0.75,0.75,0.875,1.0
R1437,3.752,4,70.1,46.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
R1437,3.752,4,70.1,46.1,1.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0
R1437,3.752,4,70.1,46.1,3.78,1.0,0.125,0.0,0.0,0.0,0.0,0.0
R1437,3.752,4,70.1,46.1,7.36,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1437,3.752,4,70.1,46.1,14.31,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1437,3.752,4,70.1,46.1,27.83,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1437,3.752,4,70.1,46.1,54.12,1.0,1.0,0.0,0.0,0.0,0.0,0.0
R1437,3.752,4,70.1,46.1,105.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0
R1437,3.752,4,70.1,46.1,204.7,1.0,0.125,0.0,0.0,0.0,0.0,0.0
R1437,3.752,4,70.1,46.1,398.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
R1098,5.243,4,85.1,45.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1098,5.243,4,85.1,45.8,1.94,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1098,5.243,4,85.1,45.8,3.78,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1098,5.243,4,85.1,45.8,7.36,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1098,5.243,4,85.1,45.8,14.31,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1098,5.243,4,85.1,45.8,27.83,1.0,1.0,0.25,0.0,0.0,0.0,0.0
R1098,5.243,4,85.1,45.8,54.12,1.0,1.0,0.0,0.0,0.0,0.0,0.0
R1098,5.243,4,85.1,45.8,105.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0
R1098,5.243,4,85.1,45.8,204.7,1.0,1.0,0.0,0.0,0.0,0.0,0.125
R1098,5.243,4,85.1,45.8,398.11,1.0,0.0,0.0,0.0,0.0,0.125,1.0
R0969,11.428,5,366.0,115.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,14.31,1.0,1.0,0.25,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,27.83,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,54.12,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,105.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,204.7,1.0,0.0,0.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,398.11,1.0,0.0,0.0,1.0,1.0,1.0,1.0
R1474,3.544,6,253.2,69.1,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0
R1474,3.544,6,253.2,69.1,1.94,1.0,0.125,0.0,0.0,0.0,0.0,0.0
R1474,3.544,6,253.2,69.1,3.78,1.0,0.125,0.0,0.0,0.0,0.0,0.0
