p_unstable,tau_act_s,nat_freq_hz,act_bw_hz,disturb_freq_hz,freq_over_nat,freq_over_act_bw,success_rate,mean_theta_rms_deg,best_Kp,best_Kd
6,0.03,0.954929658551372,5.30516476972984,0.7,0.733038285837618,0.131946891450771,1,1.28073201327197,30,10
6,0.03,0.954929658551372,5.30516476972984,1,1.0471975511966,0.188495559215388,1,1.27693562887019,30,10
6,0.03,0.954929658551372,5.30516476972984,1.4,1.46607657167524,0.263893782901543,1,1.27562123668614,30,10
6,0.03,0.954929658551372,5.30516476972984,2,2.0943951023932,0.376991118430775,1,1.27418264676333,30,10
6,0.03,0.954929658551372,5.30516476972984,3,3.14159265358979,0.565486677646163,0.833333333333333,3.83866791618176,30,10
6,0.03,0.954929658551372,5.30516476972984,4.5,4.71238898038469,0.848230016469244,1,1.25303670895479,30,10
6,0.03,0.954929658551372,5.30516476972984,6,6.28318530717959,1.13097335529233,1,1.27330256347382,30,10
6,0.05,0.954929658551372,3.18309886183791,0.2,0.20943951023932,0.0628318530717959,1,1.28037838730143,30,10
6,0.05,0.954929658551372,3.18309886183791,0.4,0.418879020478639,0.125663706143592,1,1.3004970046387,30,10
6,0.05,0.954929658551372,3.18309886183791,0.7,0.733038285837618,0.219911485751285,1,1.29167465241253,30,10
6,0.05,0.954929658551372,3.18309886183791,1,1.0471975511966,0.314159265358979,1,1.29033705855976,30,10
6,0.05,0.954929658551372,3.18309886183791,1.4,1.46607657167524,0.439822971502571,1,1.27664279533202,30,10
6,0.05,0.954929658551372,3.18309886183791,2,2.0943951023932,0.628318530717959,1,1.27286661602088,30,10
6,0.05,0.954929658551372,3.18309886183791,3,3.14159265358979,0.942477796076938,0.833333333333333,2.54869184755259,30,10
6,0.05,0.954929658551372,3.18309886183791,4.5,4.71238898038469,1.41371669411541,0.833333333333333,8.60339333252681,30,10
6,0.05,0.954929658551372,3.18309886183791,6,6.28318530717959,1.88495559215388,1,1.32338612682647,30,10
6,0.08,0.954929658551372,1.98943678864869,0.2,0.20943951023932,0.100530964914873,1,1.2829436479876,30,10
6,0.08,0.954929658551372,1.98943678864869,0.4,0.418879020478639,0.201061929829747,1,1.29608674243372,30,10
6,0.08,0.954929658551372,1.98943678864869,0.7,0.733038285837618,0.351858377202057,1,1.28625206238151,30,10
6,0.08,0.954929658551372,1.98943678864869,1,1.0471975511966,0.502654824574367,1,1.27743337382714,30,10
6,0.08,0.954929658551372,1.98943678864869,1.4,1.46607657167524,0.703716754404114,1,1.27248253577501,30,10
6,0.08,0.954929658551372,1.98943678864869,2,2.0943951023932,1.00530964914873,1,1.27132236802098,30,10
6,0.08,0.954929658551372,1.98943678864869,3,3.14159265358979,1.5079644737231,0.833333333333333,9.19874136418042,30,10
6,0.08,0.954929658551372,1.98943678864869,4.5,4.71238898038469,2.26194671058465,0.833333333333333,1.86150172945855,30,10
6,0.08,0.954929658551372,1.98943678864869,6,6.28318530717959,3.0159289474462,1,1.27949444556267,30,10
6,0.12,0.954929658551372,1.32629119243246,0.2,0.20943951023932,0.15079644737231,1,1.30098115806523,30,10
6,0.12,0.954929658551372,1.32629119243246,0.4,0.418879020478639,0.30159289474462,1,1.30562371863807,30,10
6,0.12,0.954929658551372,1.32629119243246,0.7,0.733038285837618,0.527787565803085,1,1.29894670974902,30,10
6,0.12,0.954929658551372,1.32629119243246,1,1.0471975511966,0.75398223686155,1,1.29333675742337,30,10
6,0.12,0.954929658551372,1.32629119243246,1.4,1.46607657167524,1.05557513160617,1,1.28561131999729,30,10
6,0.12,0.954929658551372,1.32629119243246,2,2.0943951023932,1.5079644737231,1,1.28200527204861,30,10
6,0.12,0.954929658551372,1.32629119243246,3,3.14159265358979,2.26194671058465,0.666666666666667,10.9246213473756,30,10
6,0.12,0.954929658551372,1.32629119243246,4.5,4.71238898038469,3.39292006587698,0.833333333333333,9.13416644000324,30,10
6,0.12,0.954929658551372,1.32629119243246,6,6.28318530717959,4.5238934211693,0.833333333333333,4.19072647148497,30,10
8,0.03,1.27323954473516,5.30516476972984,0.2,0.15707963267949,0.0376991118430775,1,2.20995796836028,10,1
