rocket_id,regime,wind_mult,sr,rms
R0261,EASY,1.5x,1.0,3.660810525169073
R0262,EASY,1.5x,1.0,6.503538942318246
R0263,EASY,1.5x,0.6666666666666666,6.75698133883822
R0264,EASY,1.5x,1.0,1.0738872592528341
R0265,EASY,1.5x,1.0,3.9440774158090393
R0266,EASY,1.5x,1.0,5.273553748404391
R0267,FRAGILE,1.5x,0.3333333333333333,10.293659177882548
R0268,EASY,1.5x,1.0,2.6259442259247527
R0269,EASY,1.5x,1.0,2.781581832345143
R0270,EASY,1.5x,1.0,4.533518654661659
R0271,EASY,1.5x,0.6666666666666666,6.81043798425402
R0272,EASY,1.5x,1.0,2.274133827816375
R0273,EASY,1.5x,0.6666666666666666,5.699917867045863
R0274,EASY,1.5x,1.0,0.9779702002690822
R0275,EASY,1.5x,1.0,3.716785756296033
R0276,EASY,1.5x,1.0,2.287314991140486
R0277,EASY,1.5x,1.0,2.8955390881655063
R0278,EASY,1.5x,1.0,0.5265493375430351
R0279,EASY,1.5x,1.0,4.427028207219817
R0280,EASY,1.5x,1.0,3.9983675213429706
R0281,EASY,1.5x,1.0,3.8614397563351552
R0282,EASY,1.5x,1.0,4.969395238959417
R0283,MARGINAL,1.5x,1.0,5.629044414805986
R0284,EASY,1.5x,1.0,4.670859943944329
R0285,EASY,1.5x,1.0,2.3136958260887623
R0286,EASY,1.5x,1.0,2.7215454387536577
R0287,EASY,1.5x,0.6666666666666666,9.58020598304136
R0288,EASY,1.5x,1.0,5.951905276784525
R0289,EASY,1.5x,1.0,3.0844587930137752
R0290,EASY,1.5x,1.0,2.716677026034194
R0291,EASY,1.5x,1.0,0.8681639466951934
R0292,EASY,1.5x,1.0,2.7366075474273686
R0293,EASY,1.5x,1.0,7.021615226451864
R0294,EASY,1.5x,1.0,1.887237136476856
R0295,EASY,1.5x,1.0,5.042499604482525
R0296,EASY,1.5x,1.0,6.240007884949866
R0297,EASY,1.5x,1.0,4.814535362071578
R0298,EASY,1.5x,1.0,3.9051987492443936
R0299,EASY,1.5x,1.0,2.8224663770734018
R0300,EASY,1.5x,1.0,4.0175828603431425
