label,rocket_id,regime,theta_ddot,Iyy,Kp,sr,rms_deg
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,20,1.0,6.291675710584835
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,26,1.0,4.614192368116563
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,33,1.0,3.865610784437662
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,43,0.8,4.529472043695914
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,55,1.0,3.359028355073112
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,71,0.8,4.3825529636447405
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,91,1.0,4.357242120787272
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,117,1.0,3.571954983744125
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,151,1.0,3.4820056304770093
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,194,1.0,2.4058886211564934
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,249,1.0,2.134710329044627
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,320,1.0,2.145997549063943
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,1,0.0,41.95756595991658
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,2,0.0,52.64803539502604
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,3,0.2,40.91191757013304
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,4,0.0,46.185885281168794
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,5,0.0,42.28159309169161
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,6,0.2,41.44508836864424
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,7,0.2,28.22723866640274
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,10,0.0,30.36128174163389
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,12,0.0,22.33876704596596
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,16,0.0,22.14606236481821
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,20,0.4,14.12839900498425
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,26,0.4,10.93863474725432
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,33,0.0,14.765431145596455
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,43,0.6,11.496589832093473
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,55,1.0,7.4542472951055405
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,71,0.6,10.746778138449773
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,91,1.0,6.655729135948353
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,117,1.0,6.6741718540696455
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,151,1.0,6.1517419051099385
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,194,0.8,6.509264128766025
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,249,0.8,6.678897368582591
FRAG_lo,R0680,FRAGILE,61.854184666392065,0.0265798645710051,320,0.8,4.24269935522427
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,1,0.0,70.94122823776465
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,2,0.0,46.053777981158646
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,3,0.2,36.92363169799246
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,4,0.4,41.16038808696192
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,5,0.0,41.61635330387962
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,6,0.0,40.494022101698825
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,7,0.2,27.08610362720727
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,10,0.2,26.714495519228223
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,12,0.2,23.028074372804603
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,16,0.0,22.79502040427106
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,20,0.0,26.714808259143336
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,26,0.2,25.18757861972772
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,33,0.4,18.042965889969892
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,43,0.4,15.405600212475116
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,55,0.2,15.540588783359187
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,71,0.4,11.034586614397794
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,91,0.2,11.420149396657013
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,117,0.6,9.704558452856109
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,151,0.8,8.084908213457314
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,194,0.4,11.159968646138534
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,249,0.6,8.533667507694608
FRAG_mid,R0091,FRAGILE,115.84425338734634,0.0151299098571188,320,0.8,7.093069434524011
