keff_target,servo_slew,wind_strength,Kp,sr,rms
20.0,200,0.25,5,0.25,31.56259182338291
20.0,200,0.25,10,0.0,35.6995898622278
20.0,200,0.25,20,0.125,18.956479619854182
20.0,200,0.25,40,0.5,14.534128284580625
20.0,200,0.25,80,0.5,9.867957884496942
20.0,200,0.25,160,0.75,8.881858821852928
20.0,200,0.25,320,0.875,5.307042142509723
20.0,300,0.25,2,0.0,54.205303344124765
20.0,300,0.25,5,0.0,36.811374347743204
20.0,300,0.25,10,0.125,38.16966732271558
20.0,300,0.25,20,0.25,20.368161419102194
20.0,300,0.25,40,0.125,19.714914535546836
20.0,300,0.25,80,0.375,14.031828648183815
20.0,300,0.25,160,0.5,9.333384964362768
20.0,300,0.25,320,0.75,9.031616399597416
