Iyy,td,Kp,sr,rms
0.007112665040279458,132.50698447623054,204.40403497781534,1.0,2.8070366791609214
0.007112665040279458,132.50698447623054,245.56219973379717,1.0,2.6159374648167533
0.007112665040279458,132.50698447623054,295.00784534241706,0.9,2.7305022991890393
0.007112665040279458,132.50698447623054,354.4097133350338,1.0,2.497292786135789
0.007112665040279458,132.50698447623054,425.77255788038127,0.8,3.0638951780814234
0.007112665040279458,132.50698447623054,511.50480425075546,0.8,4.2658632719895175
0.007112665040279458,132.50698447623054,614.4998307878476,0.5,5.70505677713724
0.007112665040279458,132.50698447623054,738.2336175540148,0.3,13.916926467183135
0.007112665040279458,132.50698447623054,886.8820572141738,0.1,26.842457408406823
0.007112665040279458,132.50698447623054,1065.461887274313,0.0,118.89662285302146
0.007112665040279458,132.50698447623054,1280.0,0.0,167.4782259532844
0.008483274752854595,111.09834627951867,1.0,0.2,19.070328415208234
0.008483274752854595,111.09834627951867,1.201356909419371,0.0,19.23412354836352
0.008483274752854595,111.09834627951867,1.4432584238096626,0.2,18.599902221822866
0.008483274752854595,111.09834627951867,1.733868479521449,0.3,15.04820910439462
0.008483274752854595,111.09834627951867,2.0829948778975518,0.2,17.982543665010247
0.008483274752854595,111.09834627951867,2.502420288847383,0.5,15.256866793490655
0.008483274752854595,111.09834627951867,3.0062999042780216,0.4,15.091109736943562
0.008483274752854595,111.09834627951867,3.6116391617911954,0.2,13.433160759956149
0.008483274752854595,111.09834627951867,4.338867661347438,0.7,10.497143241220112
0.008483274752854595,111.09834627951867,5.212528644016011,0.4,11.383284267278693
0.008483274752854595,111.09834627951867,6.26210730203502,0.8,11.613638010774102
0.008483274752854595,111.09834627951867,7.523025874825267,0.7,8.76010212431272
0.008483274752854595,111.09834627951867,9.037839114462042,0.8,8.770892433120709
0.008483274752854595,111.09834627951867,10.857670466379624,0.9,7.630501471070735
0.008483274752854595,111.09834627951867,13.043937434983807,0.9,6.16038494335705
0.008483274752854595,111.09834627951867,15.67042436355178,1.0,5.188381561538682
0.008483274752854595,111.09834627951867,18.825772582686582,1.0,5.407432762645906
0.008483274752854595,111.09834627951867,22.616471967368284,0.9,4.073213755095392
0.008483274752854595,111.09834627951867,27.170454864687393,1.0,4.063288519137055
0.008483274752854595,111.09834627951867,32.64141368375937,1.0,3.3738712310433074
0.008483274752854595,111.09834627951867,39.21398786220032,0.9,3.703365276732581
0.008483274752854595,111.09834627951867,47.10999526414169,1.0,3.2540316358868844
0.008483274752854595,111.09834627951867,56.59591831329047,1.0,3.000094580815035
0.008483274752854595,111.09834627951867,67.99189751060582,1.0,2.8624867524429085
0.008483274752854595,111.09834627951867,81.68253585890001,1.0,2.1135304962338117
0.008483274752854595,111.09834627951867,98.12987883298509,1.0,2.6610101989919066
0.008483274752854595,111.09834627951867,117.88900795649232,1.0,2.4666325839483827
0.008483274752854595,111.09834627951867,141.6267742531272,1.0,2.2117391460095313
0.008483274752854595,111.09834627951867,170.14430380777196,1.0,2.372606944500129
0.008483274752854595,111.09834627951867,204.40403497781534,1.0,1.9590241851520507
0.008483274752854595,111.09834627951867,245.56219973379717,1.0,1.8686294499039569
0.008483274752854595,111.09834627951867,295.00784534241706,1.0,1.92821612663156
0.008483274752854595,111.09834627951867,354.4097133350338,1.0,2.702191924247434
0.008483274752854595,111.09834627951867,425.77255788038127,0.9,1.9819988344059318
0.008483274752854595,111.09834627951867,511.50480425075546,0.8,2.9376522766517246
0.008483274752854595,111.09834627951867,614.4998307878476,0.4,7.415996781020782
0.008483274752854595,111.09834627951867,738.2336175540148,0.2,14.450922120334491
0.008483274752854595,111.09834627951867,886.8820572141738,0.0,45.361403347077285
0.008483274752854595,111.09834627951867,1065.461887274313,0.0,90.4707121028028
0.008483274752854595,111.09834627951867,1280.0,0.0,134.16326141998957
0.01011800079504272,93.14861850363778,1.0,0.1,17.489494245292473
0.01011800079504272,93.14861850363778,1.201356909419371,0.2,14.295721900710822
0.01011800079504272,93.14861850363778,1.4432584238096626,0.3,11.84166912141757
0.01011800079504272,93.14861850363778,1.733868479521449,0.4,16.752277389281506
0.01011800079504272,93.14861850363778,2.0829948778975518,0.6,11.170063872238654
0.01011800079504272,93.14861850363778,2.502420288847383,0.4,11.580138831817035
0.01011800079504272,93.14861850363778,3.0062999042780216,0.8,8.961259631830103
0.01011800079504272,93.14861850363778,3.6116391617911954,0.4,9.801739891080272
0.01011800079504272,93.14861850363778,4.338867661347438,0.3,9.075482051510031
0.01011800079504272,93.14861850363778,5.212528644016011,0.5,8.593646869328627
0.01011800079504272,93.14861850363778,6.26210730203502,0.8,8.055408453798258
0.01011800079504272,93.14861850363778,7.523025874825267,0.7,7.459391351527803
0.01011800079504272,93.14861850363778,9.037839114462042,0.9,6.313417577353679
0.01011800079504272,93.14861850363778,10.857670466379624,0.8,5.643634698824074
0.01011800079504272,93.14861850363778,13.043937434983807,1.0,4.763582008889996
0.01011800079504272,93.14861850363778,15.67042436355178,0.9,3.7707288317275953
0.01011800079504272,93.14861850363778,18.825772582686582,1.0,3.9317772120071304
0.01011800079504272,93.14861850363778,22.616471967368284,1.0,3.481076426707697
0.01011800079504272,93.14861850363778,27.170454864687393,1.0,3.327472941240953
0.01011800079504272,93.14861850363778,32.64141368375937,1.0,2.67316568105882
0.01011800079504272,93.14861850363778,39.21398786220032,1.0,3.5020301342117057
0.01011800079504272,93.14861850363778,47.10999526414169,1.0,2.8941453568461597
0.01011800079504272,93.14861850363778,56.59591831329047,1.0,3.100134252777264
0.01011800079504272,93.14861850363778,67.99189751060582,1.0,3.0000574138385447
0.01011800079504272,93.14861850363778,81.68253585890001,1.0,2.714797695787113
0.01011800079504272,93.14861850363778,98.12987883298509,1.0,2.337509450637085
0.01011800079504272,93.14861850363778,117.88900795649232,1.0,2.2090244996193027
0.01011800079504272,93.14861850363778,141.6267742531272,1.0,2.1386846197092213
0.01011800079504272,93.14861850363778,170.14430380777196,1.0,1.5342109946914868
0.01011800079504272,93.14861850363778,204.40403497781534,1.0,1.9910802387415654
0.01011800079504272,93.14861850363778,245.56219973379717,1.0,2.1078923068479556
0.01011800079504272,93.14861850363778,295.00784534241706,1.0,1.9264529964182198
0.01011800079504272,93.14861850363778,354.4097133350338,1.0,1.8162865571873137
0.01011800079504272,93.14861850363778,425.77255788038127,1.0,2.266290708192938
0.01011800079504272,93.14861850363778,511.50480425075546,0.7,2.8421659918911346
0.01011800079504272,93.14861850363778,614.4998307878476,0.7,5.894045064165932
0.01011800079504272,93.14861850363778,738.2336175540148,0.4,11.43692004905181
0.01011800079504272,93.14861850363778,886.8820572141738,0.1,35.84336755459528
0.01011800079504272,93.14861850363778,1065.461887274313,0.0,63.22080742753066
0.01011800079504272,93.14861850363778,1280.0,0.0,100.8159712714994
0.012067738352342844,78.0989584426948,1.0,0.5,9.254459662864884
0.012067738352342844,78.0989584426948,1.201356909419371,0.4,9.515316994447527
0.012067738352342844,78.0989584426948,1.4432584238096626,0.5,9.43512040507196
0.012067738352342844,78.0989584426948,1.733868479521449,0.8,8.072186443514163
0.012067738352342844,78.0989584426948,2.0829948778975518,0.6,7.341592466555068
0.012067738352342844,78.0989584426948,2.502420288847383,0.6,8.436810226300125
0.012067738352342844,78.0989584426948,3.0062999042780216,0.8,6.566384387952691
0.012067738352342844,78.0989584426948,3.6116391617911954,0.6,7.4071002463983175
0.012067738352342844,78.0989584426948,4.338867661347438,0.6,7.203785384146949
0.012067738352342844,78.0989584426948,5.212528644016011,0.8,7.139524076551933
0.012067738352342844,78.0989584426948,6.26210730203502,0.9,4.585116699819538
0.012067738352342844,78.0989584426948,7.523025874825267,0.9,4.920761612834513
0.012067738352342844,78.0989584426948,9.037839114462042,1.0,4.546620702645171
0.012067738352342844,78.0989584426948,10.857670466379624,1.0,3.8114120627715087
0.012067738352342844,78.0989584426948,13.043937434983807,0.9,3.4744842010160943
0.012067738352342844,78.0989584426948,15.67042436355178,1.0,2.6581781878646207
0.012067738352342844,78.0989584426948,18.825772582686582,1.0,2.799895518138632
0.012067738352342844,78.0989584426948,22.616471967368284,1.0,3.3021768752241116
0.012067738352342844,78.0989584426948,27.170454864687393,1.0,2.9213325775896215
0.012067738352342844,78.0989584426948,32.64141368375937,1.0,2.5287553472589326
0.012067738352342844,78.0989584426948,39.21398786220032,1.0,1.5959011801941914
0.012067738352342844,78.0989584426948,47.10999526414169,1.0,2.048787925447315
0.012067738352342844,78.0989584426948,56.59591831329047,1.0,2.068384451366992
0.012067738352342844,78.0989584426948,67.99189751060582,1.0,2.047723288252196
0.012067738352342844,78.0989584426948,81.68253585890001,1.0,1.6117605391345535
0.012067738352342844,78.0989584426948,98.12987883298509,1.0,1.7070416232756713
0.012067738352342844,78.0989584426948,117.88900795649232,1.0,1.9417381643630929
0.012067738352342844,78.0989584426948,141.6267742531272,1.0,1.7908347545102459
0.012067738352342844,78.0989584426948,170.14430380777196,1.0,1.6049441568490432
0.012067738352342844,78.0989584426948,204.40403497781534,1.0,1.4365703633410731
0.012067738352342844,78.0989584426948,245.56219973379717,1.0,1.5471950434445916
0.012067738352342844,78.0989584426948,295.00784534241706,1.0,1.3940996259468608
0.012067738352342844,78.0989584426948,354.4097133350338,1.0,1.8766763143319611
0.012067738352342844,78.0989584426948,425.77255788038127,1.0,1.9502460286096561
0.012067738352342844,78.0989584426948,511.50480425075546,0.8,2.61784231899694
0.012067738352342844,78.0989584426948,614.4998307878476,0.4,4.596416408410176
0.012067738352342844,78.0989584426948,738.2336175540148,0.4,11.683663735611242
0.012067738352342844,78.0989584426948,886.8820572141738,0.0,29.879380945060035
0.012067738352342844,78.0989584426948,1065.461887274313,0.0,84.6738883967719
0.012067738352342844,78.0989584426948,1280.0,0.0,71.79412609761435
0.014393190106484027,65.48081343359445,1.0,0.6,9.840544704152244
0.014393190106484027,65.48081343359445,1.201356909419371,0.6,7.5845683749558415
0.014393190106484027,65.48081343359445,1.4432584238096626,0.6,7.862839171997915
0.014393190106484027,65.48081343359445,1.733868479521449,0.6,8.250709092324836
0.014393190106484027,65.48081343359445,2.0829948778975518,0.5,7.736254392492148
0.014393190106484027,65.48081343359445,2.502420288847383,0.7,7.173289447353244
0.014393190106484027,65.48081343359445,3.0062999042780216,0.7,7.10124659563986
0.014393190106484027,65.48081343359445,3.6116391617911954,0.6,6.7673701912723745
0.014393190106484027,65.48081343359445,4.338867661347438,0.9,6.4138094675387105
