lambda_s,Kp,Kd,sr,rocket_id,td,keff,latency,final_label
2.0,212.89180277662857,106.44590138831428,0.7,R2160,17.562420881770112,2.1321669358272404,2,EASY
2.0,291.81624545362695,145.90812272681347,0.8,R2160,17.562420881770112,2.1321669358272404,2,EASY
2.0,400.0000000000001,200.00000000000006,0.8,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,1.0,0.2,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,1.3707256063767186,0.27414512127534374,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,1.8788886879768232,0.37577773759536465,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,2.575440836141388,0.5150881672282777,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,3.5302227018072676,0.7060445403614535,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,4.838966653579624,0.9677933307159249,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,6.632895500464652,1.3265791000929306,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,9.091879706907822,1.8183759413815643,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,12.462472324355405,2.492494464871081,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,17.082629933755133,3.4165259867510267,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,23.41559827445559,4.683119654891118,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,32.09636014342679,6.419272028685358,0.9,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,43.99530272008423,8.799060544016847,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,60.30548799871475,12.06109759974295,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,82.66227660488225,16.53245532097645,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,113.30729922370725,22.66145984474145,0.9,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,155.3132164353244,31.06264328706488,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,212.89180277662857,42.578360555325716,0.9,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,291.81624545362695,58.36324909072539,0.9,R2160,17.562420881770112,2.1321669358272404,2,EASY
5.0,400.0000000000001,80.00000000000003,0.9,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,1.0,0.1,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,1.3707256063767186,0.13707256063767187,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,1.8788886879768232,0.18788886879768232,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,2.575440836141388,0.25754408361413883,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,3.5302227018072676,0.35302227018072674,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,4.838966653579624,0.48389666535796244,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,6.632895500464652,0.6632895500464653,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,9.091879706907822,0.9091879706907822,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,12.462472324355405,1.2462472324355405,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,17.082629933755133,1.7082629933755134,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,23.41559827445559,2.341559827445559,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,32.09636014342679,3.209636014342679,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,43.99530272008423,4.399530272008423,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,60.30548799871475,6.030548799871475,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,82.66227660488225,8.266227660488225,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
