rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code
R0379,379,0.0,1.470099775093841,0.0317014804600016,-0.1936626283505331,-24.478829263185588,10.940351325536252,1.3163554963281516,95.11804843894278,13.38644866439604,6,0.1341315204947056,0.0599837602823693,0.0915079505337057,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.9218986254530624,3.8712769583044553,1.8282329280292693,3.8712769583044553,0.0,0.0972222222222222,1.8116666666666668,5.333333333333333,0.0,0.0,EASY,2
R0380,380,0.0,1.01269362892165,0.0295916495619488,-0.1377285151450816,-21.88689853045921,12.084801593769887,1.8399579785196616,66.87058684888768,9.719308226544236,4,0.1226832725278435,0.2316475895473073,0.4496743369696221,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.5972078632874958,4.95034533375587,1.8763633039686989,4.95034533375587,0.0,0.12,2.938333333333333,4.333333333333333,0.0,0.0,EASY,2
R0381,381,1.2914842698814135,0.9510156747633114,0.0316879073335787,0.2027408001498999,-31.60570150524842,6.335901227360045,2.21275741062119,119.46880019830448,7.846698601861598,4,0.0033441744166957,0.141120866072829,0.1216578064713775,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6200844926316414,3.240981001717438,1.84842536213283,3.240981001717438,0.0,0.0994444444444444,1.0,8.333333333333334,0.0,0.0,EASY,2
R0382,382,1.6287635715685422,1.1013785995348775,0.0300434122243838,0.1994441388458174,-46.06367361948188,7.791095655109363,2.859844811172984,28.588228484521416,12.15577537589655,3,0.0396253532145658,0.14390989585151,0.2690223235474694,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,2.49179824174128,9.801549158431497,4.195812233672594,9.801549158431497,0.0,0.1222222222222222,2.56,3.6666666666666665,0.0,0.0,EASY,2
R0383,383,0.0,1.2893782157220972,0.0396782804229847,-0.2242198064642033,-76.99420832081502,8.360705847206596,1.846392680591574,22.11487548166893,14.059175348929468,3,0.0390553634747459,0.1712737581108401,0.1403957559852045,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,4.130368816808931,14.080880730542154,2.8937684027602284,14.080880730542154,0.0,0.0983333333333333,2.986666666666667,2.333333333333333,0.0,0.0,EASY,2
R0384,384,0.0,1.2417403119414043,0.0219261592276143,-0.1614148975892178,-89.262379585784,11.20094775571934,2.755619537124148,88.62607014260878,4.613193086254025,3,0.0608295687060841,0.2426348682760513,0.1180282755265644,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.7939993877980255,2.698445047021745,0.7767832321751632,2.698445047021745,0.0,0.1488888888888888,0.96,8.333333333333334,0.0,0.0,EASY,2
R0385,385,0.0,1.9884687241068617,0.0220530630983489,-0.0901284401127379,-85.18983416000104,6.362453712394364,1.4950869372979143,103.06032619812598,5.971533588871064,6,0.1009873807988417,0.0757967985466934,0.1637649915811173,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.2567378578709256,4.1274290938182965,2.0256326992902145,4.1274290938182965,0.0,0.1894444444444444,1.0,4.0,0.0,0.0,EASY,2
R0386,386,0.0,1.285152033198799,0.0116519310007765,-0.0129302295475196,-87.97418711122093,5.171126685931999,2.957126652381825,34.00459446543785,4.338655735659659,5,0.0342630106348003,0.0201384438255289,0.1257836043348891,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.2125758212452304,4.636259045967532,2.2427461053252324,4.636259045967532,0.0,0.4022222222222222,3.0,7.666666666666667,0.0,0.0,EASY,2
R0387,387,0.0,1.7908335666246922,0.0399793329464174,-0.188887366937335,-55.40926229648344,9.717972531540225,1.5525910278666109,42.40023478478429,14.007675120259908,5,0.0128541984461053,0.1626801316997052,0.4205720989042256,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,2.4820645449829226,9.453075666156906,2.1839839807764703,9.453075666156906,0.0,0.1494444444444444,2.583333333333333,3.0,0.0,0.0,EASY,2
R0388,388,0.1273011155013918,1.08726886231986,0.0176888850289335,0.0170146640057382,-26.56935854466338,5.063374604642123,1.1335569400505336,75.91691289107564,6.003655499621623,1,0.0707967960280808,0.1572871518461415,0.1285298701038265,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.318387980985692,5.5049845874072565,3.996605455909325,5.5049845874072565,0.0,0.1155555555555555,2.0,8.666666666666666,0.0,0.0,EASY,2
R0389,389,0.0,2.058709296511854,0.0357185785182354,-0.2666386124704991,-57.070389101834266,7.91899385611573,2.2103847218974333,77.1794619382264,3.0089384834198647,3,0.0606667426551054,0.1594972642796742,0.2842140760004804,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6895817093140028,1.8591878938021331,1.4508734158422707,1.8591878938021331,0.0,0.0,0.0,7.333333333333333,0.0,0.0,EASY,2
R0390,390,1.236277940000609,0.949435851338538,0.0384100606972432,0.2160907228967054,-20.88404425417363,9.094552126469576,1.1977552406321357,54.489980843432434,13.269495299254732,3,0.1477389748578216,0.2255507816030871,0.1369531645654164,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.9984621167988497,6.812426201096429,1.803130791820596,6.812426201096429,0.0,0.1133333333333333,2.5666666666666664,3.0,0.0,0.0,EASY,2
R0391,391,1.5772608812719835,0.9823442209308032,0.0236472062672365,0.1788036984660141,-45.34249418227928,8.414403125567457,2.374956218081842,57.83959772025461,11.397060560923109,2,0.0562446966257854,0.0050034920582616,0.1812352477038959,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.1516569444137026,2.791477239279202,1.5420938018865122,2.791477239279202,0.0,0.6272222222222222,2.465,5.0,0.0,0.0,EASY,2
R0392,392,0.0,1.095241130106463,0.0280144081172197,-0.2100068869053228,-81.11803602341897,10.04331273482912,1.787665856146937,36.36006030616152,13.212168882403882,4,0.043248292867683,0.1059230863861569,0.1432003625793622,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,2.3615098448079923,8.90132471068244,3.5391036791170656,8.90132471068244,0.0,0.1994444444444444,2.566666666666667,3.6666666666666665,0.0,0.0,EASY,2
R0393,393,1.9471717272691569,1.5886010329414106,0.0159777852564646,0.2117827995777015,-46.63415321055976,5.695753432318568,2.312490276486229,73.82046307222471,2.881278974809229,4,0.0263019187323737,0.1515813125513402,0.2433637879634536,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.2548859586243113,5.610947129154708,3.698298345003598,5.610947129154708,0.0,0.0027777777777777,3.0,7.0,0.0,0.0,EASY,2
R0394,394,1.1433365577110282,1.2650612735426237,0.0279744257875361,0.1317518853225562,-30.19524310670125,12.457589623677322,1.08828194194876,23.09968072486993,13.43158975098777,2,0.0346628892930374,0.0709733743143288,0.0835273289660703,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,3.5665944491917885,14.018765177163448,3.263158919568506,14.018765177163448,0.0,0.2405555555555555,3.0,2.333333333333333,0.0,0.0,EASY,2
R0395,395,0.0,1.290271019494917,0.0267869302418291,-0.2503575566315865,-25.67628326134735,11.770452304077216,2.7572132460767937,18.72007231735251,2.2095769934108755,4,0.0315527752776822,0.0748440042023628,0.2136149330568283,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,3.593090001777678,14.850963651431584,5.814785564862053,14.850963651431584,0.0,0.2544444444444445,2.905,3.333333333333333,0.0,0.0,EASY,2
R0396,396,3.3059904394216666,1.8821528084931236,0.0120344918315554,0.2163068009578811,-65.19645241191856,13.72017176109656,1.6356258162705717,97.50860876883584,7.9851631398985,2,0.0592502869336534,0.0461490633472524,0.1316298296343426,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.934485664752,2.6846169827841257,1.6091243750791904,2.6846169827841257,0.0,0.1922222222222222,1.425,7.0,0.0,0.0,EASY,2
