rocket_id,regime,is_fragile,seed,rms,slew_sat,success,peak,td_max,latency
R0840,FRAGILE,1,4,34.53308909897578,0.30833333333333335,0,55.229803409985195,112.45188096717152,5
R0840,FRAGILE,1,5,9.855458662871524,0.31166666666666665,1,19.00891278662303,112.45188096717152,5
R0840,FRAGILE,1,6,24.634199310960316,0.31333333333333335,0,39.275096884174054,112.45188096717152,5
R0840,FRAGILE,1,7,11.654951687206989,0.2916666666666667,0,31.253301732691877,112.45188096717152,5
R0864,FRAGILE,1,1,8.316567950594365,0.7066666666666667,1,14.10376894840134,297.6144442048734,4
R0864,FRAGILE,1,2,17.73980883963116,0.695,0,29.388805974705065,297.6144442048734,4
R0864,FRAGILE,1,3,5.849033190111601,0.7083333333333334,1,10.733357201771474,297.6144442048734,4
R0864,FRAGILE,1,4,23.869705610528445,0.7133333333333334,0,37.86597106587377,297.6144442048734,4
R0864,FRAGILE,1,5,9.918553391655259,0.705,0,19.782977830153317,297.6144442048734,4
R0864,FRAGILE,1,6,17.830447156355635,0.7066666666666667,0,30.395716587051094,297.6144442048734,4
R0864,FRAGILE,1,7,20.794492860118584,0.7183333333333334,0,33.23435875880842,297.6144442048734,4
R0906,FRAGILE,1,1,9.240860990150049,0.5483333333333333,0,20.25422365933625,79.44097470036105,5
R0906,FRAGILE,1,2,7.945434540056989,0.545,1,14.910530901632677,79.44097470036105,5
R0906,FRAGILE,1,3,6.233423390535773,0.56,1,9.925086501859147,79.44097470036105,5
R0906,FRAGILE,1,4,8.134125464009056,0.5416666666666666,0,20.810150064923015,79.44097470036105,5
R0906,FRAGILE,1,5,2.780404533592257,0.5516666666666666,1,9.451953587624596,79.44097470036105,5
R0906,FRAGILE,1,6,6.641677024834137,0.535,1,12.374983251726322,79.44097470036105,5
R0906,FRAGILE,1,7,3.8317782945493657,0.5416666666666666,1,6.4892417604032335,79.44097470036105,5
R0969,FRAGILE,1,1,20.673911528414333,0.4633333333333333,0,36.96552627762813,115.84897376423488,5
R0969,FRAGILE,1,2,10.076896715310587,0.465,0,24.910995469966537,115.84897376423488,5
R0969,FRAGILE,1,3,21.535480714759366,0.47,0,32.431188389945326,115.84897376423488,5
R0969,FRAGILE,1,4,28.865496070282315,0.46166666666666667,0,43.870228580782886,115.84897376423488,5
R0969,FRAGILE,1,5,5.076185978074447,0.4683333333333333,0,15.917055818396644,115.84897376423488,5
R0969,FRAGILE,1,6,19.174795521435072,0.45666666666666667,0,31.84402528033503,115.84897376423488,5
R0969,FRAGILE,1,7,19.089425371369412,0.455,0,31.882538687699856,115.84897376423488,5
R1080,FRAGILE,1,1,7.7640989344825515,0.4683333333333333,1,14.408246940082458,89.61299441200431,5
R1080,FRAGILE,1,2,3.3609533488303853,0.5183333333333333,1,6.775413998623256,89.61299441200431,5
R1080,FRAGILE,1,3,3.270013354354473,0.5266666666666666,1,6.583660237904317,89.61299441200431,5
R1080,FRAGILE,1,4,5.792282011366415,0.4766666666666667,1,12.96625887830239,89.61299441200431,5
R1080,FRAGILE,1,5,6.371557105049936,0.5133333333333333,1,10.97258301643234,89.61299441200431,5
R1080,FRAGILE,1,6,14.608979689957563,0.49,1,22.139436479508905,89.61299441200431,5
R1080,FRAGILE,1,7,3.4460698705590227,0.5166666666666667,1,10.533371529883578,89.61299441200431,5
R1217,FRAGILE,1,1,3.0725919685085854,0.6266666666666667,1,5.507440693186871,143.54577869065147,5
R1217,FRAGILE,1,2,2.5818002600185674,0.5933333333333334,1,8.423586286809716,143.54577869065147,5
R1217,FRAGILE,1,3,3.113784198427639,0.6333333333333333,1,5.826482458192259,143.54577869065147,5
R1217,FRAGILE,1,4,10.969891391335974,0.6183333333333333,1,19.160083501785078,143.54577869065147,5
R1217,FRAGILE,1,5,14.724495014758281,0.6166666666666667,0,24.253886562794133,143.54577869065147,5
R1217,FRAGILE,1,6,8.758606136661712,0.6166666666666667,0,22.730081293060657,143.54577869065147,5
R1217,FRAGILE,1,7,5.472601036691971,0.6383333333333333,1,12.350473834228195,143.54577869065147,5
R1229,FRAGILE,1,1,2.199741524275567,0.39,1,6.569768377319626,58.81504741996059,5
R1229,FRAGILE,1,2,7.119198785435224,0.435,1,13.618444662182553,58.81504741996059,5
R1229,FRAGILE,1,3,5.3055138688217705,0.435,1,8.881220964760871,58.81504741996059,5
R1229,FRAGILE,1,4,8.409646910716813,0.4166666666666667,1,12.554843884512694,58.81504741996059,5
R1229,FRAGILE,1,5,6.968602103130154,0.4033333333333333,1,11.104276271001426,58.81504741996059,5
R1229,FRAGILE,1,6,4.087012446356697,0.4266666666666667,1,7.593080513451904,58.81504741996059,5
R1229,FRAGILE,1,7,5.270224714063006,0.4166666666666667,1,14.242373822509345,58.81504741996059,5
R1300,FRAGILE,1,1,14.91638126675906,0.71,0,33.291887309274806,174.62530282827237,5
R1300,FRAGILE,1,2,10.329923137392655,0.6983333333333334,0,26.530704928534746,174.62530282827237,5
R1300,FRAGILE,1,3,7.732206717019521,0.71,0,19.20725524451636,174.62530282827237,5
R1300,FRAGILE,1,4,22.045958346187216,0.705,0,38.29214099052331,174.62530282827237,5
R1300,FRAGILE,1,5,20.63037097160624,0.715,0,34.93107706071164,174.62530282827237,5
R1300,FRAGILE,1,6,18.57948054863377,0.7233333333333334,0,31.390117903795954,174.62530282827237,5
R1300,FRAGILE,1,7,7.7828027038640215,0.7216666666666667,0,26.31370905010557,174.62530282827237,5
R1319,FRAGILE,1,1,2.9570052695688576,0.49333333333333335,1,6.769569545541005,90.03227526313664,4
R1319,FRAGILE,1,2,3.2299330013626015,0.495,1,5.048729312963888,90.03227526313664,4
R1319,FRAGILE,1,3,5.109988083020923,0.5116666666666667,1,7.506242446727468,90.03227526313664,4
R1319,FRAGILE,1,4,3.464692000518311,0.51,1,6.526871262907875,90.03227526313664,4
R1319,FRAGILE,1,5,7.986327313700156,0.5116666666666667,1,12.394379418828008,90.03227526313664,4
R1319,FRAGILE,1,6,1.6554013007196442,0.47,1,2.9229102442247465,90.03227526313664,4
R1319,FRAGILE,1,7,5.98194508364571,0.52,1,11.318612943493353,90.03227526313664,4
R1439,FRAGILE,1,1,21.766945760715405,0.5066666666666667,0,35.63498585649092,96.30208815896428,5
R1439,FRAGILE,1,2,4.478105619673848,0.53,1,9.084501823598885,96.30208815896428,5
R1439,FRAGILE,1,3,2.441379482408847,0.53,1,4.4835812951834,96.30208815896428,5
R1439,FRAGILE,1,4,13.9158243277013,0.5283333333333333,0,25.59610893793691,96.30208815896428,5
R1439,FRAGILE,1,5,9.770997480090669,0.5316666666666666,1,17.26251801653188,96.30208815896428,5
R1439,FRAGILE,1,6,13.428185980496714,0.54,0,20.417967894050566,96.30208815896428,5
R1439,FRAGILE,1,7,14.34978562201347,0.5316666666666666,0,33.20184551516078,96.30208815896428,5
R1641,FRAGILE,1,1,17.53308581108684,0.5666666666666667,0,45.40071510526633,209.91106234246683,4
R1641,FRAGILE,1,2,15.764140906995378,0.5733333333333334,0,28.484288346769898,209.91106234246683,4
R1641,FRAGILE,1,3,30.609390388495992,0.5833333333333334,0,53.61319554718789,209.91106234246683,4
R1641,FRAGILE,1,4,13.966504557889705,0.5766666666666667,1,22.483337363302173,209.91106234246683,4
R1641,FRAGILE,1,5,6.862467311317314,0.5833333333333334,1,14.722446765346927,209.91106234246683,4
R1641,FRAGILE,1,6,10.603268059596093,0.5816666666666667,1,19.010642575367676,209.91106234246683,4
R1641,FRAGILE,1,7,14.098919683618307,0.58,0,22.185085059075092,209.91106234246683,4
R1701,FRAGILE,1,1,10.490637872935435,0.6566666666666666,1,18.809989897867073,173.3475551633541,5
R1701,FRAGILE,1,2,9.262943306175012,0.6816666666666666,0,18.928636607492443,173.3475551633541,5
R1701,FRAGILE,1,3,5.878237508216946,0.6916666666666667,1,9.657979077742482,173.3475551633541,5
R1701,FRAGILE,1,4,11.127700350218248,0.6716666666666666,0,22.066645871237203,173.3475551633541,5
R1701,FRAGILE,1,5,7.529580763826993,0.685,0,17.650274095889518,173.3475551633541,5
R1701,FRAGILE,1,6,12.138286417438033,0.67,1,20.58329568038827,173.3475551633541,5
R1701,FRAGILE,1,7,10.045888180543997,0.68,1,20.114016513921555,173.3475551633541,5
R1707,FRAGILE,1,1,9.856081587905758,0.49666666666666665,1,15.264183390830038,166.3271113441963,4
R1707,FRAGILE,1,2,15.232828890128797,0.5066666666666667,0,33.60866189913571,166.3271113441963,4
R1707,FRAGILE,1,3,18.82414539760521,0.49666666666666665,0,30.119344011659148,166.3271113441963,4
R1707,FRAGILE,1,4,32.88183661221019,0.5016666666666667,0,51.870379727729826,166.3271113441963,4
R1707,FRAGILE,1,5,6.631590444237477,0.5133333333333333,1,13.34888253301465,166.3271113441963,4
R1707,FRAGILE,1,6,10.981269894197384,0.49333333333333335,0,30.51214391238548,166.3271113441963,4
R1707,FRAGILE,1,7,24.760284724711067,0.49666666666666665,0,38.53330939142546,166.3271113441963,4
R1713,FRAGILE,1,1,24.437641827799563,0.6933333333333334,0,36.66413826712453,122.16500398486026,6
R1713,FRAGILE,1,2,3.0137681121525652,0.6883333333333334,1,6.6695698879038385,122.16500398486026,6
R1713,FRAGILE,1,3,6.253787633964569,0.7166666666666667,1,12.959878017653438,122.16500398486026,6
R1713,FRAGILE,1,4,15.594018386405219,0.725,0,25.68041374570652,122.16500398486026,6
R1713,FRAGILE,1,5,6.995300834544374,0.735,1,11.919380319189477,122.16500398486026,6
R1713,FRAGILE,1,6,13.038654889330504,0.7183333333333334,0,24.214986617825048,122.16500398486026,6
R1713,FRAGILE,1,7,27.338994381522756,0.72,0,44.546839564611126,122.16500398486026,6
R1714,FRAGILE,1,1,10.939120921206555,0.5783333333333334,1,17.80875230581868,133.65978526451477,5
R1714,FRAGILE,1,2,10.267024985932494,0.5583333333333333,1,20.42717418214925,133.65978526451477,5
R1714,FRAGILE,1,3,6.152335191764818,0.6016666666666667,1,13.9948297433289,133.65978526451477,5
R1714,FRAGILE,1,4,10.482613045480898,0.605,1,15.792767888781144,133.65978526451477,5
R1714,FRAGILE,1,5,3.4855738346754648,0.5833333333333334,1,10.43796429866877,133.65978526451477,5
R1714,FRAGILE,1,6,6.384684070900428,0.6016666666666667,1,12.857958180857299,133.65978526451477,5
R1714,FRAGILE,1,7,10.206199958379592,0.595,1,15.963791046477928,133.65978526451477,5
R1715,FRAGILE,1,1,13.359864495324944,0.7333333333333333,1,22.865857498703004,170.13315758703897,6
R1715,FRAGILE,1,2,13.142540434637992,0.735,0,37.22310506035013,170.13315758703897,6
R1715,FRAGILE,1,3,9.775864634006355,0.7416666666666667,1,15.5764921603361,170.13315758703897,6
R1715,FRAGILE,1,4,23.3479269644344,0.745,0,42.884551468681444,170.13315758703897,6
R1715,FRAGILE,1,5,7.317062776276247,0.7566666666666667,1,13.786338815872718,170.13315758703897,6
R1715,FRAGILE,1,6,27.339766932994863,0.7383333333333333,0,44.164735393721145,170.13315758703897,6
R1715,FRAGILE,1,7,8.529296644182288,0.7533333333333333,0,22.103713250587834,170.13315758703897,6
R2072,FRAGILE,1,1,17.829408289349214,0.795,0,64.815308761184,351.3367592924232,6
R2072,FRAGILE,1,2,44.48914606160376,0.7833333333333333,0,86.45937952456286,351.3367592924232,6
R2072,FRAGILE,1,3,30.776568937763063,0.7783333333333333,0,87.3237347171985,351.3367592924232,6
R2072,FRAGILE,1,4,32.109969328686695,0.79,0,56.68848027879002,351.3367592924232,6
R2072,FRAGILE,1,5,24.897959298419313,0.795,0,58.61439733746224,351.3367592924232,6
R2072,FRAGILE,1,6,6.989321547668754,0.7983333333333333,1,14.235196627428644,351.3367592924232,6
R2072,FRAGILE,1,7,17.318984341069523,0.7833333333333333,0,37.96252389244688,351.3367592924232,6
R2080,FRAGILE,1,1,15.328332093479988,0.755,0,29.11003165799505,311.79245101667595,5
R2080,FRAGILE,1,2,26.034916028348785,0.755,0,52.627676159814364,311.79245101667595,5
R2080,FRAGILE,1,3,33.61583600715938,0.7533333333333333,0,76.0804880948031,311.79245101667595,5
R2080,FRAGILE,1,4,32.829806586985185,0.74,0,59.86202488454089,311.79245101667595,5
R2080,FRAGILE,1,5,27.62273469852271,0.7633333333333333,0,48.45128467956473,311.79245101667595,5
R2080,FRAGILE,1,6,10.605323140248032,0.775,1,17.919866819179138,311.79245101667595,5
R2080,FRAGILE,1,7,10.650863877825897,0.7516666666666667,1,20.050813896629613,311.79245101667595,5
R2083,FRAGILE,1,1,10.284613699369071,0.67,1,18.576425967186537,177.62159173197742,5
R2083,FRAGILE,1,2,29.872895528933878,0.6833333333333333,0,45.0672623369322,177.62159173197742,5
R2083,FRAGILE,1,3,9.002256663922653,0.695,1,16.45399070066099,177.62159173197742,5
R2083,FRAGILE,1,4,13.75724090832076,0.67,0,35.4676152573064,177.62159173197742,5
R2083,FRAGILE,1,5,5.189630251805757,0.6733333333333333,1,10.472593157549495,177.62159173197742,5
R2083,FRAGILE,1,6,10.536346922963626,0.6783333333333333,1,23.110052182375973,177.62159173197742,5
R2083,FRAGILE,1,7,10.672091665143704,0.6833333333333333,1,16.112066765875024,177.62159173197742,5
R2106,FRAGILE,1,1,19.305866817971577,0.21333333333333335,0,52.354304512618604,144.84147635852042,6
R2106,FRAGILE,1,2,6.499008475361053,0.215,1,12.589471445069014,144.84147635852042,6
R2106,FRAGILE,1,3,19.906888528414324,0.225,0,35.158561037765324,144.84147635852042,6
R2106,FRAGILE,1,4,27.139442805829294,0.21,0,49.15316954303026,144.84147635852042,6
R2106,FRAGILE,1,5,6.206029811480564,0.21666666666666667,1,10.214532189285713,144.84147635852042,6
R2106,FRAGILE,1,6,18.064757567119642,0.21833333333333332,0,41.83769994332568,144.84147635852042,6
R2106,FRAGILE,1,7,28.25654330943752,0.21333333333333335,0,46.36353111700683,144.84147635852042,6
R2107,FRAGILE,1,1,6.973882020091603,0.5533333333333333,1,12.15516213247707,92.08421691730304,4
R2107,FRAGILE,1,2,3.8863864770138155,0.5533333333333333,1,6.576193870656389,92.08421691730304,4
R2107,FRAGILE,1,3,10.24159748327978,0.535,1,15.90877302168383,92.08421691730304,4
R2107,FRAGILE,1,4,12.378175606602097,0.5866666666666667,1,19.55367689833413,92.08421691730304,4
R2107,FRAGILE,1,5,13.252904550523525,0.545,0,27.9677135618616,92.08421691730304,4
R2107,FRAGILE,1,6,6.027015854966873,0.555,0,16.022779434889774,92.08421691730304,4
R2107,FRAGILE,1,7,6.269497826331129,0.5966666666666667,1,10.390075005719314,92.08421691730304,4
R2139,FRAGILE,1,1,2.6693269575702923,0.61,1,4.82504515489957,175.57769106028084,4
R2139,FRAGILE,1,2,3.329443507207928,0.655,1,7.398739932122138,175.57769106028084,4
R2139,FRAGILE,1,3,14.26293442272788,0.6383333333333333,1,25.022465648219907,175.57769106028084,4
R2139,FRAGILE,1,4,17.938574775843268,0.6533333333333333,0,28.782151228647077,175.57769106028084,4
R2139,FRAGILE,1,5,5.255622031153273,0.6583333333333333,1,10.685008979207845,175.57769106028084,4
R2139,FRAGILE,1,6,3.820802634857629,0.6433333333333333,1,8.01140958525274,175.57769106028084,4
R2139,FRAGILE,1,7,11.879233832710026,0.6266666666666667,0,25.0036443552809,175.57769106028084,4
R2176,FRAGILE,1,1,8.587633377439097,0.495,1,14.293498712282728,89.82990230716528,5
R2176,FRAGILE,1,2,4.867345427552086,0.5166666666666667,1,10.210855897734422,89.82990230716528,5
R2176,FRAGILE,1,3,13.699857479924571,0.5166666666666667,0,22.567271205570044,89.82990230716528,5
R2176,FRAGILE,1,4,8.07368854709618,0.5066666666666667,0,21.784215869494,89.82990230716528,5
R2176,FRAGILE,1,5,5.427524378989864,0.5183333333333333,1,8.739478817926704,89.82990230716528,5
R2176,FRAGILE,1,6,9.445810865767102,0.49666666666666665,1,14.431211098770177,89.82990230716528,5
R2176,FRAGILE,1,7,5.574286560777724,0.5233333333333333,1,12.048125310098163,89.82990230716528,5
R2264,FRAGILE,1,1,12.60208607795978,0.7383333333333333,1,21.90118898789384,211.0291414122912,6
R2264,FRAGILE,1,2,6.080710740692348,0.7166666666666667,1,14.566479167043717,211.0291414122912,6
R2264,FRAGILE,1,3,18.123872448302723,0.7433333333333333,0,34.749753631199255,211.0291414122912,6
R2264,FRAGILE,1,4,29.13237357436661,0.7516666666666667,0,48.229953509278126,211.0291414122912,6
R2264,FRAGILE,1,5,8.49132064203781,0.7366666666666667,0,18.422735801663126,211.0291414122912,6
R2264,FRAGILE,1,6,24.813264108829376,0.7516666666666667,0,36.430550038849255,211.0291414122912,6
R2264,FRAGILE,1,7,5.704316822734946,0.7333333333333333,1,13.559338385909907,211.0291414122912,6
R2287,FRAGILE,1,1,16.28965719800539,0.55,0,26.37198634710863,148.84459105291927,4
R2287,FRAGILE,1,2,11.850208812828773,0.5483333333333333,0,31.01286394356857,148.84459105291927,4
R2287,FRAGILE,1,3,13.551531840156565,0.545,0,24.363016957943003,148.84459105291927,4
R2287,FRAGILE,1,4,28.336679558559062,0.5466666666666666,0,40.78089894077327,148.84459105291927,4
R2287,FRAGILE,1,5,10.146553874263669,0.5416666666666666,0,29.45294565746601,148.84459105291927,4
R2287,FRAGILE,1,6,15.614154927879653,0.5383333333333333,0,25.291338732800458,148.84459105291927,4
R2287,FRAGILE,1,7,11.878104927602894,0.535,1,20.14822546742362,148.84459105291927,4
R2353,FRAGILE,1,1,21.22428741102007,0.5833333333333334,0,60.592746764418905,231.4961711621065,4
R2353,FRAGILE,1,2,28.751998031940982,0.6,0,46.122194444537165,231.4961711621065,4
R2353,FRAGILE,1,3,10.691227369739968,0.5766666666666667,1,19.694088266752438,231.4961711621065,4
R2353,FRAGILE,1,4,18.62923399310439,0.59,0,29.85402226293591,231.4961711621065,4
R2353,FRAGILE,1,5,7.718005897893317,0.5983333333333334,0,16.020225238957476,231.4961711621065,4
R2353,FRAGILE,1,6,27.41224156926428,0.6033333333333334,0,39.21076857341509,231.4961711621065,4
R2353,FRAGILE,1,7,22.457108915354414,0.5833333333333334,0,41.455913540844534,231.4961711621065,4
R0819,EASY,0,1,6.223216061104675,0.0,1,10.650464811562697,0.7943056829694835,2
