rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew,static_margin,opt_Kp,opt_Kd,peak_sr_search,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,best_kd_floor,best_kd_ceil,td_bin,lat_bin
R1809,148.48450566368834,16.946830246477106,8.7617863343238,4,0.012553070510569315,2.7086230262423228,10.95223291790475,0.2560231260191134,121.42262580464654,-0.2886944815742102,0.7583149797548709,0.13391975929963193,1.0,0.1,319.36503936014617,3193.6503936014615,1.0,True,False,0.38,5.62,td120-180,lat4
R1990,121.73297752400958,25.91928958566501,4.696617055096122,2,0.006570980849378332,2.1685199104636634,5.870771318870153,0.1784794509145567,117.46763619254247,-0.29438827356242125,5.050751006227423,0.06869016179090283,1.0,0.9406177265238869,500.0,531.5655721775328,1.0,False,True,0.38,1.46,td120-180,lat2-3
R2068,61.781837725979436,6.530168311779696,9.460987033754074,6,0.01921051656115869,1.5972523536080008,11.826233792192594,0.24291811030092564,182.72812744463113,0.09423487984616868,0.9546351822613434,0.1071999591382603,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td40-80,lat5-6
R2070,340.01630356325313,28.483485080161397,11.937313941968174,4,0.006814779257429409,2.471468260938062,14.921642427460217,0.13301692274800453,150.36441205575386,0.17469884414893622,0.5224755538857248,0.05217092291062181,1.0,0.1,83.222254577792,832.22254577792,1.0,True,False,0.05217092291062181,0.38,td300+,lat4
R2200,35.08846199957421,2.989525954000008,11.73713242148829,1,0.04925955335136313,1.8750070994478034,14.671415526860363,0.2864902541470724,181.6640261345494,0.04602524232498123,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.1,5.62,td0-40,lat1
R2208,194.34503065306157,19.60808855057857,9.911472510528165,4,0.008072774737514174,2.015432290003314,12.389340638160206,0.2631747435107146,172.57852166428285,0.09665667776537834,0.7583149797548709,0.16729952208041873,1.0,0.1565606557943096,130.293307533801,832.22254577792,1.0,False,False,0.16729952208041873,0.38,td180-300,lat4
R2226,97.57342002454222,12.364871304743609,7.891179586083484,1,0.006752755870557877,1.063116278889828,9.863974482604355,0.21722710755477265,143.98429093080006,-0.23721904199521093,1.16208317424144,0.182142683484797,1.0,0.1565606557943096,500.0,3193.650393601463,1.0,False,True,0.38,1.46,td80-120,lat1
R2338,14.884406983975957,1.674992324213307,8.886253846546259,2,0.03973126094223556,0.8473352779650355,11.107817308182824,0.1029122695507646,102.41222271990962,0.11513298285800755,0.6944767226303141,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td0-40,lat2-3
R2340,72.01649998856557,12.083272491485353,5.960016215748921,1,0.01832682064225489,2.8195630960608877,7.450020269686152,0.19023837847248465,180.47394520137414,0.21121098048310244,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,1.46,td40-80,lat1
R2362,57.44967594224752,4.916643540852401,11.684734812458549,1,0.031692114463776545,1.9839469601029645,14.605918515573187,0.2923668196584603,153.53215261184152,-0.1360718097989497,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,5.62,td40-80,lat1
R2377,215.5924564121108,18.466289884749052,11.674919962680994,2,0.0108624698807267,2.5539850617189055,14.593649953351242,0.1683831320334438,166.70464002459096,-0.09607868365032654,1.042387938026188,0.08141953168269683,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,1.46,td180-300,lat2-3
R2449,82.747726674471,12.13237466192751,6.820406472785649,4,0.0052949170396993615,0.8179280309438202,8.525508090982061,0.13271418928888523,122.80656882752041,-0.15680894874779047,0.8742698356015061,0.07478449574760791,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td80-120,lat4
R2557,86.37776710644869,8.377831681307478,10.310277216379719,4,0.01761045391068342,1.8785047581078682,12.887846520474648,0.09428259063733578,148.74922309386488,-0.003982611023182425,0.9546351822613434,0.06517462781510076,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td80-120,lat4
R2611,57.76796349566478,8.552719887363091,6.75433829898004,2,0.0184469671620035,2.0088122211225663,8.442922873725049,0.23373995622984373,126.04012593894551,0.08775017385394934,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,1.46,td40-80,lat2-3
R2792,84.5784943760398,13.101582673047659,6.455593685641747,2,0.010534672684234353,1.757336489162991,8.069492107052184,0.4321962687936396,125.77846753418784,-0.24258215942489172,1.2689051339413573,0.06869016179090283,1.0,0.245112389427443,500.0,2039.8805673101547,1.0,False,True,0.38,1.46,td80-120,lat2-3
R2836,5.395053090643795,0.956295627363065,5.641616395884158,4,0.06592794549061805,0.8027343191252663,7.052020494855198,0.3979392784756445,144.31441701865043,-0.14625112553135636,1.5974120466458859,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,5.62,td0-40,lat4
R2866,187.20367092092036,25.640616518724965,7.301059659942586,3,0.006350799576768864,2.0733231133468717,9.126324574928233,0.38032263705252095,100.94521690375615,-0.15906202776879666,1.0,0.10171350971479927,1.0,0.245112389427443,500.0,2039.8805673101547,1.0,False,True,0.38,5.62,td180-300,lat2-3
R2871,197.01499886819357,21.0016330459664,9.380937112699078,4,0.008290053915297501,2.216769510985602,11.726171390873846,0.07556982108745064,86.7109438718916,0.12339330395630793,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,5.62,td180-300,lat4
R2939,40.86772317676719,3.5283207332847795,11.582768763405573,1,0.04250867596683244,1.9096586896697425,14.478460954256967,0.1691849774335254,139.05508006014475,0.051506074905397714,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,5.62,td40-80,lat1
R2965,183.51517845625463,18.468441541442413,9.936690004105339,4,0.009676074870320735,2.2753048252636017,12.420862505131673,0.3989834646660724,175.43986713691092,-0.008645036142227003,3.674313571093929,0.08141953168269683,1.0,0.6008008345083048,203.9880567310155,339.5269197619528,1.0,False,False,0.38,5.62,td180-300,lat4
R3022,169.85385585466702,15.508487265962064,10.95231616996335,6,0.007088704474960791,1.399736951338724,13.690395212454188,0.17580987690502464,107.96754854136961,0.2673786480148916,3.0817140189010597,0.05217092291062181,1.0,0.1,203.9880567310155,2039.880567310155,1.0,True,False,0.38,5.62,td120-180,lat5-6
R3095,134.10945668054418,12.121640639258544,11.063639046203186,4,0.01874987008111696,2.893808487823918,13.829548807753982,0.3668909998768195,185.77362570823368,0.25729139736073753,2.0109661301814286,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td120-180,lat4
R3278,192.4959153292264,18.649579924266032,10.321729288859691,6,0.007633404157155075,1.8125810265111026,12.902161611074614,0.20172937253798878,127.79198483099856,-0.03124884022732327,1.0,0.07881838814527226,1.0,0.6008008345083048,33.9526919761953,56.51239150488559,1.0,False,False,0.1,0.38,td180-300,lat5-6
R3316,123.61081438724516,18.008013909747095,6.864211400921843,4,0.012776523560085086,2.9294671761511686,8.580264251152304,0.05544149307126438,62.43532116227173,0.03268467702450589,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,21.5,td120-180,lat4
R3332,98.21039227829111,22.64229052354827,4.337476024174809,6,0.005793596684805766,1.6702394457631915,5.421845030218512,0.2642113586348519,167.26888510739516,-0.03100450911861613,3.1869874812278614,0.07478449574760791,1.0,0.6008008345083048,500.0,832.2225457779197,1.0,False,True,0.1,5.62,td80-120,lat5-6
R3429,22.364842509492814,2.737771319869597,8.16899583510798,3,0.07935556580913602,2.76620703064128,10.211244793884974,0.38286767374026265,133.3583511183796,-0.09027658229855057,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.1,21.5,td0-40,lat2-3
R3515,525.2981033934673,44.69590347142803,11.752712499239788,4,0.005021141912668085,2.8574611541507378,14.690890624049736,0.1955395335293733,185.07193891474424,-0.2922155036253211,0.6944767226303141,0.1071999591382603,1.0,0.38374956432070695,53.1565572177533,138.51887314021636,1.0,False,False,0.1,0.38,td300+,lat4
R3686,96.76087718854485,9.619540736303277,10.05878345349462,4,0.015123865903401253,1.8523680208115596,12.573479316868275,0.3805405892322066,157.54151533201954,-0.14317925564274792,0.551657964893089,0.17632369565418615,1.0,0.1565606557943096,319.36503936014617,2039.880567310155,1.0,False,False,0.38,5.62,td80-120,lat4
R3724,61.10966698595062,7.8221661868943935,7.812371346486666,1,0.020406670719775817,2.0324005979441138,9.765464183108332,0.35686932812539623,138.83892287461515,-0.016299875447298884,0.5705029789431477,0.17632369565418615,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,5.62,td40-80,lat1
R3761,260.9835896649666,23.227957389869058,11.23575290261189,2,0.007572084976208191,2.2394254962221747,14.044691128264862,0.2681689056595356,140.90725736643012,-0.09908851249227682,0.5705029789431477,0.2202727227757168,1.0,0.245112389427443,500.0,2039.8805673101547,1.0,False,True,0.38,1.46,td180-300,lat2-3
R3870,8.37985466379884,0.715916264036867,11.705076535832559,4,0.08510777537700717,0.775785371394641,14.6313456697907,0.21136060080241698,122.5412117512438,0.24344894621326024,1.042387938026188,0.059863420680005684,1.0,0.1,319.36503936014617,3193.6503936014615,1.0,True,False,0.059863420680005684,21.5,td0-40,lat4
R3898,387.1041703768857,34.675735267602015,11.163546133614709,4,0.006245365460194987,2.757361163290064,13.954432667018384,0.13205937997784606,170.96702420565754,-0.05052194198126342,2.1232868688196205,0.08141953168269683,1.0,0.38374956432070695,83.222254577792,216.86605618721055,1.0,False,False,0.1,1.46,td300+,lat4
R4018,346.45540488958306,29.56095556512956,11.720034020086475,4,0.007525059119003506,2.832295116143104,14.650042525108093,0.18907937146574005,86.84068205175042,-0.10121859461328445,2.1232868688196205,0.1071999591382603,1.0,0.6008008345083048,53.1565572177533,88.47617074509661,1.0,False,False,0.1,0.38,td300+,lat4
R4075,181.37476476554593,17.959792551040692,10.09893428613328,5,0.010666101039367165,2.4390299204014685,12.623667857666602,0.38302654440034256,137.80082191393004,-0.2837746130006278,1.0,0.05217092291062181,1.0,0.38374956432070695,319.36503936014617,832.2225457779194,1.0,False,False,0.1,21.5,td180-300,lat5-6
R4215,29.580633453465925,3.8742675547409506,7.635155041697632,5,0.052661784774063705,2.5977377288780263,9.54394380212204,0.05970994263750284,126.32074275680364,-0.22214085383101367,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,21.5,td0-40,lat5-6
R4332,335.1705207718114,32.949792818448024,10.172158672395511,5,0.006460645977577623,2.7104334636290273,12.71519834049439,0.44716961918624526,131.30806172569595,0.19418289881433282,1.0,0.1,1.0,0.245112389427443,33.9526919761953,138.51887314021639,1.0,False,False,0.1,0.38,td300+,lat5-6
R4401,42.799014179139704,3.9604311869616793,10.806655174325549,3,0.051281539933480835,2.585911446360254,13.508318967906936,0.1727130109829031,150.92856319259533,0.23120300387082277,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,5.62,td40-80,lat2-3
R4493,43.08230112438228,4.764938015476948,9.041523936816615,4,0.049401788291024526,2.9971608036639252,11.30190492102077,0.07199517703528201,131.87522581928647,-0.00542227810228868,0.551657964893089,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,5.62,td40-80,lat4
R4538,123.23745788573284,10.847686912066385,11.360713015108328,1,0.01715076605120273,2.368813031351542,14.200891268885409,0.13449797914760864,160.2189263574198,0.03933188733521087,0.7583149797548709,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,1.46,td120-180,lat1
R4693,194.3733166661092,21.19079532551186,9.172535229581532,1,0.01108810541828351,2.9916771316364947,11.465669036976916,0.0632489096110471,182.25467823305405,0.1990475222747357,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,0.38,td180-300,lat1
R4780,50.07501088592857,16.78685382582116,2.9829896301893277,5,0.005487655993222224,1.1729143674861846,3.7287370377366598,0.3334507641586605,191.03431958438972,-0.01904095966063485,1.042387938026188,0.1071999591382603,1.0,0.9406177265238869,500.0,531.5655721775328,1.0,False,True,0.38,5.62,td40-80,lat5-6
R4812,15.585100831469525,1.4360262229160319,10.852936097379905,5,0.08523607587037775,1.558460992050756,13.56617012172488,0.07985757282376588,61.514791615476234,-0.21107376755099375,0.5224755538857248,0.05217092291062181,1.0,0.1,319.36503936014617,3193.6503936014615,1.0,True,False,0.05217092291062181,21.5,td0-40,lat5-6
R4853,16.871624874420764,1.9745888122585908,8.544373780342916,4,0.06725165286209948,1.6907903218536036,10.680467225428645,0.197890652129868,155.8090870452187,-0.19069610125078262,1.042387938026188,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td0-40,lat4
R4935,42.30743313867473,10.747982580783878,3.9363138915311806,4,0.012722776999392558,1.741081045786327,4.920392364413976,0.2950397274202047,83.55437244684846,-0.25479020805558555,0.9546351822613434,0.11671096237512012,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,5.62,td40-80,lat4
R4968,92.70984304023207,9.101388374276313,10.186340723824324,1,0.01817237423276463,2.1058597190962027,12.732925904780407,0.06435978729449972,195.44946235590547,0.06352585123411575,1.007955487955366,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.1,1.46,td80-120,lat1
R4987,53.16130472806418,4.945154207269621,10.750181389675259,3,0.027799848867706606,1.7503802019973707,13.437726737094074,0.3667840885320389,170.61723634900363,0.022958610271179736,1.5974120466458859,0.11671096237512012,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,5.62,td40-80,lat2-3
R5026,86.56100357319131,9.285742857988671,9.321925547262115,2,0.01791459078025205,2.118037590919781,11.652406934077645,0.15921064240637745,114.06467545427773,-0.0370734018230332,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,1.46,td80-120,lat2-3
R5063,310.2111382636061,28.94703823249671,10.716507014363732,1,0.007365454378399031,2.7146497079766374,13.395633767954664,0.2208958284293268,141.43224933595582,0.028861984702688026,4.625556792720143,0.059863420680005684,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,0.38,td300+,lat1
R5227,42.36013992517124,22.089549263870538,1.917655241361357,5,0.010649289460894412,2.9951432933591287,2.3970690517016964,0.32713051629902756,198.6249529901956,-0.24461921551493693,1.0,0.056799635651388014,1.0,0.38374956432070695,500.0,1302.9330753380095,1.0,False,True,0.1,5.62,td40-80,lat5-6
R5525,15.476411195033384,1.685915372130632,9.179826847105945,1,0.06233681879981646,1.3381060201327406,11.474783558882432,0.3193531640605157,193.8747114090574,0.016671256827397785,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td0-40,lat1
R5585,243.65953153464739,28.01746350162252,8.696702023740901,5,0.007583868082986804,2.7053888985054515,10.870877529676125,0.30360845277404575,68.9451061234715,-0.24383782377622296,4.625556792720143,0.11671096237512012,1.0,5.651239150488556,53.1565572177533,9.406177265238874,1.0,False,False,0.11671096237512012,1.46,td180-300,lat5-6
R5654,157.00589489845993,20.49535595136254,7.660559556567355,5,0.010088944902369452,2.6327603830047144,9.575699445709194,0.3390953364506354,174.01924355509078,-0.05063633855366126,1.0,0.09342467805372084,1.0,0.6008008345083048,500.0,832.2225457779197,1.0,False,True,0.09342467805372084,21.5,td120-180,lat5-6
R5805,236.040101153248,21.29990588168577,11.08174385672763,1,0.007678300937733671,2.0823461898296327,13.852179820909539,0.08368009990226885,108.51302896346026,-0.0935214908534096,1.007955487955366,0.05498503414055574,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,1.46,td180-300,lat1
R5852,113.43477793367097,10.835513808566807,10.46879547548422,5,0.019555428305539954,2.6979069128519026,13.085994344355273,0.09405437364669138,126.37272085890251,0.080808962035266,1.042387938026188,0.059863420680005684,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td80-120,lat5-6
R5897,315.2321495692999,30.685848953832885,10.27288344029749,4,0.007070467616020447,2.7624625496912034,12.841104300371862,0.17681828861337384,65.30041073609758,-0.19652590233322836,0.7182005232971699,0.06517462781510076,1.0,0.38374956432070695,500.0,1302.9330753380095,1.0,False,True,0.1,5.62,td300+,lat4
R6078,176.22568703591975,26.96839792639544,6.534525614643132,1,0.00718270512367559,2.4663420286764577,8.168157018303916,0.24446727466092832,81.9489290830666,0.05093393426938053,1.4629349445311304,0.05217092291062181,1.0,0.1565606557943096,500.0,3193.650393601463,1.0,False,True,0.1,1.46,td120-180,lat1
R6080,465.45705995109523,39.33600759448554,11.832849554776551,5,0.005098560418874087,2.553571178346176,14.79106194347069,0.14704074385432236,146.98373629593482,-0.16033685180579008,1.0,0.08141953168269683,1.0,3.6096164274587546,33.9526919761953,9.406177265238872,1.0,False,False,0.1,0.38,td300+,lat5-6
R6086,29.01144400492663,2.813746463031553,10.310610563564945,2,0.04232992100741776,1.5165004333573127,12.88826320445618,0.20842923455621742,62.78284732858889,-0.2557995599138922,0.6023679193956267,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td0-40,lat2-3
R6119,306.4619145755263,28.763431212013618,10.6545673329657,5,0.008101786108216364,2.9670959047074086,13.318209166207124,0.06478467184256745,196.1723181119678,0.24221054779914114,0.5224755538857248,0.05217092291062181,1.0,0.1,53.1565572177533,531.565572177533,1.0,True,False,0.05217092291062181,1.46,td300+,lat5-6
R6149,320.79237638993476,30.72001518930482,10.442455005739017,2,0.006634981400056278,2.595202521339968,13.053068757173772,0.11179415415270018,113.72960891062223,0.0968313788685633,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,0.38,td300+,lat2-3
R6154,95.75729056704833,8.93399741371011,10.718302920045536,5,0.016168978724815455,1.8392405386455528,13.397878650056919,0.3038005797636216,198.76337867888824,0.27570990630872355,0.8280214293470828,0.16729952208041873,1.0,0.1,500.0,5000.0,1.0,True,True,0.16729952208041873,21.5,td80-120,lat5-6
R6169,355.2058857177052,37.52482880346128,9.465889573490635,1,0.006253622172555126,2.9878616014525696,11.832361966863294,0.10532518398739436,99.9890228597043,-0.021131684887597924,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,0.38,td300+,lat1
R6425,165.3132216037203,32.11457571911433,5.14760721267531,4,0.006114779921356771,2.5003058568492955,6.434509015844137,0.11106015411157828,96.02328374016076,0.0532173318884408,1.007955487955366,0.059863420680005684,1.0,0.1,203.9880567310155,2039.880567310155,1.0,True,False,0.059863420680005684,5.62,td120-180,lat4
R6456,158.1111665888195,25.57715896270712,6.18173296023042,5,0.007898077264672279,2.5720760133231835,7.727166200288025,0.1691389981428345,184.83737085444926,-0.08631149746725492,1.0,0.06517462781510076,1.0,0.38374956432070695,500.0,1302.9330753380095,1.0,False,True,0.1,21.5,td120-180,lat5-6
R6700,11.846140749512378,4.184945615799983,2.8306558404936166,4,0.05214864682331336,2.7787084445050794,3.5383198006170207,0.382394659505358,185.14996786955282,-0.1423240829213274,0.9231014057756852,0.05217092291062181,1.0,0.245112389427443,500.0,2039.8805673101547,1.0,False,True,0.38,5.62,td0-40,lat4
R6715,48.29665251150916,6.368597687972353,7.583561543339684,4,0.018625965208771203,1.5103330322508768,9.479451929174605,0.15650961966973242,175.6459171433971,0.055741872321643404,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,5.62,td40-80,lat4
R6739,28.5499033888247,3.6424142173563148,7.838181405284098,6,0.05992897857026768,2.7793057553347227,9.797726756605122,0.3677852783375682,156.3213523442767,0.2529287273664413,2.0109661301814286,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td0-40,lat5-6
R6774,3.238292530134727,1.5471422690416885,2.093079993309568,2,0.07418518960848733,1.4613612296172562,2.6163499916369597,0.2942316674040663,146.44595573192672,0.20787565080131792,0.9231014057756852,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,5.62,td0-40,lat2-3
R6883,83.51678144660303,8.18587443372066,10.202548563726603,1,0.02776249552120242,2.8935680384102302,12.753185704658254,0.09723532105192753,96.14191164406907,-0.18051168890234986,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,5.62,td80-120,lat1
R7019,37.6174464367618,8.962559787785517,4.197176624475984,2,0.01134308945698572,1.2944150136112271,5.246470780594979,0.41321500647697523,149.83670231230496,0.0747615278584367,1.6866340868861287,0.09846402604674659,1.0,0.6008008345083048,500.0,832.2225457779197,1.0,False,True,0.38,1.46,td0-40,lat2-3
R7034,140.70105941342405,14.777286036867212,9.521441153835356,2,0.007645461485130182,1.4384954856642251,11.901801442294195,0.19329627770786034,139.85887994606327,-0.12208668056073757,0.9231014057756852,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,1.46,td120-180,lat2-3
R7102,357.62126317860316,43.259635473998415,8.266857990367361,2,0.005173104217218341,2.849339521470498,10.333572487959202,0.06767178156074603,122.22496779508376,-0.18083507320683,0.551657964893089,0.06309246695711429,1.0,0.38374956432070695,500.0,1302.9330753380095,1.0,False,True,0.06309246695711429,0.38,td300+,lat2-3
R7135,209.91635543364092,17.5842858959988,11.937724208715586,6,0.01121904107430104,2.51183202257669,14.922155260894483,0.27651410904425505,139.01970025131087,0.14565410062623524,1.0,0.07478449574760791,1.0,0.1,53.1565572177533,531.565572177533,1.0,True,False,0.1,1.46,td180-300,lat5-6
