rocket_id,design_id,regime_label,gain_Kp,gain_Kd,gain_source,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,baseline_success_rate,baseline_rms,baseline_peak,baseline_max_theta,baseline_u_sat,baseline_go,abl_success_wind,delta_success_wind,delta_rms_wind,delta_peak_wind,delta_theta_wind,decision_flip_wind,flip_dir_wind,abl_success_backlash,delta_success_backlash,delta_rms_backlash,delta_peak_backlash,delta_theta_backlash,decision_flip_backlash,flip_dir_backlash,abl_success_slew,delta_success_slew,delta_rms_slew,delta_peak_slew,delta_theta_slew,decision_flip_slew,flip_dir_slew,abl_success_latency,delta_success_latency,delta_rms_latency,delta_peak_latency,delta_theta_latency,decision_flip_latency,flip_dir_latency,abl_success_sensor_noise,delta_success_sensor_noise,delta_rms_sensor_noise,delta_peak_sensor_noise,delta_theta_sensor_noise,decision_flip_sensor_noise,flip_dir_sensor_noise,abl_success_deadband,delta_success_deadband,delta_rms_deadband,delta_peak_deadband,delta_theta_deadband,decision_flip_deadband,flip_dir_deadband,abl_success_nonlinear_aero,delta_success_nonlinear_aero,delta_rms_nonlinear_aero,delta_peak_nonlinear_aero,delta_theta_nonlinear_aero,decision_flip_nonlinear_aero,flip_dir_nonlinear_aero,abl_success_dyn_aero,delta_success_dyn_aero,delta_rms_dyn_aero,delta_peak_dyn_aero,delta_theta_dyn_aero,decision_flip_dyn_aero,flip_dir_dyn_aero,abl_success_thrust_curve,delta_success_thrust_curve,delta_rms_thrust_curve,delta_peak_thrust_curve,delta_theta_thrust_curve,decision_flip_thrust_curve,flip_dir_thrust_curve,abl_success_cg_shift,delta_success_cg_shift,delta_rms_cg_shift,delta_peak_cg_shift,delta_theta_cg_shift,decision_flip_cg_shift,flip_dir_cg_shift,dominant_module,dominant_delta_rms,n_decision_flips,decision_flip_modules,fidelity_complexity
R1071,1071,EASY,10.0,4.0,exp1,1.8672438487031595,1.8224333573230689,0.0102397126056251,0.1745117012656792,-56.17408325851222,8.73365374444371,35.676346575644985,109.38105818851405,11.308684247882326,4,0.0790477842719486,0.0490186085118962,0.4153426944130587,1.0,7.134689733921377,19.09418574613166,19.09418574613166,0.0,1,1.0,0.0,-3.8915872144165986,-7.841738105086224,-7.841738105086224,0,,1.0,0.0,-0.9993630305724439,-1.6567433016081843,-1.6567433016081843,0,,0.6,-0.4,5.905187581219176,25.684927262023304,25.684927262023304,0,,0.6,-0.4,0.4283359823125652,-0.8613181148421027,-0.8613181148421027,0,,1.0,0.0,-6.43674362133773,-16.514458686520037,-16.514458686520037,0,,1.0,0.0,-1.3087377672980853,-3.881106612524725,-3.881106612524725,0,,1.0,0.0,-1.865174681370263e-14,-2.4868995751603507e-14,-2.4868995751603507e-14,0,,1.0,0.0,-1.3148355155499996,-5.284336369392033,-5.284336369392033,0,,1.0,0.0,-1.6899181307786897,-3.969088471957008,-3.969088471957008,0,,1.0,0.0,-0.8879230843109003,-4.354529141105303,-4.354529141105303,0,,sensor_noise,6.43674362133773,0,none,0
R1072,1072,EASY,10.0,4.0,exp1,1.111218454003394,1.9008542367997605,0.0392688439195322,0.1505112594614051,-45.52102096151612,6.049714632254483,49.20672199995301,20.184546619947696,11.012523065425672,4,0.126015016794586,0.0424497712667976,0.169613189672726,1.0,2.6188320640587324,11.914624667365269,11.914624667365269,0.0,1,1.0,0.0,-2.3988988861464944,-9.826353847922142,-9.826353847922142,0,,1.0,0.0,0.2225995172115698,-1.7905262152497574,-1.7905262152497574,0,,1.0,0.0,1.0897940953683358,1.3349533686803081,1.3349533686803081,0,,1.0,0.0,-0.034020560216056595,0.7501071101352164,0.7501071101352164,0,,1.0,0.0,-2.3106612037988246,-10.820975172913716,-10.820975172913716,0,,1.0,0.0,-0.19676257019506416,-0.4241518808478375,-0.4241518808478375,0,,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,-0.3315496663289488,-1.6687591393399703,-1.6687591393399703,0,,1.0,0.0,0.3298292123848148,-1.816809454376891,-1.816809454376891,0,,1.0,0.0,-0.01742239641051846,0.19156564742260862,0.19156564742260862,0,,wind,2.3988988861464944,0,none,0
R1073,1073,EASY,10.0,4.0,exp1,0.7699742495829167,2.0863861940523782,0.0338279394225586,0.111455791559222,-31.622709812159712,7.076357157261063,27.12141856883689,21.59154082851144,9.463478537529712,4,0.1286531324439861,0.0524244771773905,0.0992011138159326,1.0,1.8831436628306732,7.910005880599674,7.910005880599674,0.0,1,1.0,0.0,-1.5237482255884784,-4.292437585084079,-4.292437585084079,0,,1.0,0.0,0.376725807351302,-0.2894411938375816,-0.2894411938375816,0,,1.0,0.0,1.7564985703461995,4.21930971011867,4.21930971011867,0,,1.0,0.0,-0.03629594610411213,0.052631741877487315,0.052631741877487315,0,,1.0,0.0,-1.5966610450155474,-6.900539444558158,-6.900539444558158,0,,1.0,0.0,-0.18164112530306675,-1.1713993757618377,-1.1713993757618377,0,,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,-0.2484171843016003,-1.421353893623432,-1.421353893623432,0,,1.0,0.0,0.11061201959527689,-1.2212525283083844,-1.2212525283083844,0,,1.0,0.0,-0.03348227926183811,0.0477963215607371,0.0477963215607371,0,,slew,1.7564985703461995,0,none,0
R1074,1074,MARGINAL,45.0,4.0,exp1,0.5387448472589861,1.767200142455092,0.0232205016052105,0.0548916121764131,-58.84378427762792,10.991717986545147,46.52734383231312,94.2234446554541,14.9599448093917,5,0.0850188685297598,0.2007661767192842,0.3869211391252134,0.2,9.554548544540829,61.57775414914483,61.57775414914483,0.0,0,1.0,0.8,-9.234849549359426,-56.118885878146955,-56.118885878146955,1,helps,0.4,0.2,-0.8084264390429929,-23.1848816965474,-23.1848816965474,1,helps,1.0,0.8,-5.910543223949777,-52.52949435920168,-52.52949435920168,1,helps,0.2,0.0,-0.2582094493358049,-3.275352432455456,-3.275352432455456,0,,1.0,0.8,-8.924867155258063,-59.1869019244362,-59.1869019244362,1,helps,0.2,0.0,-0.08642770053189786,-3.202393554828042,-3.202393554828042,0,,0.2,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,-7.105427357601002e-15,0,,0.6,0.39999999999999997,-3.3756509058883557,-25.690869662123227,-25.690869662123227,1,helps,0.0,-0.2,2.635611872271145,-23.279248176997648,-23.279248176997648,0,,0.2,0.0,-0.13922804198465855,-4.012763664353166,-4.012763664353166,0,,wind,9.234849549359426,5,wind backlash slew sensor_noise dyn_aero,5
R1075,1075,FRAGILE,10.0,8.0,exp1,1.8561428072343893,1.0201071993575923,0.014438676325403,0.1965487100460736,-50.36090547338036,13.91541735008849,36.81001880358469,60.69793103638806,12.849890545174716,1,0.1199269116598268,0.1394186755719837,0.3425499963392186,0.6,15.511638437010168,45.42318609124797,45.42318609124797,0.0,1,1.0,0.4,-15.056426578151234,-40.15059849646851,-40.15059849646851,0,,0.6,0.0,-3.1189057654237384,-9.898483346431966,-9.898483346431966,0,,0.6,0.0,-8.759234141036654,-28.028222797348192,-28.028222797348192,0,,0.6,0.0,0.0,0.0,0.0,0,,1.0,0.4,-14.07733258498885,-40.34419255147965,-40.34419255147965,0,,0.6,0.0,0.07247240590073112,-0.0010159673590095508,-0.0010159673590095508,0,,0.6,0.0,-0.12035797233048129,-0.2151407369587588,-0.2151407369587588,0,,0.4,-0.19999999999999996,-1.893950825978047,-6.382160599401168,-6.382160599401168,0,,0.2,-0.39999999999999997,-0.7436654971221088,-6.400690336740297,-6.400690336740297,1,hurts,0.6,0.0,-0.012776769783743092,-0.07082956511476368,-0.07082956511476368,0,,wind,15.056426578151234,1,thrust_curve,1
R1076,1076,INFEASIBLE,10.0,4.0,exp1,2.104781529804379,0.9717576822810744,0.0308818749696597,0.1370356879972197,-68.23180964792897,12.62639310632812,25.543973664543994,30.60290843240084,11.729238917203736,3,0.1331222258811014,0.0288525936470584,0.4315714102078381,0.6,12.895827842070588,44.82567267222301,44.82567267222301,0.0,1,1.0,0.4,-11.408277682710649,-39.175970089967805,-39.175970089967805,0,,0.8,0.20000000000000007,-1.1823582889832274,-2.3257190367942897,-2.3257190367942897,0,,1.0,0.4,-7.2270853567708695,-26.24406448288557,-26.24406448288557,0,,0.8,0.20000000000000007,-0.09051919000641462,0.25418566241128815,0.25418566241128815,0,,1.0,0.4,-10.730292477835722,-34.41794914499138,-34.41794914499138,0,,0.8,0.20000000000000007,-0.40897136655879507,-2.1039644914161713,-2.1039644914161713,0,,0.6,0.0,0.04943640316059472,0.07750541284168833,0.07750541284168833,0,,0.8,0.20000000000000007,-2.4297999003783026,-9.238641528147845,-9.238641528147845,0,,0.8,0.20000000000000007,-2.807210683719344,-13.508499775715226,-13.508499775715226,0,,0.8,0.20000000000000007,-0.1340439040435406,0.11846221325348694,0.11846221325348694,0,,wind,11.408277682710649,0,none,0
R1077,1077,EASY,10.0,4.0,exp1,1.8863530329357745,1.7657101789810734,0.0335268215355701,0.2313078385179911,-44.89780774598636,10.52372144967492,39.2325358484154,54.47636770237984,11.706302129459504,5,0.0592594792388227,0.0007959794944078,0.1765984767034191,1.0,3.0003643438097893,7.652105502733063,7.652105502733063,0.0,1,1.0,0.0,-1.0666320006789949,-1.6984345999301391,-1.6984345999301391,0,,1.0,0.0,0.10983619981451342,0.003276370264859274,0.003276370264859274,0,,1.0,0.0,2.4211143039166685,5.755793121455028,5.755793121455028,0,,1.0,0.0,0.10011722495942932,1.0854779450009548,1.0854779450009548,0,,1.0,0.0,-2.8683012401144725,-7.1558560340117525,-7.1558560340117525,0,,1.0,0.0,-0.2050238815436347,2.5656840152907137,2.5656840152907137,0,,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,-0.2337700329708743,1.0218257710333951,1.0218257710333951,0,,1.0,0.0,0.5118204328142073,2.98151586907764,2.98151586907764,0,,1.0,0.0,0.5056365654666339,0.7794202367935217,0.7794202367935217,0,,sensor_noise,2.8683012401144725,0,none,0
R1078,1078,EASY,10.0,4.0,exp1,0.6878047689511716,1.6000510356005466,0.0174975508844803,0.0655608862551593,-62.035352137107175,6.004422568939096,45.258392734522886,32.9540526698205,12.237490680507271,3,0.0530322050824273,0.0281266273882573,0.2345747395845365,1.0,6.571250083973871,19.024709757102446,19.024709757102446,0.0,1,1.0,0.0,-4.412950673399061,-11.155267788580462,-11.155267788580462,0,,1.0,0.0,-1.0139493225098768,-4.163711367206766,-4.163711367206766,0,,0.8,-0.19999999999999996,-1.8053565753604,-1.6868982409360314,-1.6868982409360314,0,,1.0,0.0,-1.1562194568879427,-2.9000324722804827,-2.9000324722804827,0,,1.0,0.0,-6.094810600983085,-17.345908735479725,-17.345908735479725,0,,1.0,0.0,-0.7640801604462508,-2.678291255316765,-2.678291255316765,0,,1.0,0.0,8.881784197001252e-15,6.394884621840902e-14,6.394884621840902e-14,0,,1.0,0.0,-2.4090956009948536,-6.925014406461274,-6.925014406461274,0,,0.6,-0.4,0.2001003987372343,3.5922054036025415,3.5922054036025415,0,,1.0,0.0,-0.8018313831014003,-2.304909454651842,-2.304909454651842,0,,sensor_noise,6.094810600983085,0,none,0
R1079,1079,MARGINAL,20.0,4.0,exp1,1.2806520212568078,1.1606765603326852,0.0284669237614414,0.1090394551756157,-64.47826718337079,10.82242447199313,39.01154400922892,59.949349611081416,12.148497410325303,6,0.0164406033498941,0.1634860469617489,0.2324946984727267,1.0,5.636271499605199,16.93476183486086,16.93476183486086,0.0,1,1.0,0.0,-5.4145678621325475,-13.03540112541156,-13.03540112541156,0,,0.8,-0.19999999999999996,-1.4246015293037138,-1.7749564150417925,-1.7749564150417925,0,,1.0,0.0,-1.298707990873468,-5.4664949331190815,-5.4664949331190815,0,,1.0,0.0,-0.019093843947349143,0.2683716381305139,0.2683716381305139,0,,1.0,0.0,-5.11931006155192,-15.09534500003932,-15.09534500003932,0,,1.0,0.0,-0.04843903597051202,-0.4259324402096283,-0.4259324402096283,0,,1.0,0.0,0.0001994830920617474,0.0006102399009968451,0.0006102399009968451,0,,1.0,0.0,-1.081816985390354,-2.29838988327686,-2.29838988327686,0,,0.6,-0.4,1.1895468685136024,16.17151055734382,16.17151055734382,0,,1.0,0.0,-0.20292754182981376,-0.9851666027641315,-0.9851666027641315,0,,wind,5.4145678621325475,0,none,0
R1080,1080,INFEASIBLE,10.0,4.0,exp1,1.4496645460765951,1.3497375877270903,0.023553910744857,0.2177685226621897,-36.90430358772783,5.830700243540552,39.780529552761095,31.25697604034752,9.777413391258314,3,0.0844491800206487,0.0091733844836891,0.3647182601085129,1.0,7.135953775119711,21.201684123824272,21.201684123824272,0.0,1,1.0,0.0,-5.2221872808648,-13.886197975028189,-13.886197975028189,0,,0.8,-0.19999999999999996,0.2664628974906771,0.8244168175406301,0.8244168175406301,0,,1.0,0.0,-2.4333937176945746,-3.7873748667318488,-3.7873748667318488,0,,1.0,0.0,-0.030687026542989493,-0.4507085324186093,-0.4507085324186093,0,,1.0,0.0,-6.352302638368826,-18.110958471253465,-18.110958471253465,0,,0.8,-0.19999999999999996,-0.0005992235555360992,0.5895949311544939,0.5895949311544939,0,,1.0,0.0,5.696424551882018e-05,0.0001870100973455635,0.0001870100973455635,0,,0.8,-0.19999999999999996,-0.7388096195374025,-1.5952527047461444,-1.5952527047461444,0,,0.8,-0.19999999999999996,-0.7597262118502428,-2.508624964218207,-2.508624964218207,0,,0.8,-0.19999999999999996,0.005088727483729016,1.6903972422119864,1.6903972422119864,0,,sensor_noise,6.352302638368826,0,none,0
