regime_label,slew_val,success_rate_mean,success_rate_std,success_rate_q25,success_rate_q75
INFEASIBLE,61.66666666666667,0.19444444444444445,0.2695582398954686,0.0,0.3333333333333333
INFEASIBLE,65.83333333333334,0.2111111111111111,0.2941146929433269,0.0,0.3333333333333333
INFEASIBLE,70.0,0.22777777777777777,0.270951915224995,0.0,0.3333333333333333
INFEASIBLE,74.16666666666667,0.19444444444444445,0.23201132080524722,0.0,0.3333333333333333
INFEASIBLE,78.33333333333334,0.2111111111111111,0.274233509215958,0.0,0.3333333333333333
INFEASIBLE,82.5,0.25,0.28539462882464783,0.0,0.3333333333333333
INFEASIBLE,86.66666666666667,0.26666666666666666,0.31771310892956145,0.0,0.6666666666666666
INFEASIBLE,90.83333333333334,0.2611111111111111,0.2949139915263283,0.0,0.3333333333333333
INFEASIBLE,95.0,0.27777777777777773,0.30787936754384254,0.0,0.3333333333333333
INFEASIBLE,99.16666666666667,0.28888888888888886,0.30970897381577656,0.0,0.6666666666666666
INFEASIBLE,103.33333333333334,0.3444444444444444,0.3469895642377351,0.0,0.6666666666666666
INFEASIBLE,107.5,0.3888888888888889,0.3257132788012259,0.0,0.6666666666666666
INFEASIBLE,111.66666666666667,0.38333333333333336,0.35693294880621884,0.0,0.6666666666666666
INFEASIBLE,115.83333333333334,0.33888888888888885,0.30372245896186295,0.0,0.6666666666666666
INFEASIBLE,120.0,0.40555555555555556,0.331018326463186,0.0,0.6666666666666666
MARGINAL,20.0,0.28888888888888886,0.24904084680484762,0.0,0.3333333333333333
MARGINAL,24.166666666666668,0.3333333333333333,0.2878585130589152,0.0,0.3333333333333333
MARGINAL,28.333333333333336,0.35,0.28407181925247116,0.25,0.3333333333333333
MARGINAL,32.5,0.36666666666666664,0.29877338690580163,0.25,0.41666666666666663
MARGINAL,36.66666666666667,0.4166666666666667,0.3283526192391425,0.0,0.6666666666666666
MARGINAL,40.833333333333336,0.4666666666666667,0.314136487183577,0.3333333333333333,0.6666666666666666
MARGINAL,45.0,0.45555555555555555,0.31273453220486563,0.3333333333333333,0.6666666666666666
MARGINAL,49.16666666666667,0.4444444444444444,0.3048056196788729,0.3333333333333333,0.6666666666666666
MARGINAL,53.333333333333336,0.45,0.3118802706192018,0.3333333333333333,0.6666666666666666
MARGINAL,57.5,0.47777777777777775,0.3210544460262861,0.3333333333333333,0.6666666666666666
MARGINAL,61.66666666666667,0.5111111111111111,0.3216404905286653,0.3333333333333333,0.6666666666666666
MARGINAL,65.83333333333334,0.47777777777777775,0.3381943115155754,0.3333333333333333,0.6666666666666666
MARGINAL,70.0,0.5222222222222223,0.3151340650746852,0.3333333333333333,0.6666666666666666
MARGINAL,74.16666666666667,0.5,0.31592985943538565,0.3333333333333333,0.6666666666666666
MARGINAL,78.33333333333334,0.4944444444444444,0.2778154400080068,0.3333333333333333,0.6666666666666666
MARGINAL,82.5,0.5222222222222223,0.27008171091588046,0.3333333333333333,0.6666666666666666
MARGINAL,86.66666666666667,0.5222222222222223,0.31513406507468517,0.3333333333333333,0.6666666666666666
MARGINAL,90.83333333333334,0.5277777777777778,0.31468554637096013,0.3333333333333333,0.6666666666666666
MARGINAL,95.0,0.5388888888888889,0.25372306229724967,0.3333333333333333,0.6666666666666666
MARGINAL,99.16666666666667,0.5166666666666667,0.2906256644485448,0.3333333333333333,0.6666666666666666
MARGINAL,103.33333333333334,0.5055555555555555,0.2910573403856042,0.3333333333333333,0.6666666666666666
MARGINAL,107.5,0.45,0.28671133537149956,0.3333333333333333,0.6666666666666666
MARGINAL,111.66666666666667,0.4222222222222222,0.299822085766913,0.25,0.6666666666666666
MARGINAL,115.83333333333334,0.4166666666666667,0.30454807369314807,0.25,0.6666666666666666
MARGINAL,120.0,0.42777777777777776,0.3012320380383547,0.3333333333333333,0.6666666666666666
