method,p_unstable,gust_std,Kp,Kd,design_success_rate,deploy_success_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,control_rms,n_trials
AMATEUR_BASIC_PID,8,0.3,45,16,1,1,3.11724381681768,5.88747018052543,1.09487341695528,25.1028406164267,0.00173370319001387,0.10150462962963,2.67109098955835,12
BENCH_TUNED_PID,8,0.3,45,16,1,1,3.11724381681768,5.88747018052543,1.09487341695528,25.1028406164267,0.00173370319001387,0.10150462962963,2.67109098955835,12
BENCH_TUNED_PCH,8,0.3,30,8,1,1,1.34794126076792,2.81448942892586,1.01850612191927,22.2805345291676,0,0.34224537037037,2.48475035955923,12
AMATEUR_BASIC_PID,8,0.9,45,16,1,1,3.11974215445158,5.88648474242977,1.04275783645756,25.1144400247643,0.00173370319001387,0.101388888888889,2.6725602594856,12
BENCH_TUNED_PID,8,0.9,45,16,1,1,3.11974215445158,5.88648474242977,1.04275783645756,25.1144400247643,0.00173370319001387,0.101388888888889,2.6725602594856,12
BENCH_TUNED_PCH,8,0.9,30,6,1,1,1.37384288566624,2.87034079678045,1.01565420401283,22.3703697249878,0,0.237847222222222,2.45858210785522,12
AMATEUR_BASIC_PID,8,1.5,45,16,1,1,3.12170677046851,5.88113686485471,1.01262087725182,25.1292903130654,0.00196486361534905,0.100115740740741,2.67731567531155,12
BENCH_TUNED_PID,8,1.5,45,16,1,1,3.12170677046851,5.88113686485471,1.01262087725182,25.1292903130654,0.00196486361534905,0.100115740740741,2.67731567531155,12
BENCH_TUNED_PCH,8,1.5,30,8,1,1,1.34538268005608,2.84257556283746,0.948348255767534,22.3134860978141,0,0.366782407407407,2.51423543353484,12
AMATEUR_BASIC_PID,10,0.3,45,16,1,0.833333333333333,5.51043967001499,10.0187136959733,1.6179715627969,29.1593036059918,0.0201109570041609,0.0974537037037037,4.66505650501751,12
BENCH_TUNED_PID,10,0.3,45,16,1,0.833333333333333,5.51043967001499,10.0187136959733,1.6179715627969,29.1593036059918,0.0201109570041609,0.0974537037037037,4.66505650501751,12
BENCH_TUNED_PCH,10,0.3,30,8,1,1,1.85590479044104,3.62990279595623,0.931370818297767,23.0963768774712,0.000115580212667591,0.412152777777778,3.85582621136031,12
AMATEUR_BASIC_PID,10,0.9,45,16,1,0.833333333333333,5.51089210434776,10.0185334576328,1.57155184398454,29.1565780274027,0.0198797965788257,0.0980324074074074,4.66508997742621,12
BENCH_TUNED_PID,10,0.9,45,16,1,0.833333333333333,5.51089210434776,10.0185334576328,1.57155184398454,29.1565780274027,0.0198797965788257,0.0980324074074074,4.66508997742621,12
BENCH_TUNED_PCH,10,0.9,30,8,1,1,1.86165985000806,3.65344723272962,1.02274729715176,23.1058430858786,0,0.410416666666667,3.85695046551757,12
AMATEUR_BASIC_PID,10,1.5,45,16,1,0.833333333333333,5.50849671273571,10.0096552363772,1.52679749601266,29.1557243414949,0.0201109570041609,0.0993055555555555,4.66635302916398,12
BENCH_TUNED_PID,10,1.5,45,16,1,0.833333333333333,5.50849671273571,10.0096552363772,1.52679749601266,29.1557243414949,0.0201109570041609,0.0993055555555555,4.66635302916398,12
BENCH_TUNED_PCH,10,1.5,30,6,1,1,1.91209401324455,3.66191354530613,1.02801244428038,23.214319899523,0,0.281944444444444,3.83297187007968,12
