rocket_id,final_label,td,keff,latency,Pi,best_Kp,best_Kd,peak_pid_sr,peak_adrc_sr,best_wc,sr_delta,adrc_sr_wc1.5,adrc_sr_wc2.0,adrc_sr_wc3.0,adrc_sr_wc5.0,adrc_sr_wc7.0,adrc_sr_wc10.0,adrc_sr_wc15.0
R0245,EASY,15.014741531086987,1.8313569727582,4,240.2358644973918,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1766,EASY,12.28772377283645,1.555323077858569,4,196.6035803653832,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666
R1687,EASY,9.294148246192186,2.5510718858471404,4,148.70637193907498,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0629,EASY,4.829629671304445,1.9319700844234333,5,120.74074178261111,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2159,EASY,7.779033703557639,1.2620388676768688,4,124.46453925692222,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666
R0313,EASY,9.960511095662213,2.362365826402477,4,159.3681775305954,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333
R2209,EASY,7.0484688656474495,1.0093124550198551,4,112.77550185035919,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2250,EASY,13.267981929973942,2.641188853105178,4,212.28771087958307,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0468,EASY,23.046753591141115,3.03115316304285,5,576.1688397785279,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1790,EASY,19.167871615340196,2.8480900093099395,6,690.0433781522471,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0168,EASY,36.46523237327402,12.001957272973577,3,328.1870913594662,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.3333333333333333,0.6,1.0,1.0,1.0,0.5333333333333333,0.0
R0776,EASY,21.1414921276919,2.234158724040008,4,338.2638740430704,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1829,EASY,13.51315964547217,1.4467166292868625,5,337.82899113680423,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1111,EASY,27.42341387314128,5.334707886712756,5,685.585346828532,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5333333333333333,0.13333333333333333
R0339,EASY,16.921654694600885,6.948749767399558,6,609.1795690056318,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.4666666666666667,0.6,1.0,1.0,0.4,0.06666666666666667,0.26666666666666666
R1093,EASY,85.48814871365212,9.262610084500364,2,341.9525948546085,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333
R1662,EASY,20.645779594093447,2.8878356707227715,6,743.2480653873641,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.0
R0904,EASY,157.38285277560263,16.031833504465837,2,629.5314111024105,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.13333333333333333
R1860,EASY,98.38262645306281,9.914015984097484,3,885.4436380775653,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.06666666666666667
R0292,EASY,23.858501804078237,2.6674037205583656,6,858.9060649468165,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333
R0248,EASY,56.97521358952784,16.779191612006546,4,911.6034174324454,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.4,0.3333333333333333,1.0,1.0,0.8666666666666667,0.2,0.0
R1520,EASY,51.54998776178632,6.41249912604444,4,824.7998041885811,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.5333333333333333,0.4666666666666667
R1328,EASY,57.701938968569074,6.211210655930433,4,923.2310234971052,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0
R1523,EASY,38.281374079230176,7.811216545544936,6,1378.1294668522864,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.6,0.8,1.0,1.0,0.26666666666666666,0.26666666666666666,0.0
R1992,EASY,49.93641884165876,4.808751995809869,5,1248.410471041469,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.0
R2241,EASY,62.31468175355088,10.262361126629193,4,997.0349080568141,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.4,0.6,1.0,1.0,1.0,0.0,0.0
R1350,EASY,248.91027419429574,30.88887147001623,2,995.641096777183,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.2,0.4666666666666667,1.0,1.0,1.0,1.0,0.0
R0852,EASY,74.77435289211648,7.786564773031012,5,1869.3588223029121,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.13333333333333333,0.0
R1707,FRAGILE,166.32711134419628,20.05623430491554,4,2661.2337815071405,41.78105458855241,1.0,0.8666666666666667,1.0,5.0,0.1333333333333333,0.0,0.06666666666666667,0.7333333333333333,1.0,0.7333333333333333,0.0,0.0
R1648,EASY,213.67197467696985,17.8146626316146,4,3418.7515948315177,41.78105458855241,0.5,1.0,1.0,5.0,0.0,0.3333333333333333,0.4666666666666667,0.9333333333333333,1.0,1.0,0.0,0.0
R1351,EASY,82.24211832248128,8.066920356108167,5,2056.052958062032,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.3333333333333333,0.26666666666666666,1.0,1.0,0.3333333333333333,0.5333333333333333,0.0
