task,static_margin,servo_slew,best_Kp,best_Kd,success_rate,rms_deg,settling_s,mean_max_theta
hold,0.0,400,80,2,1.0,0.055921192111684656,0.0,0.14024350897205207
hold,0.05,400,80,2,1.0,0.055921458991109604,0.0,0.14024475543987594
hold,0.1,400,80,2,1.0,0.05592172587189048,0.0,0.14024600190146047
hold,0.2,400,80,2,1.0,0.05592225963751944,0.0,0.14024849480590823
hold,0.3,400,80,2,1.0,0.05592279340857028,0.0,0.14025098768538813
hold,-0.3,800,80,2,1.0,0.055919590863618016,0.0,0.1402360300341364
hold,-0.2,800,80,2,1.0,0.055920124607547195,0.0,0.14023852303838275
hold,-0.1,800,80,2,1.0,0.055920658356903165,0.0,0.14024101601769043
hold,-0.05,800,80,2,1.0,0.05592092523361579,0.0,0.14024226249799002
hold,0.0,800,80,2,1.0,0.055921192111684656,0.0,0.14024350897205207
hold,0.05,800,80,2,1.0,0.055921458991109604,0.0,0.14024475543987594
hold,0.1,800,80,2,1.0,0.05592172587189048,0.0,0.14024600190146047
hold,0.2,800,80,2,1.0,0.05592225963751944,0.0,0.14024849480590823
hold,0.3,800,80,2,1.0,0.05592279340857028,0.0,0.14025098768538813
maneuver_10deg,-0.3,60,2,2,1.0,6.846918528098077,3.0,19.963567929722693
maneuver_10deg,-0.2,60,2,2,1.0,6.847815462769437,3.0,19.96850129584743
maneuver_10deg,-0.1,60,2,2,1.0,6.848712674959179,3.0,19.973435282722253
maneuver_10deg,-0.05,60,2,2,1.0,6.849161385116861,3.0,19.975902508932663
maneuver_10deg,0.0,60,2,2,1.0,6.849610164646236,3.0,19.978369890320668
maneuver_10deg,0.05,60,2,2,1.0,6.85005901354466,3.0,19.980837426882935
maneuver_10deg,0.1,60,2,2,1.0,6.8505079318095,3.0,19.98330511861615
maneuver_10deg,0.2,60,2,2,1.0,6.851405976427857,3.0,19.988240967582147
maneuver_10deg,0.3,60,2,2,1.0,6.852304298480173,3.0,19.99317743719205
maneuver_10deg,-0.3,120,2,2,1.0,6.846918528098077,3.0,19.963567929722693
maneuver_10deg,-0.2,120,2,2,1.0,6.847815462769437,3.0,19.96850129584743
maneuver_10deg,-0.1,120,2,2,1.0,6.848712674959179,3.0,19.973435282722253
maneuver_10deg,-0.05,120,2,2,1.0,6.849161385116861,3.0,19.975902508932663
maneuver_10deg,0.0,120,2,2,1.0,6.849610164646236,3.0,19.978369890320668
maneuver_10deg,0.05,120,2,2,1.0,6.85005901354466,3.0,19.980837426882935
maneuver_10deg,0.1,120,2,2,1.0,6.8505079318095,3.0,19.98330511861615
maneuver_10deg,0.2,120,2,2,1.0,6.851405976427857,3.0,19.988240967582147
maneuver_10deg,0.3,120,2,2,1.0,6.852304298480173,3.0,19.99317743719205
maneuver_10deg,-0.3,200,2,2,1.0,6.846918528098077,3.0,19.963567929722693
maneuver_10deg,-0.2,200,2,2,1.0,6.847815462769437,3.0,19.96850129584743
maneuver_10deg,-0.1,200,2,2,1.0,6.848712674959179,3.0,19.973435282722253
maneuver_10deg,-0.05,200,2,2,1.0,6.849161385116861,3.0,19.975902508932663
maneuver_10deg,0.0,200,2,2,1.0,6.849610164646236,3.0,19.978369890320668
maneuver_10deg,0.05,200,2,2,1.0,6.85005901354466,3.0,19.980837426882935
maneuver_10deg,0.1,200,2,2,1.0,6.8505079318095,3.0,19.98330511861615
maneuver_10deg,0.2,200,2,2,1.0,6.851405976427857,3.0,19.988240967582147
maneuver_10deg,0.3,200,2,2,1.0,6.852304298480173,3.0,19.99317743719205
maneuver_10deg,-0.3,400,80,16,0.8,8.537369351139962,3.0,23.107144096671853
maneuver_10deg,-0.2,400,80,16,0.8,8.567351208863684,3.0,23.166696723103815
maneuver_10deg,-0.1,400,80,16,0.8,8.565681353841898,3.0,23.1847754224171
maneuver_10deg,-0.05,400,80,16,0.8,8.571143056629058,3.0,23.205271035163094
maneuver_10deg,0.0,400,80,16,0.8,8.570446161864957,3.0,23.204514218367773
maneuver_10deg,0.05,400,80,16,0.8,8.567515540933352,3.0,23.210726310962226
maneuver_10deg,0.1,400,80,16,0.8,8.587321600969279,3.0,23.248661639558584
maneuver_10deg,0.2,400,80,16,0.8,8.587764161452933,3.0,23.25347567790849
maneuver_10deg,0.3,400,80,16,0.8,8.59343764173277,3.0,23.283441502829692
maneuver_10deg,-0.3,800,80,16,0.8,8.537369351139962,3.0,23.107144096671853
maneuver_10deg,-0.2,800,80,16,0.8,8.567351208863684,3.0,23.166696723103815
maneuver_10deg,-0.1,800,80,16,0.8,8.565681353841898,3.0,23.1847754224171
maneuver_10deg,-0.05,800,80,16,0.8,8.571143056629058,3.0,23.205271035163094
maneuver_10deg,0.0,800,80,16,0.8,8.570446161864957,3.0,23.204514218367773
maneuver_10deg,0.05,800,80,16,0.8,8.567515540933352,3.0,23.210726310962226
maneuver_10deg,0.1,800,80,16,0.8,8.587321600969279,3.0,23.248661639558584
maneuver_10deg,0.2,800,80,16,0.8,8.587764161452933,3.0,23.25347567790849
maneuver_10deg,0.3,800,80,16,0.8,8.59343764173277,3.0,23.283441502829692
