rocket_id,final_label,td,keff,latency_steps,kp_simple,kp_full,Kp_floor,Kp_ceiling,window_ratio,Kp_miss,Kp_miss_fraction,miss_type,gain_ok,sr_simple_in_full,sr_full_in_full,false_rejection_v2
R0466,EASY,19.749723593349124,2.4185475472741853,5,3.6,69.63,0.7226196994644296,76.0,105.17288700588634,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0467,EASY,18.310637571851256,2.6994443990705292,4,88.81,69.63,0.6548158849559018,95.0,145.0789484228803,0.0,0.0,inside,True,1.0,1.0,0
R0468,EASY,23.046753591141115,3.03115316304285,5,2.83,81.89,0.918214817886062,76.0,82.76930247648276,0.0,0.0,inside,True,0.3333333333333333,1.0,1
R0469,EASY,24.063584141684814,3.1948875235163747,4,43.14,81.89,0.783004837807786,95.0,121.32747514814314,0.0,0.0,inside,True,1.0,1.0,0
R0470,EASY,11.232866832815478,3.1051787723684985,2,31.43,81.89,0.3894467266621893,190.0,487.87160603049114,0.0,0.0,inside,True,1.0,1.0,0
R0471,EASY,180.5698446495365,21.76700663752589,3,320.0,132.17,4.544651346438904,126.66666666666667,27.871591682367466,193.33333333333331,6.936573107722538,overtuned,False,0.3333333333333333,1.0,1
R0472,EASY,3.3038267039664504,0.7567520561834965,4,1.0,6.84,0.16986615712521,95.0,559.2638440038093,0.0,0.0,inside,True,1.0,1.0,0
R0473,EASY,36.128380532296994,7.912783926167907,2,26.73,26.73,1.0506826494423611,190.0,180.83481258669354,0.0,0.0,inside,True,1.0,1.0,0
R0474,EASY,46.9356298580606,4.021720769141946,4,11.97,24.65,0.9995812997542749,95.0,95.03979318476013,0.0,0.0,inside,True,1.0,1.0,0
R0475,EASY,192.7758558470076,29.15865940567346,5,320.0,155.45,10.140904861749098,76.0,7.494400256792426,244.0,32.557641924562894,overtuned,False,0.0,0.6666666666666666,1
R0476,EASY,10.290722642421247,0.88082790667577,4,24.65,46.78,0.19955678689957626,95.0,476.0549689938996,0.0,0.0,inside,True,1.0,1.0,0
R0477,EASY,17.00635265512335,2.0361274652800265,1,2.42,81.89,0.12758314842288204,380.0,2978.449777242266,0.0,0.0,inside,True,1.0,1.0,0
R0478,EASY,19.19928938777824,1.6004226112517606,3,320.0,81.89,0.2849634328393761,126.66666666666667,444.5014765738881,193.33333333333331,0.43494418696536347,overtuned,False,1.0,1.0,0
R0479,EASY,2.8603805062916066,1.2802911240896024,6,3.32,81.89,0.43867574591714475,63.333333333333336,144.37391153441035,0.0,0.0,inside,True,1.0,1.0,0
R0480,EASY,8.253406045406864,2.1924899421868975,3,50.74,81.89,0.39795223109651984,126.66666666666667,318.2961591084654,0.0,0.0,inside,True,1.0,1.0,0
R0481,EASY,36.59356586936577,6.5688514279958055,5,295.07,88.81,2.0860015635576,76.0,36.43333798388183,219.07,6.012899506954783,overtuned,False,1.0,1.0,0
R0482,EASY,14.144109366747472,1.9199667014653894,5,43.14,11.97,0.5656306657095839,76.0,134.36329500391915,0.0,0.0,inside,True,0.6666666666666666,1.0,0
