rocket_id,Kp,opt_Kd,max_sr,best_kd_at_Kp,frozen_sr
R0266,500.0,0.182142683484797,0.8333333333333334,21.5,0.0
R0384,0.1,0.14580139875562764,0.3333333333333333,0.38,0.16666666666666666
R0384,0.1565606557943096,0.14580139875562764,0.3333333333333333,0.38,0.16666666666666666
R0384,0.245112389427443,0.14580139875562764,0.4166666666666667,0.38,0.16666666666666666
R0384,0.38374956432070695,0.14580139875562764,0.6666666666666666,0.38,0.16666666666666666
R0384,0.6008008345083048,0.14580139875562764,0.8333333333333334,0.38,0.5
R0384,0.9406177265238869,0.14580139875562764,1.0,0.38,0.8333333333333334
R0384,1.472637281163324,0.14580139875562764,1.0,0.38,0.75
R0384,2.3055705848607913,0.14580139875562764,1.0,0.38,0.8333333333333334
R0384,3.6096164274587546,0.14580139875562764,1.0,0.1,0.9166666666666666
R0384,5.651239150488556,0.14580139875562764,1.0,0.1,1.0
R0384,8.847617074509655,0.14580139875562764,1.0,0.1,1.0
R0384,13.85188731402163,0.14580139875562764,1.0,0.1,1.0
R0384,21.686605618721064,0.14580139875562764,1.0,0.1,1.0
R0384,33.9526919761953,0.14580139875562764,1.0,0.14580139875562764,1.0
R0384,53.1565572177533,0.14580139875562764,1.0,0.14580139875562764,1.0
R0384,83.222254577792,0.14580139875562764,1.0,0.38,0.3333333333333333
R0384,130.293307533801,0.14580139875562764,1.0,0.38,0.0
R0384,203.9880567310155,0.14580139875562764,1.0,0.38,0.0
R0384,319.36503936014617,0.14580139875562764,1.0,0.38,0.0
R0384,500.0,0.14580139875562764,1.0,0.38,0.0
R0477,0.1,0.05217092291062181,1.0,0.38,0.9166666666666666
R0477,0.1565606557943096,0.05217092291062181,1.0,0.38,0.9166666666666666
R0477,0.245112389427443,0.05217092291062181,1.0,0.1,0.9166666666666666
R0477,0.38374956432070695,0.05217092291062181,1.0,0.05217092291062181,1.0
R0477,0.6008008345083048,0.05217092291062181,1.0,0.05217092291062181,1.0
R0477,0.9406177265238869,0.05217092291062181,1.0,0.05217092291062181,1.0
R0477,1.472637281163324,0.05217092291062181,1.0,0.05217092291062181,1.0
R0477,2.3055705848607913,0.05217092291062181,1.0,0.05217092291062181,1.0
R0477,3.6096164274587546,0.05217092291062181,1.0,0.05217092291062181,1.0
R0477,5.651239150488556,0.05217092291062181,1.0,0.05217092291062181,1.0
R0477,8.847617074509655,0.05217092291062181,1.0,0.1,0.9166666666666666
R0477,13.85188731402163,0.05217092291062181,1.0,0.1,0.75
R0477,21.686605618721064,0.05217092291062181,1.0,0.38,0.4166666666666667
R0477,33.9526919761953,0.05217092291062181,1.0,0.38,0.0
R0477,53.1565572177533,0.05217092291062181,1.0,0.38,0.0
R0477,83.222254577792,0.05217092291062181,1.0,1.46,0.0
R0477,130.293307533801,0.05217092291062181,1.0,1.46,0.0
R0477,203.9880567310155,0.05217092291062181,0.9166666666666666,1.46,0.0
R0477,319.36503936014617,0.05217092291062181,1.0,21.5,0.0
R0477,500.0,0.05217092291062181,0.8333333333333334,21.5,0.0
R0606,0.1,0.08141953168269683,0.8333333333333334,0.08141953168269683,0.8333333333333334
R0606,0.1565606557943096,0.08141953168269683,0.8333333333333334,0.08141953168269683,0.8333333333333334
R0606,0.245112389427443,0.08141953168269683,0.8333333333333334,0.08141953168269683,0.8333333333333334
R0606,0.38374956432070695,0.08141953168269683,0.9166666666666666,0.1,0.75
R0606,0.6008008345083048,0.08141953168269683,0.8333333333333334,0.08141953168269683,0.8333333333333334
R0606,0.9406177265238869,0.08141953168269683,0.9166666666666666,0.08141953168269683,0.9166666666666666
R0606,1.472637281163324,0.08141953168269683,1.0,0.08141953168269683,1.0
R0606,2.3055705848607913,0.08141953168269683,1.0,0.08141953168269683,1.0
R0606,3.6096164274587546,0.08141953168269683,1.0,0.1,0.9166666666666666
R0606,5.651239150488556,0.08141953168269683,1.0,0.08141953168269683,1.0
R0606,8.847617074509655,0.08141953168269683,1.0,0.1,0.9166666666666666
R0606,13.85188731402163,0.08141953168269683,1.0,0.38,0.5
R0606,21.686605618721064,0.08141953168269683,1.0,0.38,0.16666666666666666
R0606,33.9526919761953,0.08141953168269683,1.0,0.38,0.0
R0606,53.1565572177533,0.08141953168269683,0.8333333333333334,0.38,0.0
R0606,83.222254577792,0.08141953168269683,0.8333333333333334,1.46,0.0
R0606,130.293307533801,0.08141953168269683,0.6666666666666666,1.46,0.0
R0606,203.9880567310155,0.08141953168269683,0.8333333333333334,5.62,0.0
R0606,319.36503936014617,0.08141953168269683,0.5,5.62,0.0
R0606,500.0,0.08141953168269683,0.75,21.5,0.0
R0624,0.1,0.0858113194000959,0.9166666666666666,0.0858113194000959,0.9166666666666666
R0624,0.1565606557943096,0.0858113194000959,0.9166666666666666,0.1,0.8333333333333334
R0624,0.245112389427443,0.0858113194000959,0.9166666666666666,0.38,0.75
R0624,0.38374956432070695,0.0858113194000959,1.0,0.38,0.75
R0624,0.6008008345083048,0.0858113194000959,1.0,0.38,0.8333333333333334
R0624,0.9406177265238869,0.0858113194000959,1.0,0.38,0.8333333333333334
R0624,1.472637281163324,0.0858113194000959,1.0,0.1,0.9166666666666666
R0624,2.3055705848607913,0.0858113194000959,1.0,0.38,0.5833333333333334
R0624,3.6096164274587546,0.0858113194000959,1.0,0.38,0.6666666666666666
R0624,5.651239150488556,0.0858113194000959,1.0,0.38,0.6666666666666666
R0624,8.847617074509655,0.0858113194000959,1.0,0.38,0.75
R0624,13.85188731402163,0.0858113194000959,1.0,0.38,0.4166666666666667
R0624,21.686605618721064,0.0858113194000959,1.0,0.38,0.16666666666666666
R0624,33.9526919761953,0.0858113194000959,1.0,0.38,0.0
R0624,53.1565572177533,0.0858113194000959,1.0,0.38,0.0
R0624,83.222254577792,0.0858113194000959,1.0,0.38,0.0
R0624,130.293307533801,0.0858113194000959,1.0,0.38,0.0
R0624,203.9880567310155,0.0858113194000959,1.0,0.38,0.0
R0624,319.36503936014617,0.0858113194000959,1.0,0.38,0.0
R0624,500.0,0.0858113194000959,1.0,1.46,0.0
R0787,0.1,0.0858113194000959,1.0,0.38,0.25
R0787,0.1565606557943096,0.0858113194000959,1.0,0.38,0.25
R0787,0.245112389427443,0.0858113194000959,1.0,0.38,0.3333333333333333
R0787,0.38374956432070695,0.0858113194000959,1.0,0.38,0.4166666666666667
R0787,0.6008008345083048,0.0858113194000959,1.0,0.0858113194000959,1.0
R0787,0.9406177265238869,0.0858113194000959,1.0,0.38,0.9166666666666666
R0787,1.472637281163324,0.0858113194000959,1.0,0.0858113194000959,1.0
R0787,2.3055705848607913,0.0858113194000959,1.0,0.0858113194000959,1.0
R0787,3.6096164274587546,0.0858113194000959,1.0,0.38,0.8333333333333334
R0787,5.651239150488556,0.0858113194000959,1.0,0.1,0.75
R0787,8.847617074509655,0.0858113194000959,1.0,0.38,0.5833333333333334
R0787,13.85188731402163,0.0858113194000959,1.0,0.38,0.6666666666666666
R0787,21.686605618721064,0.0858113194000959,1.0,0.38,0.3333333333333333
R0787,33.9526919761953,0.0858113194000959,1.0,0.38,0.08333333333333333
R0787,53.1565572177533,0.0858113194000959,1.0,0.38,0.0
R0787,83.222254577792,0.0858113194000959,1.0,0.38,0.0
R0787,130.293307533801,0.0858113194000959,1.0,0.38,0.0
R0787,203.9880567310155,0.0858113194000959,1.0,0.38,0.0
R0787,319.36503936014617,0.0858113194000959,1.0,1.46,0.0
R0787,500.0,0.0858113194000959,1.0,1.46,0.0
R0890,0.1,0.17632369565418615,0.9166666666666666,0.38,0.8333333333333334
R0890,0.1565606557943096,0.17632369565418615,0.9166666666666666,0.1,0.9166666666666666
R0890,0.245112389427443,0.17632369565418615,0.9166666666666666,0.17632369565418615,0.9166666666666666
R0890,0.38374956432070695,0.17632369565418615,1.0,0.17632369565418615,1.0
R0890,0.6008008345083048,0.17632369565418615,1.0,0.17632369565418615,1.0
R0890,0.9406177265238869,0.17632369565418615,1.0,0.17632369565418615,1.0
R0890,1.472637281163324,0.17632369565418615,1.0,0.17632369565418615,1.0
R0890,2.3055705848607913,0.17632369565418615,1.0,0.1,1.0
R0890,3.6096164274587546,0.17632369565418615,1.0,0.1,1.0
R0890,5.651239150488556,0.17632369565418615,1.0,0.1,1.0
R0890,8.847617074509655,0.17632369565418615,1.0,0.1,1.0
R0890,13.85188731402163,0.17632369565418615,1.0,0.17632369565418615,1.0
R0890,21.686605618721064,0.17632369565418615,1.0,0.17632369565418615,1.0
R0890,33.9526919761953,0.17632369565418615,1.0,0.17632369565418615,1.0
R0890,53.1565572177533,0.17632369565418615,1.0,0.38,0.3333333333333333
R0890,83.222254577792,0.17632369565418615,1.0,0.38,0.0
R0890,130.293307533801,0.17632369565418615,1.0,0.38,0.0
R0890,203.9880567310155,0.17632369565418615,0.8333333333333334,5.62,0.0
R0890,319.36503936014617,0.17632369565418615,0.8333333333333334,5.62,0.0
R0890,500.0,0.17632369565418615,0.9166666666666666,21.5,0.0
R1143,0.1,0.06309246695711429,0.9166666666666666,0.1,0.75
R1143,0.1565606557943096,0.06309246695711429,1.0,0.38,0.75
R1143,0.245112389427443,0.06309246695711429,1.0,0.1,0.8333333333333334
R1143,0.38374956432070695,0.06309246695711429,1.0,0.1,0.75
R1143,0.6008008345083048,0.06309246695711429,1.0,0.38,0.8333333333333334
R1143,0.9406177265238869,0.06309246695711429,1.0,0.38,0.6666666666666666
R1143,1.472637281163324,0.06309246695711429,1.0,0.1,0.75
R1143,2.3055705848607913,0.06309246695711429,1.0,0.1,0.8333333333333334
R1143,3.6096164274587546,0.06309246695711429,1.0,0.38,0.5
R1143,5.651239150488556,0.06309246695711429,1.0,0.38,0.5833333333333334
R1143,8.847617074509655,0.06309246695711429,1.0,0.38,0.5
R1143,13.85188731402163,0.06309246695711429,1.0,0.38,0.16666666666666666
R1143,21.686605618721064,0.06309246695711429,1.0,0.38,0.0
R1143,33.9526919761953,0.06309246695711429,1.0,0.38,0.0
R1143,53.1565572177533,0.06309246695711429,1.0,0.38,0.0
R1143,83.222254577792,0.06309246695711429,1.0,0.38,0.0
