rocket_id,keff,lat,Pi_keff,td,kp,sr_pd,sr_h1,sr_h5,sr_adrc
R1470,3.57,1,4.2,31.3,134.05,1.0,0.0,1.0,1.0
R1470,3.57,1,4.2,31.3,231.01,1.0,0.0,1.0,1.0
R1470,3.57,1,4.2,31.3,398.11,0.3,0.0,1.0,1.0
R0574,2.906,4,48.0,34.8,1.0,1.0,1.0,1.0,1.0
R0574,2.906,4,48.0,34.8,1.72,1.0,1.0,1.0,1.0
R0574,2.906,4,48.0,34.8,2.97,1.0,1.0,1.0,1.0
R0574,2.906,4,48.0,34.8,5.12,1.0,1.0,1.0,1.0
R0574,2.906,4,48.0,34.8,8.82,1.0,1.0,1.0,1.0
R0574,2.906,4,48.0,34.8,15.2,1.0,1.0,1.0,1.0
R0574,2.906,4,48.0,34.8,26.19,1.0,1.0,1.0,1.0
R0574,2.906,4,48.0,34.8,45.14,1.0,0.2,1.0,1.0
R0574,2.906,4,48.0,34.8,77.79,1.0,0.0,1.0,1.0
R0574,2.906,4,48.0,34.8,134.05,1.0,0.0,1.0,1.0
R0574,2.906,4,48.0,34.8,231.01,0.3,0.0,1.0,1.0
R0574,2.906,4,48.0,34.8,398.11,0.0,0.0,1.0,1.0
R1437,3.752,4,70.1,46.1,1.0,0.1,0.0,0.0,1.0
R1437,3.752,4,70.1,46.1,1.72,0.1,0.0,0.0,1.0
R1437,3.752,4,70.1,46.1,2.97,0.2,0.0,0.0,1.0
R1437,3.752,4,70.1,46.1,5.12,0.2,0.0,0.0,1.0
R1437,3.752,4,70.1,46.1,8.82,1.0,1.0,0.0,1.0
R1437,3.752,4,70.1,46.1,15.2,1.0,1.0,0.0,1.0
R1437,3.752,4,70.1,46.1,26.19,1.0,1.0,0.0,1.0
R1437,3.752,4,70.1,46.1,45.14,1.0,0.0,0.0,1.0
R1437,3.752,4,70.1,46.1,77.79,1.0,0.0,0.0,1.0
R1437,3.752,4,70.1,46.1,134.05,0.7,0.0,0.0,1.0
R1437,3.752,4,70.1,46.1,231.01,0.0,0.0,0.0,1.0
R1437,3.752,4,70.1,46.1,398.11,0.0,0.0,0.0,1.0
R1098,5.243,4,85.1,45.8,1.0,1.0,1.0,0.0,1.0
R1098,5.243,4,85.1,45.8,1.72,1.0,1.0,0.0,1.0
R1098,5.243,4,85.1,45.8,2.97,1.0,1.0,0.0,1.0
R1098,5.243,4,85.1,45.8,5.12,1.0,1.0,0.0,1.0
R1098,5.243,4,85.1,45.8,8.82,1.0,1.0,0.0,1.0
R1098,5.243,4,85.1,45.8,15.2,1.0,1.0,0.0,1.0
R1098,5.243,4,85.1,45.8,26.19,1.0,0.5,0.0,1.0
R1098,5.243,4,85.1,45.8,45.14,1.0,0.0,0.0,1.0
R1098,5.243,4,85.1,45.8,77.79,1.0,0.0,0.0,1.0
R1098,5.243,4,85.1,45.8,134.05,1.0,0.0,0.0,1.0
R1098,5.243,4,85.1,45.8,231.01,1.0,0.0,0.3,1.0
R1098,5.243,4,85.1,45.8,398.11,0.0,0.0,1.0,1.0
R0969,11.428,5,366.0,115.8,1.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,1.72,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,2.97,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,5.12,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,8.82,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,15.2,1.0,0.2,1.0,1.0
R0969,11.428,5,366.0,115.8,26.19,1.0,0.0,1.0,1.0
R0969,11.428,5,366.0,115.8,45.14,1.0,0.0,1.0,1.0
R0969,11.428,5,366.0,115.8,77.79,1.0,0.0,1.0,1.0
R0969,11.428,5,366.0,115.8,134.05,0.6,0.0,1.0,1.0
R0969,11.428,5,366.0,115.8,231.01,0.1,0.0,1.0,1.0
R0969,11.428,5,366.0,115.8,398.11,0.0,0.0,1.0,1.0
R1474,3.544,6,253.2,69.1,1.0,0.0,0.0,0.0,1.0
R1474,3.544,6,253.2,69.1,1.72,0.0,0.0,0.0,1.0
R1474,3.544,6,253.2,69.1,2.97,0.1,0.0,0.0,1.0
R1474,3.544,6,253.2,69.1,5.12,0.4,0.0,0.0,1.0
R1474,3.544,6,253.2,69.1,8.82,1.0,1.0,0.0,1.0
R1474,3.544,6,253.2,69.1,15.2,1.0,1.0,0.0,1.0
R1474,3.544,6,253.2,69.1,26.19,1.0,0.2,0.0,1.0
R1474,3.544,6,253.2,69.1,45.14,1.0,0.0,0.0,1.0
R1474,3.544,6,253.2,69.1,77.79,1.0,0.0,0.0,1.0
R1474,3.544,6,253.2,69.1,134.05,1.0,0.0,0.0,1.0
R1474,3.544,6,253.2,69.1,231.01,0.0,0.0,0.0,1.0
R1474,3.544,6,253.2,69.1,398.11,0.0,0.0,0.0,1.0
R0197,7.18,2,22.8,61.6,1.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,1.72,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,2.97,1.0,1.0,1.0,1.0
