rocket_id,td,Iyy,wind,latency,Kp,sr
R0024,156.25481013841963,0.0051563210769216,0.12,6,60,0.6
R0024,156.25481013841963,0.0051563210769216,0.12,6,90,0.6
R0024,156.25481013841963,0.0051563210769216,0.12,6,130,0.0
R0024,156.25481013841963,0.0051563210769216,0.12,6,190,0.0
R0024,156.25481013841963,0.0051563210769216,0.12,6,270,0.0
R0024,156.25481013841963,0.0051563210769216,0.12,6,320,0.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,1,0.8
R0024,156.25481013841963,0.0051563210769216,0.22,1,2,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,3,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,5,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,8,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,12,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,40,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,60,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,90,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,130,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,190,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,270,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,1,320,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,1,0.4
R0024,156.25481013841963,0.0051563210769216,0.22,3,2,0.4
R0024,156.25481013841963,0.0051563210769216,0.22,3,3,0.8
R0024,156.25481013841963,0.0051563210769216,0.22,3,5,0.8
R0024,156.25481013841963,0.0051563210769216,0.22,3,8,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,12,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,40,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,60,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,90,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,130,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,190,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,3,270,0.8
R0024,156.25481013841963,0.0051563210769216,0.22,3,320,0.6
R0024,156.25481013841963,0.0051563210769216,0.22,6,1,0.0
R0024,156.25481013841963,0.0051563210769216,0.22,6,2,0.0
R0024,156.25481013841963,0.0051563210769216,0.22,6,3,0.2
R0024,156.25481013841963,0.0051563210769216,0.22,6,5,0.8
