cell_id,regime_label,regime_code,robustness,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,max_ang_accel_deg_s2,rise_time_s,settling_time_s,overshoot_pct,peak_att_rate_deg_s,control_effort_usage,actuator_sat_frac,slew_sat_frac,success_like_rate,rms_err_deg,peak_err_deg,end_err_deg,n_trials,rise_reached_frac,settled_frac,bounded_window_s,boundary_slew_deg_s,slew_margin_to_boundary,agility_index
15,EASY,2,1,0,60,12,0.8,10,24,206.912823738356,2.415,NaN,20.5359567867353,55.2250689475636,0.697732732242464,0.424151696606786,0.998,0,15.1632230058235,22.3429187105157,4.90279551082122,2,1,0,2.5,60,0,1.7095870860352
16,EASY,2,1,0,60,15,1,10,24,206.912823738356,2.415,NaN,20.5359567867353,55.2250689475636,0.631119405376174,0.315369261477046,0.998,0,15.1632230058235,22.3429187105157,4.90279551082122,2,1,0,2.5,60,0,1.7095870860352
17,FRAGILE,1,1,0,75,8,0.533333333333333,10,16,253.108614877741,2.2775,NaN,58.9959631867292,69.920488921864,0.80968085524852,0.598802395209581,1,0,14.8799987601803,23.3246437991906,11.7991926373458,2,1,0,2.5,90,-15,-0.966883929172495
18,EASY,2,1,0,75,10,0.666666666666667,10,16,253.108614877741,2.2775,NaN,58.9959631867292,69.920488921864,0.752982324505208,0.44810379241517,1,0,14.8799987601803,23.3246437991906,11.7991926373458,2,1,0,2.5,60,15,-0.966883929172495
19,EASY,2,1,0,75,12,0.8,10,16,253.108614877741,2.2775,NaN,58.9959631867292,69.920488921864,0.695392544442747,0.38622754491018,1,0,14.8799987601803,23.3246437991906,11.7991926373458,2,1,0,2.5,60,15,-0.966883929172495
20,EASY,2,1,0,75,15,1,10,16,253.108614877741,2.2775,NaN,58.9959631867292,69.920488921864,0.623928664090664,0.287425149700599,1,0,14.8799987601803,23.3246437991906,11.7991926373458,2,1,0,2.5,60,15,-0.966883929172495
21,EASY,2,1,0,90,8,0.533333333333333,10,16,260.652542309465,1.065,NaN,3.66357749297804,62.4511782630478,0.735911174840155,0.480039920159681,0.997,0,14.0770910775206,22.2058842824407,1.78375270272736,2,0.5,0,2.5,90,0,9.4878243771928
22,EASY,2,1,0,90,10,0.666666666666667,10,16,260.652542309465,1.065,NaN,3.66357749297804,62.4511782630478,0.667275046288589,0.345309381237525,0.997,0,14.0770910775206,22.2058842824407,1.78375270272736,2,0.5,0,2.5,60,30,9.4878243771928
23,EASY,2,1,0,90,12,0.8,10,16,260.652542309465,1.065,NaN,3.66357749297804,62.4511782630478,0.603987731063551,0.227544910179641,0.997,0,14.0770910775206,22.2058842824407,1.78375270272736,2,0.5,0,2.5,60,30,9.4878243771928
24,EASY,2,1,0,90,15,1,10,16,260.652542309465,1.065,NaN,3.66357749297804,62.4511782630478,0.518592196759062,0.154690618762475,0.997,0,14.0770910775206,22.2058842824407,1.78375270272736,2,0.5,0,2.5,60,30,9.4878243771928
25,INFEASIBLE,0,0,1,20,8,0.533333333333333,10,8,103.107666961859,1.2425,NaN,149.390073429168,56.2758345617703,0.679586973082645,0.482035928143713,1,0,27.5890086187307,62.8508885296365,62.8508885296365,2,1,0,1.855,90,-70,-2.85107678148839
26,INFEASIBLE,0,0,1,20,10,0.666666666666667,10,8,103.107666961859,1.2425,NaN,149.390073429168,56.2758345617703,0.635214160839731,0.436127744510978,1,0,27.5890086187307,62.8508885296365,62.8508885296365,2,1,0,1.855,90,-70,-2.85107678148839
27,INFEASIBLE,0,0,1,20,12,0.8,10,8,103.107666961859,1.2425,NaN,149.390073429168,56.2758345617703,0.597556749551512,0.389221556886228,1,0,27.5890086187307,62.8508885296365,62.8508885296365,2,1,0,1.855,90,-70,-2.85107678148839
28,INFEASIBLE,0,0,1,20,15,1,10,8,103.107666961859,1.2425,NaN,149.390073429168,56.2758345617703,0.54667585969637,0.30439121756487,1,0,27.5890086187307,62.8508885296365,62.8508885296365,2,1,0,1.855,90,-70,-2.85107678148839
29,FRAGILE,1,0.333333333333333,1,30,8,0.533333333333333,10,8,148.985175738987,1.44,NaN,149.293276595319,82.8752287145237,0.787182858849753,0.470059880239521,0.999,0,33.7661154355549,81.3504325132143,81.3504325132143,2,1,0,1.8575,90,-60,-2.7127009415603
30,FRAGILE,1,0.333333333333333,1,30,10,0.666666666666667,10,8,148.985175738987,1.44,NaN,149.293276595319,82.8752287145237,0.720503448025623,0.441117764471058,0.999,0,33.7661154355549,81.3504325132143,81.3504325132143,2,1,0,1.8575,90,-60,-2.7127009415603
31,FRAGILE,1,0.333333333333333,1,30,12,0.8,10,8,148.985175738987,1.44,NaN,149.293276595319,82.8752287145237,0.671093302711095,0.411177644710579,0.999,0,33.7661154355549,81.3504325132143,81.3504325132143,2,1,0,1.8575,90,-60,-2.7127009415603
32,FRAGILE,1,0.333333333333333,1,30,15,1,10,8,148.985175738987,1.44,NaN,149.293276595319,82.8752287145237,0.614075035549756,0.363273453093812,0.999,0,33.7661154355549,81.3504325132143,81.3504325132143,2,1,0,1.8575,90,-60,-2.7127009415603
33,INFEASIBLE,0,0.333333333333333,1,45,8,0.533333333333333,10,24,170.730451489987,1.3275,NaN,23.9390220478416,47.4838075836181,0.819447010364634,0.631736526946108,0.998,0,14.2448978956229,24.7438912604409,23.3136962081733,2,1,0,2.4975,90,-45,3.00722403088908
34,INFEASIBLE,0,0.333333333333333,1,45,10,0.666666666666667,10,24,170.730451489987,1.3275,NaN,23.9390220478416,47.4838075836181,0.772223622266021,0.545908183632735,0.998,0,14.2448978956229,24.7438912604409,23.3136962081733,2,1,0,2.4975,90,-45,3.00722403088908
35,INFEASIBLE,0,0.333333333333333,1,45,12,0.8,10,24,170.730451489987,1.3275,NaN,23.9390220478416,47.4838075836181,0.727264964936327,0.478043912175649,0.998,0,14.2448978956229,24.7438912604409,23.3136962081733,2,1,0,2.4975,90,-45,3.00722403088908
36,INFEASIBLE,0,0.333333333333333,1,45,15,1,10,24,170.730451489987,1.3275,NaN,23.9390220478416,47.4838075836181,0.668226997061621,0.384231536926148,0.998,0,14.2448978956229,24.7438912604409,23.3136962081733,2,1,0,2.4975,90,-45,3.00722403088908
37,FRAGILE,1,1,1,60,8,0.533333333333333,10,24,207.473900078968,2.48,NaN,0,61.3929344253275,0.794231082239713,0.608782435129741,0.998,0,15.7223760922164,23.6060298836222,2.98460942554601,2,0.5,0,2.5,90,-30,11.5675032594997
38,FRAGILE,1,1,1,60,10,0.666666666666667,10,24,207.473900078968,2.48,NaN,0,61.3929344253275,0.747497070530593,0.510978043912176,0.998,0,15.7223760922164,23.6060298836222,2.98460942554601,2,0.5,0,2.5,90,-30,11.5675032594997
39,FRAGILE,1,1,1,60,12,0.8,10,24,207.473900078968,2.48,NaN,0,61.3929344253275,0.700511814051192,0.439121756487026,0.998,0,15.7223760922164,23.6060298836222,2.98460942554601,2,0.5,0,2.5,90,-30,11.5675032594997
40,FRAGILE,1,1,1,60,15,1,10,24,207.473900078968,2.48,NaN,0,61.3929344253275,0.634828630911952,0.30439121756487,0.998,0,15.7223760922164,23.6060298836222,2.98460942554601,2,0.5,0,2.5,90,-30,11.5675032594997
41,FRAGILE,1,0.666666666666667,1,75,8,0.533333333333333,10,16,251.03234614897,0.9075,NaN,46.8225207328718,76.1312432876266,0.810037172359121,0.602794411177645,0.998,0,15.3855271663435,25.0244791495583,10.7075241653968,2,1,0,2.5,90,-15,2.37268946780524
42,FRAGILE,1,0.666666666666667,1,75,10,0.666666666666667,10,16,251.03234614897,0.9075,NaN,46.8225207328718,76.1312432876266,0.754940303370038,0.466067864271457,0.998,0,15.3855271663435,25.0244791495583,10.7075241653968,2,1,0,2.5,90,-15,2.37268946780524
