policy,p_unstable,slew_scale,util_frac,actual_slew_deg_s,actual_u_max_deg,design_slew_deg_s,design_u_max_deg,gain1,gain2,success_rate,rms_deg,peak_deg
MEASURED_PD,10,0.5,0.55,45,5.5,45,5.5,30,3,1,1.10507988831544,4.62490951308289
VALIDATOR_LQR,10,0.5,0.55,45,5.5,45,5.5,26.8614066163452,2.57743520831219,1,1.18067856078311,4.65975193391938
NOMINAL_PD,10,0.5,0.35,45,3.5,90,10,30,3,1,1.10507988831544,4.62490951308289
MEASURED_PD,10,0.5,0.35,45,3.5,45,3.5,30,3,1,1.10507988831544,4.62490951308289
VALIDATOR_LQR,10,0.5,0.35,45,3.5,45,3.5,26.8614066163452,2.57743520831219,1,1.18067856078311,4.65975193391938
NOMINAL_PD,10,0.35,1,31.5,10,90,10,30,3,1,1.15755609709077,4.73231385814851
MEASURED_PD,10,0.35,1,31.5,10,31.5,10,30,3,1,1.15755609709077,4.73231385814851
VALIDATOR_LQR,10,0.35,1,31.5,10,31.5,3.75,43.4232921921325,3.79233194160694,0.833333333333333,15.7963063616858,18.5076706478012
NOMINAL_PD,10,0.35,0.75,31.5,7.5,90,10,30,3,1,1.15755609709077,4.73231385814851
MEASURED_PD,10,0.35,0.75,31.5,7.5,31.5,7.5,30,3,1,1.15755609709077,4.73231385814851
VALIDATOR_LQR,10,0.35,0.75,31.5,7.5,31.5,3.75,43.4232921921325,3.79233194160694,0.833333333333333,15.7963063616858,18.5076706478012
NOMINAL_PD,10,0.35,0.55,31.5,5.5,90,10,30,3,1,1.15755609709077,4.73231385814851
MEASURED_PD,10,0.35,0.55,31.5,5.5,31.5,5.5,30,3,1,1.15755609709077,4.73231385814851
VALIDATOR_LQR,10,0.35,0.55,31.5,5.5,31.5,3.75,43.4232921921325,3.79233194160694,0.833333333333333,15.7963063616858,18.5076706478012
NOMINAL_PD,10,0.35,0.35,31.5,3.5,90,10,30,3,1,1.15755609709077,4.73231385814851
MEASURED_PD,10,0.35,0.35,31.5,3.5,31.5,3.5,30,3,1,1.15755609709077,4.73231385814851
VALIDATOR_LQR,10,0.35,0.35,31.5,3.5,31.5,3.5,43.4232921921325,3.79233194160694,1,1.1192152999164,4.71034183586367
NOMINAL_PD,12,1,1,90,10,90,10,30,3,1,1.4517379613843,5.1562000702826
MEASURED_PD,12,1,1,90,10,90,10,30,3,1,1.4517379613843,5.1562000702826
