profile,method,p_unstable,gust_std,cmd_deg,slew_code,u_max_code,servo_deadband,servo_backlash,Kp,Kd,design_success_rate,deploy_success_rate,rms_error_deg,peak_error_deg,end_error_deg,u_cmd_sat_frac,slew_sat_frac
SLOPPY_TVC,BENCH_TUNED_PCH,8,0.9,25,30,10,0.15,0.3,5,4,0,0,9.93899449070834,20.7906026334285,4.6880619394664,0.00968703427719821,0.627425373134328
SLOPPY_TVC,AMATEUR_NOMINAL_PID,8,1.5,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.736400894187779,0.323694029850746
SLOPPY_TVC,CLEAN_RETUNED_PID,8,1.5,25,30,10,0.15,0.3,30,12,1,0,61.3935123564896,72.5059072934554,67.8517080984625,0.563524590163934,0.384514925373134
SLOPPY_TVC,BENCH_TUNED_PID,8,1.5,25,30,10,0.15,0.3,30,4,0.75,0.375,7.0144866232305,14.1557135775307,0.686387938543227,0.00391207153502236,0.277611940298507
SLOPPY_TVC,BENCH_TUNED_PCH,8,1.5,25,30,10,0.15,0.3,10,8,0.25,0.125,30.388071335069,46.9250177592903,37.7524584686337,0.0806631892697466,0.680783582089552
SLOPPY_TVC,AMATEUR_NOMINAL_PID,8,2.5,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.749627421758569,0.301865671641791
SLOPPY_TVC,CLEAN_RETUNED_PID,8,2.5,25,30,10,0.15,0.3,30,12,1,0,59.3572781042026,65.8486181009852,56.6547105823856,0.523845007451565,0.46884328358209
SLOPPY_TVC,BENCH_TUNED_PID,8,2.5,25,30,10,0.15,0.3,30,4,0.5,0.25,17.6329270372756,24.22276163538,12.3836810746354,0.0672503725782414,0.344216417910448
SLOPPY_TVC,BENCH_TUNED_PCH,8,2.5,25,30,10,0.15,0.3,10,4,0.25,0.125,56.7177483249675,74.5287646009173,73.2356162141714,0.136922503725782,0.53955223880597
SLOPPY_TVC,AMATEUR_NOMINAL_PID,10,0.9,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.796944858420268,0.201305970149254
SLOPPY_TVC,CLEAN_RETUNED_PID,10,0.9,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.725223546944858,0.0727611940298507
SLOPPY_TVC,BENCH_TUNED_PID,10,0.9,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.725223546944858,0.0727611940298507
SLOPPY_TVC,BENCH_TUNED_PCH,10,0.9,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.698025335320417,0.0986940298507463
SLOPPY_TVC,AMATEUR_NOMINAL_PID,10,1.5,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.797317436661699,0.203358208955224
SLOPPY_TVC,CLEAN_RETUNED_PID,10,1.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.724478390461997,0.0722014925373134
SLOPPY_TVC,BENCH_TUNED_PID,10,1.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.724478390461997,0.0722014925373134
SLOPPY_TVC,BENCH_TUNED_PCH,10,1.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.69429955290611,0.101305970149254
SLOPPY_TVC,AMATEUR_NOMINAL_PID,10,2.5,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.795081967213115,0.220149253731343
SLOPPY_TVC,CLEAN_RETUNED_PID,10,2.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.722801788375559,0.0707089552238806
SLOPPY_TVC,BENCH_TUNED_PID,10,2.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.722801788375559,0.0707089552238806
SLOPPY_TVC,BENCH_TUNED_PCH,10,2.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.696535022354695,0.101305970149254
SLOPPY_TVC,AMATEUR_NOMINAL_PID,12,0.9,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.812034277198212,0.177985074626866
SLOPPY_TVC,CLEAN_RETUNED_PID,12,0.9,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.776639344262295,0.0652985074626866
SLOPPY_TVC,BENCH_TUNED_PID,12,0.9,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.776639344262295,0.0652985074626866
SLOPPY_TVC,BENCH_TUNED_PCH,12,0.9,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.76080476900149,0.071455223880597
SLOPPY_TVC,AMATEUR_NOMINAL_PID,12,1.5,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.812779433681073,0.177985074626866
SLOPPY_TVC,CLEAN_RETUNED_PID,12,1.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.777757078986587,0.0682835820895522
SLOPPY_TVC,BENCH_TUNED_PID,12,1.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.777757078986587,0.0682835820895522
SLOPPY_TVC,BENCH_TUNED_PCH,12,1.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.760245901639344,0.0727611940298507
SLOPPY_TVC,AMATEUR_NOMINAL_PID,12,2.5,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.81128912071535,0.185074626865672
SLOPPY_TVC,CLEAN_RETUNED_PID,12,2.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.777570789865872,0.0671641791044776
SLOPPY_TVC,BENCH_TUNED_PID,12,2.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.777570789865872,0.0671641791044776
SLOPPY_TVC,BENCH_TUNED_PCH,12,2.5,25,30,10,0.15,0.3,5,4,0,0,90,90,90,0.760245901639344,0.0735074626865672
HARD_LIMIT,AMATEUR_NOMINAL_PID,6,0.9,25,20,8,0.2,0.4,60,8,1,0,90,90,90,0.818740399385561,0.405
HARD_LIMIT,CLEAN_RETUNED_PID,6,0.9,25,20,8,0.2,0.4,30,4,1,0,90,90,90,0.69431643625192,0.406538461538461
HARD_LIMIT,BENCH_TUNED_PID,6,0.9,25,20,8,0.2,0.4,20,4,0.25,0.5,23.1646280515487,36.7642497701538,27.1069302906229,0.12884024577573,0.528269230769231
HARD_LIMIT,BENCH_TUNED_PCH,6,0.9,25,20,8,0.2,0.4,5,4,0.25,0.125,28.8380419380291,40.4215689285125,33.7164006799063,0.054147465437788,0.595
HARD_LIMIT,AMATEUR_NOMINAL_PID,6,1.5,25,20,8,0.2,0.4,60,8,1,0,90,90,90,0.821812596006144,0.407307692307692
HARD_LIMIT,CLEAN_RETUNED_PID,6,1.5,25,20,8,0.2,0.4,30,4,1,0,90,90,90,0.710061443932412,0.389038461538462
HARD_LIMIT,BENCH_TUNED_PID,6,1.5,25,20,8,0.2,0.4,15,4,0,0,15.8199414865268,36.0426774359624,23.2844097273924,0.0710445468509985,0.547115384615385
HARD_LIMIT,BENCH_TUNED_PCH,6,1.5,25,20,8,0.2,0.4,5,4,0,0.25,34.2896483390482,43.7947511416268,37.4009094969035,0.0639400921658986,0.579230769230769
HARD_LIMIT,AMATEUR_NOMINAL_PID,6,2.5,25,20,8,0.2,0.4,60,8,1,0,90,90,90,0.813940092165899,0.438846153846154
HARD_LIMIT,CLEAN_RETUNED_PID,6,2.5,25,20,8,0.2,0.4,30,4,1,0,90,90,90,0.710061443932412,0.4075
HARD_LIMIT,BENCH_TUNED_PID,6,2.5,25,20,8,0.2,0.4,15,16,0.25,0.125,55.1952175792211,65.638699355194,60.9321205124199,0.585445468509985,0.698653846153846
HARD_LIMIT,BENCH_TUNED_PCH,6,2.5,25,20,8,0.2,0.4,5,4,0.75,0.375,45.4727243945833,61.0467579983041,57.0930978735635,0.0785330261136713,0.571923076923077
HARD_LIMIT,AMATEUR_NOMINAL_PID,8,0.9,25,20,8,0.2,0.4,60,8,1,0,90,90,90,0.83678955453149,0.270769230769231
HARD_LIMIT,CLEAN_RETUNED_PID,8,0.9,25,20,8,0.2,0.4,15,4,0,0,90,90,90,0.748655913978495,0.163269230769231
HARD_LIMIT,BENCH_TUNED_PID,8,0.9,25,20,8,0.2,0.4,5,4,0,0,90,90,90,0.709869431643625,0.151923076923077
HARD_LIMIT,BENCH_TUNED_PCH,8,0.9,25,20,8,0.2,0.4,5,4,0,0,90,90,90,0.672811059907834,0.1275
HARD_LIMIT,AMATEUR_NOMINAL_PID,8,1.5,25,20,8,0.2,0.4,60,8,1,0,90,90,90,0.838901689708141,0.269038461538462
HARD_LIMIT,CLEAN_RETUNED_PID,8,1.5,25,20,8,0.2,0.4,15,4,0,0,90,90,90,0.746927803379416,0.166730769230769
