rocket_id,wind,Kp,Kd,Kd_Kp_ratio,sr
R2087,0.1,0.19767230662314975,0.6246444889291533,3.16,0.0
R2087,0.1,0.28957771427824713,0.028957771427824713,0.1,0.06666666666666667
R2087,0.1,0.28957771427824713,0.09266486856903909,0.32,0.8666666666666667
R2087,0.1,0.28957771427824713,0.28957771427824713,1.0,0.06666666666666667
R2087,0.1,0.28957771427824713,0.57,1.9683835181194327,0.06666666666666667
R2087,0.1,0.28957771427824713,0.915065577119261,3.16,0.06666666666666667
R2087,0.1,0.4242134573078013,0.04242134573078013,0.1,0.6
R2087,0.1,0.4242134573078013,0.1357483063384964,0.32,1.0
R2087,0.1,0.4242134573078013,0.4242134573078013,1.0,0.4
R2087,0.1,0.4242134573078013,0.57,1.3436631728220227,0.0
R2087,0.1,0.4242134573078013,1.3405145250926522,3.16,0.13333333333333333
R2087,0.1,0.621446501190772,0.06214465011907721,0.1,0.5333333333333333
R2087,0.1,0.621446501190772,0.19886288038104705,0.32,0.7333333333333333
R2087,0.1,0.621446501190772,0.57,0.9172149153753478,0.13333333333333333
R2087,0.1,0.621446501190772,0.621446501190772,1.0,0.06666666666666667
R2087,0.1,0.621446501190772,1.9637709437628397,3.16,0.06666666666666667
R2087,0.1,0.9103807226983746,0.09103807226983746,0.1,1.0
R2087,0.1,0.9103807226983746,0.2913218312634799,0.32,0.26666666666666666
R2087,0.1,0.9103807226983746,0.57,0.6261116759046876,0.2
R2087,0.1,0.9103807226983746,0.9103807226983746,1.0,0.2
R2087,0.1,0.9103807226983746,2.876803083726864,3.16,0.06666666666666667
R2087,0.1,1.3336515028610507,0.13336515028610507,0.1,1.0
R2087,0.1,1.3336515028610507,0.42676848091553626,0.32,0.6666666666666666
R2087,0.1,1.3336515028610507,0.57,0.42739801123246407,0.2
R2087,0.1,1.3336515028610507,1.3336515028610507,1.0,0.06666666666666667
R2087,0.1,1.3336515028610507,4.2143387490409205,3.16,0.06666666666666667
R2087,0.1,1.9537170402858262,0.19537170402858262,0.1,1.0
R2087,0.1,1.9537170402858262,0.57,0.29175156291650595,0.2
R2087,0.1,1.9537170402858262,0.6251894528914644,0.32,0.13333333333333333
R2087,0.1,1.9537170402858262,1.9537170402858262,1.0,0.0
R2087,0.1,1.9537170402858262,6.173745847303211,3.16,0.0
R2087,0.1,2.8620747364020254,0.28620747364020255,0.1,0.9333333333333333
R2087,0.1,2.8620747364020254,0.57,0.19915622494070823,0.4666666666666667
R2087,0.1,2.8620747364020254,0.9158639156486481,0.32,0.13333333333333333
R2087,0.1,2.8620747364020254,2.8620747364020254,1.0,0.0
