rocket_id,n_pass,qr_floor,qr_ceiling,window_equiv,td,keff,latency,Pi,log_Pi
R0929,19,4.923882631706737,100000.0,20309.176209047368,90.130240209272,8.6703654885361,4,138.7258478165776,4.932499667684208
R1077,26,0.7443803013251689,100000.0,134339.93325989,18.881205143659187,2.700559646677496,3,24.305036820097467,3.190683605414908
R1127,24,1.9144819761699576,100000.0,52233.45074266843,46.05826455129819,6.22205057147321,1,6.22205057147321,1.8280995262908892
R1171,15,134.33993325988988,100000.0,744.3803013251696,72.18809423155564,9.142607552226524,4,146.28172083562438,4.9855343571962925
R1188,40,0.001,100000.0,100000000.0,34.00909235141738,3.499182535294384,5,87.4795633823596,4.471405204739408
R1300,8,4.923882631706737,100000.0,20309.176209047368,174.62530282827237,20.85035314019539,5,521.2588285048848,6.256246710149214
R1306,15,4.923882631706737,100000.0,20309.176209047368,85.34451832930962,8.666447986244522,5,216.66119965611307,5.378334841546831
R1389,28,0.180472176682717,100000.0,554102.0330009492,35.97485887332902,5.201819922946622,5,130.04549807366556,4.867884374407097
R1433,40,0.001,100000.0,100000000.0,13.190651884886329,1.6988004420376557,3,15.2892039783389,2.7271469569989897
R1456,40,0.001,100000.0,100000000.0,8.188558117267721,0.932600009015248,3,8.393400081137232,2.127445692395092
R1464,39,0.001,100000.0,100000000.0,55.92035460743615,5.7791634308795965,4,92.46661489407354,4.526847659306988
R1561,17,4.923882631706737,100000.0,20309.176209047368,77.92416424428615,8.877554252409677,4,142.04086803855483,4.956114819282311
R1581,27,0.4641588833612777,100000.0,215443.46900318845,41.80200936585938,7.328815631137501,2,29.315262524550004,3.3781082856737092
R1648,13,134.33993325988988,100000.0,744.3803013251696,213.67197467696985,17.8146626316146,4,285.0346021058336,5.652610583796606
R1679,13,52.23345074266843,100000.0,1914.4819761699578,240.02567449876832,25.204483462439093,4,403.2717353990255,5.999610616108285
R1713,5,83.76776400682924,24244.62017082326,289.4266124716746,122.16500398486026,17.695364540657714,6,637.0331234636777,6.456821653378304
R1742,25,1.1937766417144358,100000.0,83767.76400682924,35.64413179847838,3.085279800178146,3,27.767518201603313,3.3238669275591777
R1783,20,12.663801734674022,100000.0,7896.522868499733,156.90805978403208,18.586951692991715,1,18.586951692991715,2.9224598126553727
R1884,16,83.76776400682924,100000.0,1193.7766417144358,310.6574294167642,30.541701454070488,2,122.16680581628195,4.805387371672534
R1988,30,0.1125335582600764,100000.0,888623.8162743412,68.04592167879154,7.049891879058107,2,28.199567516232428,3.339306641522651
R2055,12,12.663801734674022,100000.0,7896.522868499733,160.428203909216,15.805741954142825,5,395.1435488535706,5.979249113701117
R2160,40,0.001,100000.0,100000000.0,17.56242088177011,2.1321669358272404,2,8.528667743308961,2.143433164464781
R2221,36,0.0016037187437513,100000.0,62355073.41274033,30.516785160426107,5.852138197742413,5,146.30345494356033,4.985682923219284
R2282,24,1.9144819761699576,100000.0,52233.45074266843,223.23184615046875,19.954346798661074,1,19.954346798661074,2.993447004247126
R2287,15,52.23345074266843,100000.0,1914.4819761699578,148.84459105291927,36.02085568588581,4,576.333690974173,6.356686817560112
R2312,29,0.1125335582600764,100000.0,888623.8162743412,21.9828945554522,2.6713993623733616,6,96.17037704544101,4.566121379330628
