regime_label,p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,nominal_success_rate,under_success_rate,over_success_rate,robustness,boundary_score,selection_rank,target_count
INFEASIBLE,0,30,12,0.8,0.166666666666667,0.333333333333333,0.166666666666667,0,0.875,9,24
INFEASIBLE,3,45,8,0.533333333333333,0,0,0,0,0.857142857142857,10,24
INFEASIBLE,4,90,12,0.8,0,0,0,0,0.857142857142857,11,24
INFEASIBLE,0,30,15,1,0.166666666666667,0.333333333333333,0.166666666666667,0,0.875,12,24
INFEASIBLE,0,30,10,0.666666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0,0.875,13,24
INFEASIBLE,1,20,8,0.533333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0,0.875,14,24
INFEASIBLE,1,20,12,0.8,0.333333333333333,0.333333333333333,0.166666666666667,0,0.875,15,24
INFEASIBLE,2,60,8,0.533333333333333,0.666666666666667,0.166666666666667,0.5,0.666666666666667,0.857142857142857,16,24
INFEASIBLE,2,60,12,0.8,0.666666666666667,0.166666666666667,0.5,0.666666666666667,0.857142857142857,17,24
INFEASIBLE,3,45,15,1,0,0,0,0,0.857142857142857,18,24
INFEASIBLE,1,45,10,0.666666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333,0.857142857142857,19,24
INFEASIBLE,1,45,15,1,0.333333333333333,0.666666666666667,0,0.333333333333333,0.857142857142857,20,24
INFEASIBLE,2,30,8,0.533333333333333,0,0,0,0,0.857142857142857,21,24
INFEASIBLE,2,30,12,0.8,0,0,0,0,0.857142857142857,22,24
INFEASIBLE,2,30,15,1,0,0,0,0,0.857142857142857,23,24
INFEASIBLE,4,90,10,0.666666666666667,0,0,0,0,0.857142857142857,24,24
