rocket_id,group_type,td,keff,Iyy,best_Kp_exp1,lat_natural,wind_natural,wind,latency,kp_floor,kp_ceil,window_ratio,collapsed
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,1,190,190.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,1,90,90.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,1,270,270.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,1,190,190.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,6,1,130,130.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.22,1,1,270,270.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.22,3,1,190,190.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.22,6,1,90,90.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.32,1,1,270,270.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.32,3,2,190,95.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.32,6,1,90,90.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.42,1,1,270,270.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.42,3,2,190,95.0,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.42,6,1,90,90.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.05,1,1,320,320.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.05,3,1,320,320.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.05,6,5,60,12.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.12,1,1,320,320.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.12,3,1,320,320.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.12,6,5,90,18.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.22,1,1,320,320.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.22,3,1,320,320.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.22,6,5,90,18.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.32,1,1,320,320.0,False
