rocket_id,design_id,regime_label,kp_simple,kd_simple,kp_full,kd_full,sr_simple_in_full,sr_full_in_full,sr_gap,sr_simple_go,sr_full_go,decision_agrees,false_approval,false_rejection,rms_simple_in_full,rms_full_in_full,rms_gap,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,final_label,nom_sr,sr_full_in_full_v2,sr_gap_v2,full_go_v2,simple_go,false_approval_v2,false_rejection_v2
R0011,11,EASY,295.07,4.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,1.497777659257728,0.3723813976307433,-1.1253962616269846,2.7239028788618254,0.5092485952504604,0.0483566765351185,0.1616761355635648,-77.42223131048485,9.648202701475173,1.898186300293259,176.1188368892052,13.51019260625021,4,0.0634534154064264,0.0973990715388033,0.4337856893289686,EASY,,1.0,0.0,1,1,0,0
R0012,12,EASY,36.68,4.0,295.07,1.0,1.0,1.0,0.0,1,1,1,0,0,5.998840702986219,0.6705569442061301,-5.328283758780088,0.0,0.9310142827956792,0.0179186744400013,-0.2504164461246678,-56.16438550628862,8.068552041011928,1.788530410375062,129.10089981887768,7.181322897909601,1,0.0138264363705144,0.1165568450134825,0.34327731332558,EASY,,1.0,0.0,1,1,0,0
R0013,13,EASY,320.0,4.0,50.74,1.0,1.0,1.0,0.0,1,1,1,0,0,1.7537103493759527,0.9394711304917186,-0.8142392188842341,0.7925711831650509,1.0125631534065236,0.0179306989270217,0.0414091256732141,-86.63701011706121,13.606047985726333,1.841710410497324,90.23911875859888,2.175940340993689,6,0.0593009086786292,0.2431338651175452,0.3981826457106613,EASY,,1.0,0.0,1,1,0,0
R0014,14,EASY,50.74,4.0,26.73,1.0,1.0,1.0,0.0,1,1,1,0,0,3.0996311040006503,0.839819553569371,-2.2598115504312792,0.0,0.62857875057813,0.0227540571994725,-0.2827863647297675,-59.86742276764424,13.528895065455185,1.726074977307266,127.0785322719872,8.870920033739147,2,0.0529377382636232,0.0702139751423825,0.2082709493317119,EASY,,1.0,0.0,1,1,0,0
R0015,15,EASY,36.68,16.0,132.17,1.0,0.3333333333333333,1.0,0.6666666666666667,0,1,0,0,1,7.253370220677406,0.4601526688994405,-6.793217551777966,0.0,1.053307592761747,0.0288312755352559,-0.1866898572950483,-51.72368639143485,12.852927476689793,1.8283012180921,128.79326831624118,13.133702486107332,3,0.0570542981088774,0.2151074576484097,0.1978132524520828,EASY,,1.0,0.6666666666666667,1,0,0,1
R0016,16,EASY,295.07,4.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,2.276644769308253,0.4795669238120838,-1.7970778454961691,0.8697746565780525,0.51252376446819,0.0331273008950308,0.1272308394604219,-25.78405106731496,12.225126157265898,1.2787111656037309,131.21927065558333,7.440201206719229,4,0.1374383804241855,0.0238801697298852,0.2090713418747874,EASY,,1.0,0.0,1,1,0,0
R0017,17,EASY,3.6,4.0,155.45,1.0,0.6666666666666666,1.0,0.3333333333333333,1,1,1,0,0,10.590504955271484,0.4692539082325931,-10.12125104703889,1.0770503101100413,0.9851854676247092,0.0187308713910729,0.0666085222227766,-61.9168384167752,9.344146564053824,1.3179654531606142,183.67558401229377,12.991551142516691,4,0.1057873711085568,0.2450148225453325,0.053771751333007,EASY,,1.0,0.33333333333333337,1,1,0,0
R0018,18,EASY,113.27,16.0,88.81,1.0,1.0,1.0,0.0,1,1,1,0,0,3.0368488787458374,0.5625016484498803,-2.4743472302959573,0.0,0.6519392207445646,0.0461840090393027,-0.2599909453188758,-41.58433715927851,12.43006072120291,1.7085996958097127,99.09316646046106,3.7063701870121646,1,0.1232835997365839,0.2273424552348236,0.2092037334964727,EASY,,1.0,0.0,1,1,0,0
R0019,19,EASY,1.0,16.0,96.31,1.0,1.0,1.0,0.0,1,1,1,0,0,4.126473892245987,0.5305990959606853,-3.595874796285302,0.0,0.6794283786295465,0.0902801957805507,-0.2343925424496329,-67.35029866123932,8.825063315164732,1.6825020611701904,198.7477868227033,7.826154855853549,5,0.1405379761422109,0.1544261543341678,0.1440742380002695,EASY,,1.0,0.0,1,1,0,0
R0020,20,FRAGILE,43.14,16.0,88.81,1.0,0.6666666666666666,0.6666666666666666,0.0,1,1,1,0,0,7.438055364507949,2.375279771113672,-5.062775593394276,0.0,0.5720665416603296,0.0260425629951269,-0.2512790800927458,-34.33641827485311,11.188238720336187,1.9401730526282417,198.52407604124429,13.880340951999884,6,0.0446741911848008,0.1849660452590844,0.180511042447354,EASY,,0.6666666666666666,0.0,1,1,0,0
R0021,21,EASY,26.73,16.0,12.98,1.0,1.0,1.0,0.0,1,1,1,0,0,6.86781862923003,1.7813092573536526,-5.086509371876377,0.6066330374090436,0.7984546400380306,0.0958388448419832,0.0417204172046252,-75.23040647312881,8.11096893356858,2.4061951676667426,72.3938920333388,8.709640075493994,2,0.0471929792440482,0.1496192534023998,0.2965713440055857,EASY,,1.0,0.0,1,1,0,0
R0022,22,EASY,31.19,4.0,46.78,1.0,1.0,1.0,0.0,1,1,1,0,0,4.46057797274493,0.9494688001751044,-3.5111091725698254,1.578835277957701,1.0464490251394287,0.0223342238513208,0.1790894099897077,-37.83052520929988,11.821033456130628,1.6551973187414912,68.6025509672327,7.529943679349549,2,0.0257315267557465,0.1826207961183958,0.4257171974619306,EASY,,1.0,0.0,1,1,0,0
R0023,23,EASY,320.0,4.0,36.68,1.0,1.0,1.0,0.0,1,1,1,0,0,3.323766673702727,0.6942853384225379,-2.629481335280189,2.8787928166045487,0.5203702929650278,0.0273348062515589,0.1907656243822206,-60.4664239316691,13.658668484258726,1.4431346362450015,140.4347616079261,7.803282908648788,6,0.1348619917991967,0.0944766013479204,0.1373855321551284,EASY,,1.0,0.0,1,1,0,0
R0024,24,EASY,320.0,1.0,36.97,1.0,0.0,1.0,1.0,0,1,0,0,1,34.45565516660948,2.665126568670647,-31.790528597938835,0.0,0.688777786028312,0.0051563210769216,-0.0247291823192236,-16.141436904163513,9.80389092149559,1.1838025452387604,100.19622906391174,10.832138647735196,4,0.0622561866912414,0.1823031522114181,0.2154464597270003,EASY,1.0,1.0,1.0,1,0,0,1
