rocket_id,td,latency_steps,Iyy,motor_scale,max_gimbal_deg,new_Kp,new_Kd,nom_sr,under_sr,over_sr,margin,nom_rms
R2794,7.213963992399909,6,0.04328002915069222,2.1225345663484543,2.3411372487404725,82.35745631970453,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.7813893285699496
R0627,5.679558170870818,3,0.06601403395632345,1.8322525661774036,3.256758964643404,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.9403575765844915
R1322,6.4503162202858215,3,0.06211481671410069,1.4172753431467773,4.499270603531098,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.0633036108629108
R0207,5.782235645353752,6,0.07282825451070962,0.8215170575713482,8.158291788813363,41.78105458855241,1.0,1.0,1.0,1.0,1.0,0.7397467858989507
R0366,7.928673286614513,2,0.039015553307183024,0.9846517222560818,5.000066490018693,58.65987877815546,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.5327871489151925
R1486,7.899016774810745,3,0.0578081278890845,0.6082794715986692,11.947551542473722,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.7413059195340367
R0049,8.15770553810636,2,0.03936275949932259,1.387383091381711,3.6836409819160782,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.8884434155254349
R0864,7.992434682910862,4,0.09168444088691696,1.1741697451376343,9.932623703538209,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.3137748331200347
R2558,9.85299398455753,5,0.08863513697906668,2.0481207343837915,6.786388456507685,58.65987877815546,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.748609900815174
R0503,10.121584123387475,5,0.05349262712373249,1.4529577030265848,5.930749437439301,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.8243112673911056
R2291,10.280045350399599,1,0.05958553155688014,1.447258517202148,6.736120788512826,82.35745631970453,1.0,1.0,1.0,0.6,0.6,2.1953965026718048
R3083,8.640997324609579,1,0.08830889311608188,1.3768749047526545,8.820515330197539,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.097243870654249
R1254,9.034412133674296,4,0.09478356511856775,2.195662143846257,6.207083044282534,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.6910707140387232
R1755,9.93051074366105,4,0.08952821110379007,1.8511127357936061,7.643966150570367,82.35745631970453,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.3061444790874137
R1676,8.42832041875559,3,0.040204295440595846,2.0054369956444162,2.6892092892872097,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.3776988333007623
R3768,8.080420279919387,4,0.057726578234905616,2.133782963842973,3.4792020735042586,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.073028019895108
R1737,8.696174755305837,3,0.08087542297395153,0.8216861733508637,13.622567739992013,82.35745631970453,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,1.535327810378404
R3130,11.722014838418213,4,0.06658588903428309,2.0984863530609563,5.919683014788499,58.65987877815546,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.7110401038123852
R3671,10.908214772116752,2,0.08557772780171694,2.0961260454710153,7.087893260541663,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.5177461971495663
R3472,13.437416579833206,3,0.0797099723261437,2.113432232778155,8.066037641924535,58.65987877815546,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,1.720261273174858
