rocket_id,design_id,regime_label,best_Kp,best_Kd,grad_magnitude,topology_class,best_param,best_direction,best_magnitude,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,grad_rms_mass,grad_rms_Iyy,grad_rms_static_margin,grad_rms_Cm_alpha,grad_rms_control_effectiveness,grad_rms_thrust,grad_rms_servo_slew_deg_s,grad_rms_max_gimbal_deg,grad_rms_deadband,grad_rms_backlash,grad_rms_wind_strength,grad_rms_latency_steps,curv_rms_mass,curv_rms_Iyy,curv_rms_static_margin,curv_rms_Cm_alpha,curv_rms_control_effectiveness,curv_rms_thrust,curv_rms_servo_slew_deg_s,curv_rms_max_gimbal_deg,curv_rms_deadband,curv_rms_backlash,curv_rms_wind_strength,topology_class_pop
R0878,878,EASY,10.0,4.0,74.22441950011107,bowl,Iyy,+,39.27195985141058,1.5057312204743802,1.355103898063463,0.0301891587227971,0.1520063090467311,-43.9217495993548,9.064179071543428,25.44772349843361,75.4420319053629,14.381285347661937,3,0.0946603648671182,0.013508943466186,0.2652172200339098,15.658425058850053,-1309.0653283803526,193.29031814182275,-0.6401654857239953,-0.4104474570862184,-1.2942052664423311,0.007286285105296386,0.7172285029894641,-4.952913873192348,21.259468637736205,46.68558881034968,0.15761316970895223,1040.195042623037,49160.030768316545,10117.766604322633,-0.13702731135797475,8.444501934896657,7.720276743935838,0.03906866539307572,17.11674256538799,0.0,26239.751186428955,4946.092320962945,bowl
R0879,879,FRAGILE,10.0,4.0,134.58429774097334,bowl,servo_slew_deg_s,+,62.14538598278476,2.329256062557401,1.623310089677533,0.0248556114774533,0.1780802480343624,-61.43189525092333,11.533060018559006,28.552636728043588,102.81997713249072,8.777157899210676,5,0.1222696473362501,0.058419344928926,0.1582019689978674,14.092914228263355,3003.733688852949,-126.12570413802871,-0.3414667763641388,4.374884676709846,-0.7184398998953938,-0.6214538598278476,7.02338810120459,95.53385295779657,-50.68726382878309,-47.82393225075812,-3.05111172910458,-1475.1187772777753,-1402218.7359053614,5659.998118826149,-0.1517103813495,38.637531702555975,1.7932429412884199,-0.04791546527312114,-28.002386254462888,-3.1763174483974947,-34449.172371691675,-21684.337016405483,bowl
R0880,880,INFEASIBLE,10.0,4.0,64.56521697847911,bowl,servo_slew_deg_s,+,33.879119098875776,1.0471325020257178,0.9364436166414176,0.0222366797807885,0.0938458778590166,-55.00714543499205,12.958038811605862,31.457680394969582,56.85256639320558,13.407968602570849,4,0.1014908666016255,0.1756656942642721,0.2890523783814361,-22.89870792773971,-808.0835218670637,127.58137225193902,-0.420456617460387,-0.5819019046663726,-0.3122946771451079,-0.33879119098875776,1.6318315422849687,0.0,25.441363996844665,55.04866189630766,0.019721989629879033,2926.6463405823674,1324455.5195961718,28727.301967706142,-0.7025383147967323,-22.54626443617724,-1.8869499137062393,-0.024891096471995125,-36.2334072914998,0.0,-5822.391096817763,9128.972002242,bowl
R0881,881,EASY,10.0,4.0,60.66098760954465,cliff,control_effectiveness,+,26.856701217914612,1.1900104840859105,1.0336637426120117,0.0114120351678578,0.1570317551553316,-46.47306809924167,13.860282681827064,48.67852852792676,108.81879868731215,14.289316598791036,3,0.0446331967355431,0.0471731387771208,0.3238284966728717,-1.2577349145329215,-247.40504440480177,-25.14610675854454,0.0906046165458756,-2.9840779131016237,0.2583928644018794,-0.24332061083773687,-0.03200489212074437,-93.18679506602787,176.72347456380515,22.5715686603204,-0.030547897313999428,-15.262725956099858,612349.4771306631,8582.809388844573,0.08088894951444237,-7.614564745039514,-0.275556653180879,0.019791603465420842,0.3205007499217582,2538.4500247035567,20073.618979010833,2296.484542605437,cliff
R0882,882,INFEASIBLE,10.0,4.0,313.2117882249461,cliff,Cm_alpha,+,151.23150812568085,2.5676048497562736,1.908576694055781,0.0373149832277536,0.2368636722875271,-67.15591669498286,8.129197324016573,49.67872741334144,38.39488023127477,13.59365995289192,2,0.0838230904461852,0.0151022450849798,0.3071768855882676,-30.435637545100896,-2080.1070173088337,1258.9110440024324,-3.780787703142021,4.745166211942107,-0.3656641613773374,-0.2007548536132667,-3.793538029150253,85.16852576572147,233.8175571651962,8.868377522963115,-0.6328333590953861,3119.7490076858685,2413025.4666669015,-248396.2547559717,0.777892300079964,16.972380242434134,7.9334007316683275,0.061327945678854974,2.629450356541629,10961.929115637022,-33282.55194673905,16987.199378593654,cliff
R0883,883,INFEASIBLE,10.0,4.0,105.97343554862846,bowl,Cm_alpha,+,36.55646844264883,1.824587026477526,1.584568862143631,0.0361579025105733,0.1398985443140402,-64.8990684599548,6.078958220692631,32.05055168097432,24.66139665304981,12.037787142557535,3,0.0764464526480009,0.1723328675719491,0.3031816657971695,-19.272976865893092,-647.2832088687136,416.04708589915356,-0.9139117110662207,-0.19068375579037256,-0.9763970539856544,-0.1574681916990959,0.28085034315131885,-11.315660363154468,15.375506718253561,86.23915155834344,-0.016176116633477733,414.1396167119058,816778.5522189981,42706.48797954031,0.4006337814687857,1.2862194202593396,1.466673829923634,0.037228500886871234,9.76709510132193,8963.759619556902,6014.884330538223,5652.348677133528,bowl
R0884,884,INFEASIBLE,10.0,4.0,2745.2683343726744,cliff,Cm_alpha,+,1214.6057184850329,3.167389364804669,1.0967722139046865,0.0324131874809722,0.2081548613672271,-68.82992870365464,8.699517812189491,26.48416008778719,48.010458891331794,9.49454915989858,1,0.1054851704498093,0.1776305490041706,0.2943553050952067,-290.8156404551711,-2828.2677303662517,10747.54245958125,-30.365142962125823,-9.786550547111892,-40.14121503842381,-4.303813725307663,24.202739231981834,3.735480496474493,300.1529441779118,695.8174102278855,-4.17786367178644,-11901.916721599022,-40346509.68201639,555381.938431092,-62.39768510920995,-135.58648863871838,-22.529710467428814,-0.16638770810229744,-92.6333671580381,0.0,-160898.58711129098,-150115.87785950128,cliff
R0885,885,FRAGILE,10.0,4.0,60.56673495424124,bowl,servo_slew_deg_s,+,37.44391965294055,0.7695671063123959,1.3050509095087688,0.0152308032283619,0.0759659282361547,-49.2064816619488,5.960901713668394,30.538710084937268,70.61798854355563,12.06946019852004,6,0.0321653272467903,0.0685500897756975,0.3840741220872532,-20.107300049167545,-517.288088040594,33.88661403890724,-0.3190058578922783,-1.625589696990521,0.2610247831620306,-0.3744391965294055,2.7896606487754716,-29.63034941372828,88.83297199317136,22.855992535110815,0.6311475088737772,-547.7001585239869,323425.50065478566,-15588.429289515416,-0.5518434184199585,-18.161558204108058,-1.6512004239862152,-0.0012141673991691703,10.929475026705035,-23755.237208899838,-13231.246810593468,-3577.367211499312,bowl
R0886,886,EASY,20.0,4.0,26.112400342760864,bowl,mass,+,10.92296673285354,1.083226098809922,1.2435138374068986,0.0274389822122949,0.0991820559686129,-66.25260356994913,10.553775207327003,47.63160758605143,20.980237181905878,8.512961542989146,2,0.1130490922874125,0.0226739839372447,0.0619006506911664,-9.102472277377949,188.21543405462958,15.691817808875237,0.2620914777343766,0.6381225702413938,-0.017707837256865845,-0.09001225338676777,-0.07690981080075163,3.0024954805202335,20.582173966944342,41.059157324606424,-0.33418427006020757,624.8462680842807,765716.7982505109,12666.922779526523,0.08012758431144962,4.414718841033918,-0.3092295960181343,3.2002682047605817,-5.73789653776047,-42.08483664408876,7427.588185516644,1360.459389490052,bowl
R0887,887,INFEASIBLE,10.0,4.0,380.69897340160315,bowl,Cm_alpha,+,172.03411662325374,2.641068003124337,1.0770100664874105,0.0362341394091884,0.1995606479765054,-68.36907212210696,9.73273256199317,34.54390035646753,38.6210181298114,14.11736189798737,3,0.143145828200691,0.0387945580396201,0.1783409842093173,-102.71575035564237,-218.36933471796016,1205.4988609231607,-4.300852915581343,0.8218820759371852,-5.287843653787379,-0.6301390240821497,7.204049924879476,0.0,-127.75814369454761,325.06511063138265,2.2829814989882387,-3854.979360904938,-72230.74991242116,128873.99706869919,1.1585964701868963,8.333728441721906,1.7963837735799735,-0.6179585558684977,-66.22491363510339,0.0,-128038.49980169322,4080.9708111203277,bowl
