rocket_id,label,keff,lat,Pi,Kp_probe,ceiling_theory,best_kd,search_sr,sr_sat,fsat,sr_nosat,sat_penalty,frac_explained,regime
R0327,EASY,8.832,6,318.0,31.67,63.3,0.57,1.0,1.0,0.3424,1.0,0.0,0.0,transitional
R1707,FRAGILE,20.056,4,320.9,47.5,95.0,0.57,1.0,1.0,0.4404,1.0,0.0,0.0,saturation
R0045,EASY,9.174,6,330.3,31.67,63.3,0.57,1.0,1.0,0.2506,1.0,0.0,0.0,transitional
R1003,EASY,13.96,5,349.0,38.0,76.0,0.57,1.0,1.0,0.1313,1.0,0.0,0.0,transitional
R2218,EASY,14.313,5,357.8,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0969,FRAGILE,14.639,5,366.0,38.0,76.0,0.57,1.0,1.0,0.3887,1.0,0.0,0.0,saturation
R2359,EASY,23.344,4,373.5,47.5,95.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0097,EASY,16.251,5,406.3,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1641,FRAGILE,25.462,4,407.4,47.5,95.0,0.57,1.0,1.0,0.5319,1.0,0.0,0.0,saturation
R2276,EASY,16.491,5,412.3,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1932,EASY,11.508,6,414.3,31.67,63.3,0.57,1.0,1.0,0.4377,1.0,0.0,0.0,saturation
R1083,EASY,26.377,4,422.0,47.5,95.0,0.57,1.0,1.0,0.0001,1.0,0.0,0.0,linear
R0041,EASY,17.163,5,429.1,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R2006,EASY,11.96,6,430.5,31.67,63.3,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1898,INFEASIBLE,17.855,5,446.4,38.0,76.0,0.57,1.0,1.0,0.4797,1.0,0.0,0.0,saturation
R0725,EASY,12.54,6,451.5,31.67,63.3,0.57,1.0,1.0,0.4677,1.0,0.0,0.0,saturation
R2069,EASY,18.167,5,454.2,38.0,76.0,0.57,1.0,1.0,0.5012,1.0,0.0,0.0,saturation
R0452,EASY,18.914,5,472.9,38.0,76.0,0.57,0.667,1.0,0.5829,1.0,0.0,0.0,saturation
R0864,FRAGILE,29.842,4,477.5,47.5,95.0,0.57,1.0,0.95,0.6127,1.0,0.05,1.0,saturation
R1811,EASY,30.175,4,482.8,47.5,95.0,4.75,1.0,0.75,0.3117,0.65,-0.1,-0.4,transitional
R1234,EASY,13.415,6,482.9,31.67,63.3,0.57,1.0,1.0,0.2377,1.0,0.0,0.0,transitional
R0400,FRAGILE,19.38,5,484.5,38.0,76.0,0.57,1.0,1.0,0.5789,1.0,0.0,0.0,saturation
R2140,EASY,19.426,5,485.6,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0540,FRAGILE,13.634,6,490.8,31.67,63.3,0.57,1.0,1.0,0.5548,1.0,0.0,0.0,saturation
R0280,EASY,19.642,5,491.1,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R2258,EASY,19.694,5,492.4,38.0,76.0,0.57,1.0,0.95,0.5083,1.0,0.05,1.0,saturation
R2083,FRAGILE,20.044,5,501.1,38.0,76.0,0.57,1.0,0.95,0.5948,1.0,0.05,1.0,saturation
R1270,EASY,13.978,6,503.2,31.67,63.3,0.57,1.0,1.0,0.4411,1.0,0.0,0.0,saturation
R0117,EASY,14.586,6,525.1,31.67,63.3,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0796,EASY,15.035,6,541.3,31.67,63.3,0.57,1.0,1.0,0.0753,1.0,0.0,0.0,linear
