rocket_id,regime_label,theta0_deg,sr,rms_deg,peak_deg,diverge_rate,best_Kp,best_Kd,Iyy,authority_inertia_ratio,static_margin,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s,p_unstable
R0503,FRAGILE,3.0,0.4,7.397189804515262,16.970780822687267,0.0,40.0,1.0,0.0165277949442068,2437.581804586534,0.0137144030187529,2.9302172017741714,13.749100988671607,0.2334386903786616,179.54517925763827,0.0883155596235894
R0503,FRAGILE,5.0,1.0,7.0442825284346835,15.765902771839148,0.0,40.0,1.0,0.0165277949442068,2437.581804586534,0.0137144030187529,2.9302172017741714,13.749100988671607,0.2334386903786616,179.54517925763827,0.0883155596235894
R0503,FRAGILE,7.0,1.0,8.022103904602236,16.2185854277292,0.0,40.0,1.0,0.0165277949442068,2437.581804586534,0.0137144030187529,2.9302172017741714,13.749100988671607,0.2334386903786616,179.54517925763827,0.0883155596235894
R0503,FRAGILE,10.0,0.2,12.681146384113102,26.273242597889173,0.0,40.0,1.0,0.0165277949442068,2437.581804586534,0.0137144030187529,2.9302172017741714,13.749100988671607,0.2334386903786616,179.54517925763827,0.0883155596235894
R0503,FRAGILE,13.0,0.0,19.513655890514947,41.31325057933624,0.4,40.0,1.0,0.0165277949442068,2437.581804586534,0.0137144030187529,2.9302172017741714,13.749100988671607,0.2334386903786616,179.54517925763827,0.0883155596235894
R0503,FRAGILE,17.0,0.0,25.990698509150366,55.45280624648679,1.0,40.0,1.0,0.0165277949442068,2437.581804586534,0.0137144030187529,2.9302172017741714,13.749100988671607,0.2334386903786616,179.54517925763827,0.0883155596235894
R0503,FRAGILE,21.0,0.0,30.41940724255838,64.65364603484386,1.0,40.0,1.0,0.0165277949442068,2437.581804586534,0.0137144030187529,2.9302172017741714,13.749100988671607,0.2334386903786616,179.54517925763827,0.0883155596235894
R0503,FRAGILE,25.0,0.0,35.962146478179065,75.84673437756835,1.0,40.0,1.0,0.0165277949442068,2437.581804586534,0.0137144030187529,2.9302172017741714,13.749100988671607,0.2334386903786616,179.54517925763827,0.0883155596235894
R0503,FRAGILE,30.0,0.0,42.01783272051145,87.66047164702302,1.0,40.0,1.0,0.0165277949442068,2437.581804586534,0.0137144030187529,2.9302172017741714,13.749100988671607,0.2334386903786616,179.54517925763827,0.0883155596235894
R0504,FRAGILE,0.0,0.8,6.461866136896918,14.688301042723301,0.0,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,1.0,0.8,5.104707849548538,12.810524107735299,0.0,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
