rocket_id,design_id,regime_label,best_Kp,best_Kd,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,full_success_rate,full_rms,full_end,full_max_theta,full_peak,full_u_sat,full_slew_sat,delta_rms_wind,delta_end_wind,delta_theta_wind,delta_success_wind,decision_flip_wind,delta_rms_backlash,delta_end_backlash,delta_theta_backlash,delta_success_backlash,decision_flip_backlash,delta_rms_slew,delta_end_slew,delta_theta_slew,delta_success_slew,decision_flip_slew,delta_rms_latency,delta_end_latency,delta_theta_latency,delta_success_latency,decision_flip_latency,delta_rms_sensor_noise,delta_end_sensor_noise,delta_theta_sensor_noise,delta_success_sensor_noise,decision_flip_sensor_noise,delta_rms_thrust_var,delta_end_thrust_var,delta_theta_thrust_var,delta_success_thrust_var,decision_flip_thrust_var,delta_rms_deadband,delta_end_deadband,delta_theta_deadband,delta_success_deadband,decision_flip_deadband,dominant_fidelity,dominant_delta_rms,n_decision_flips,decision_flip_modules
R0454,454,INFEASIBLE,10.0,4.0,0.9456301346071632,1.1971700133510152,0.0309448952840089,0.1190093420650792,-46.97185152666457,10.031531268529232,45.23308591436276,34.181774847691415,12.954023903384028,6,0.0280911825464143,0.1894111148460436,0.2122159864899855,0.3333333333333333,12.488097940065481,28.548003796283258,49.17845223328278,49.17845223328278,0.0,0.03666666666666667,-12.488097940065481,-28.548003796283258,-49.17845223328278,0.6666666666666667,1,-6.464574712154561,-17.93062730473466,-26.44676982032485,0.3333333333333333,1,3.4648332895292153,-7.419709697991269,-8.636852087082382,-0.3333333333333333,0,-0.24227924564562997,-0.9392506706689439,-2.799275290747765,0.0,0,-11.651601703433586,-26.821389803182978,-45.391498910758706,0.6666666666666667,1,-0.8782420239540176,-3.324975132212245,-7.862824137771852,0.0,0,-0.27998597822012705,-1.0994234485111676,-3.3436573161472083,0.0,0,wind,12.488097940065481,3,wind backlash sensor_noise
R0455,455,EASY,10.0,4.0,0.5488388894668498,1.0644626013744307,0.0288888599992574,0.0648323583295543,-47.11914873978464,8.45939370584177,40.10053015867551,30.005695344842245,12.004406002686723,1,0.0024192565536353,0.0437100161023926,0.1489788222172349,0.6666666666666666,6.118203967582178,9.981825694599406,18.605537440630535,18.605537440630535,0.0,0.042222222222222223,-4.189147940844128,-4.759749656252508,-10.50022767954964,0.33333333333333337,0,-2.1993151009946685,-4.853599501303053,-9.375801245827171,0.33333333333333337,0,2.485570367019469,-0.284270306022961,2.3239498810994768,0.33333333333333337,0,0.0,0.0,0.0,0.0,0,-5.791642809514087,-9.581210196157032,-17.583930774798972,0.33333333333333337,0,-0.4721087242228261,-1.9218368507929942,-1.9819904919396727,0.0,0,-0.07301637161849506,-0.228233691644391,0.0,0.0,0,sensor_noise,5.791642809514087,0,none
R0456,456,FRAGILE,45.0,8.0,0.6654377880097108,1.3283146847575809,0.0185472326279173,0.1311489637586039,-31.4246647854394,11.62208598325094,49.6497964754365,100.10032093677934,13.295841871669548,5,0.0339879218136288,0.2461182143292112,0.3579790233290098,0.3333333333333333,10.02990092419545,12.291474291364173,30.247887754622983,30.247887754622983,0.0,0.06444444444444444,-7.779055576779447,-4.645341113593231,-7.309488221310158,0.3333333333333333,1,0.8177321573314167,9.962540962771593,-0.6392702067364127,-0.3333333333333333,0,9.465840551916939,28.81795944661509,19.934413765266033,-0.3333333333333333,0,-0.7562857308383464,-1.3259363775835595,-3.753779416688907,0.3333333333333333,1,-7.793603588030713,-11.387965773573812,-24.666219287155357,0.6666666666666667,1,-0.25171344323419476,-0.6508863434105745,0.06637896500308216,0.3333333333333333,1,-0.013457902232417496,0.3541033348785465,0.17909392495709042,0.0,0,slew,9.465840551916939,4,wind latency sensor_noise thrust_var
R0457,457,FRAGILE,45.0,8.0,1.690677134880992,1.0210555191436772,0.0180948067316157,0.1102195175573418,-68.2376097141459,8.74092802663755,25.615605215648262,50.8689086548882,12.089173297764384,4,0.0379999606975444,0.176385340188601,0.0755446145440658,0.0,9.662460541584752,21.660846382988264,25.252193438866783,25.252193438866783,0.0,0.09555555555555556,-9.290789781261527,-20.198608318751777,-20.865479246157324,1.0,1,-1.895880414456781,-9.636198807917962,-5.5677983129908775,0.6666666666666666,1,-0.24259988039471736,-11.83320755482414,5.958070488687419,0.6666666666666666,1,-0.07516693696006982,-0.13052878644159804,-1.7530979313780328,0.0,0,-9.272841714615506,-21.297777590206774,-24.32816854799074,1.0,1,-0.8674293600065752,-3.6791008127018685,-2.5403132784106894,0.3333333333333333,0,0.6045014632403305,2.057870519271379,1.4845001987836888,0.0,0,wind,9.290789781261527,4,wind backlash slew sensor_noise
R0458,458,EASY,45.0,4.0,1.9314948149165356,1.3441161627639011,0.0177521854363075,0.1698532458372734,-55.20477262501621,8.094409213736142,30.505294059118853,57.97394907768465,10.125297778167022,6,0.1200845725927549,0.1223207438230524,0.0539164969879703,1.0,7.272635319283659,5.461997080216039,16.331226891476394,16.331226891476394,0.0,0.14,-3.15396303625746,4.2746414452073855,4.213626209816635,-0.33333333333333337,0,4.979686594484279,34.75434011622038,38.218631656301056,-1.0,1,3.371475963074226,9.10197768908088,11.902720276261793,-0.6666666666666667,1,0.052958812918989295,0.999187976795735,-0.11404788627694273,0.0,0,-6.932642573175653,-4.864311532041532,-15.465416271940267,0.0,0,-0.6550351110618315,3.1897779597838154,6.258359688876713,-0.33333333333333337,0,0.7038334710589451,2.0679647651884387,3.540873082235869,0.0,0,sensor_noise,6.932642573175653,2,backlash slew
R0459,459,FRAGILE,45.0,4.0,1.0132801724831348,1.1200356759131151,0.0390923435109765,0.1411627453150294,-39.74183003012675,7.4512159629331745,39.67694110487047,27.99060699447268,10.860514714882736,3,0.0015796851397745,0.083923230683478,0.3001999916680719,0.6666666666666666,9.54979081575303,13.653323407682882,27.878132414955193,27.878132414955193,0.0,0.19944444444444445,-9.254061665859684,-12.558685915752244,-24.59478682383851,0.33333333333333337,0,-2.4170027916296535,-6.229695792867267,-10.106955829730655,0.33333333333333337,0,-7.68755398289346,-11.848628266175053,-23.92252624453532,0.33333333333333337,0,-0.1880581958940386,-0.6095523238781393,-1.00050807272061,0.0,0,-8.920220861773931,-12.13585604357836,-24.68958966736594,0.33333333333333337,0,-0.6877597367968686,-1.0110615000270453,-2.894701846160583,0.0,0,0.0,0.0,0.0,0.0,0,wind,9.254061665859684,0,none
R0460,460,EASY,20.0,4.0,1.927359565622681,1.0432140331785495,0.031460212808148,0.177816476131112,-51.151239571810905,13.891489359639085,28.826518494666225,91.49081995032888,9.744276847042215,1,0.0413509071386511,0.1387196702724787,0.1004766023204337,1.0,9.100360965082762,6.562010434450428,17.29858986410202,17.29858986410202,0.0,0.09444444444444444,-4.566306037106136,1.5735917381845947,1.254823414895693,-0.33333333333333337,0,-1.571822454179359,14.423184328292553,10.122009819038283,-1.0,1,-2.3164685176255926,-0.10835272000598462,0.4395999350566484,0.0,0,0.0,0.0,0.0,0.0,0,-9.022628138524677,-6.496372895785464,-17.114923717265935,0.0,0,-1.1859631412976288,4.697992107664421,7.691933564932313,-0.33333333333333337,0,1.2978237127508834,-0.19416988161035675,3.266973307031325,0.0,0,sensor_noise,9.022628138524677,1,backlash
R0461,461,INFEASIBLE,10.0,4.0,1.6063295772758672,1.0285563304255174,0.0290687610704493,0.1975950961028297,-41.42245072836872,5.21538724601376,33.60593237966604,36.47447114690186,14.042177288986869,5,0.1135236799237352,0.1928451796614909,0.0880528560496187,0.0,12.467019249986722,36.59964228911461,77.96972518073603,77.96972518073603,0.0,0.058888888888888886,-12.467019249986722,-36.59964228911461,-77.96972518073603,1.0,1,-0.11099592492027455,-2.138623039454693,-34.00210203720653,0.0,0,-5.657178005533103,-28.026578082379917,-62.12848124147633,0.6666666666666666,1,-0.02373522105759207,-0.07970399155419017,-0.23700687529078834,0.0,0,-11.83344134721262,-35.28318423000729,-76.16942355866489,1.0,1,-0.6377367608555886,-2.522458734293231,-5.612410917787159,0.3333333333333333,0,-0.10194912201249906,-0.37026483650640785,-1.103576139509272,0.0,0,wind,12.467019249986722,3,wind slew sensor_noise
R0462,462,FRAGILE,10.0,4.0,0.7182611310450153,1.6274811857508462,0.0223413311875434,0.0648600647350768,-67.32507216889547,10.435265938680176,47.841527530932126,100.46921748137336,13.62332719682673,6,0.0896812963654908,0.1255003265413196,0.1951333695247742,1.0,8.1332551228514,6.78959678537161,18.77738181724608,18.77738181724608,0.0,0.049999999999999996,-4.2164155067707405,-0.3586878416960131,-7.345681526399616,0.0,0,-1.7752549125859876,7.129652345822065,-0.9441068305106946,-0.33333333333333337,0,24.912009806146827,19.361595795073058,51.0695684681491,-1.0,1,0.1474233257459403,6.192806820152923,-0.974884444628902,-0.33333333333333337,0,-7.319132138613864,-5.43786864274059,-16.212993207139423,0.0,0,-0.7518395690091655,-1.176560943915355,-1.5386067161982986,0.0,0,-1.9064773071896415,0.8747696314705466,-0.3599234413221204,-0.33333333333333337,0,slew,24.912009806146827,1,slew
R0463,463,EASY,10.0,4.0,1.752628525058886,1.8154493585391809,0.0199177488038806,0.1885047373125153,-49.15405561375052,9.862468089795843,36.178025150889226,102.97601154995913,8.174624630937313,1,0.0817279878213414,0.1552787316107798,0.3907069987050657,0.6666666666666666,8.06994623634838,12.016219510334025,22.591018182617784,22.591018182617784,0.0,0.065,-4.63926159171384,-3.077007315741863,-7.524487212166713,0.0,0,1.8493194602684522,-5.372975159117611,0.33616889051526755,0.33333333333333337,0,5.5350087798671375,4.544576513712073,13.124334928692914,0.0,0,0.0,0.0,0.0,0.0,0,-7.696403513956574,-11.698485036690462,-21.50166849579061,0.33333333333333337,0,-0.6596812476878702,-0.3800969707960107,1.323356582812444,0.0,0,1.0507064268104216,-2.873423476837889,-4.987608182694284,0.33333333333333337,0,sensor_noise,7.696403513956574,0,none
R0464,464,EASY,45.0,4.0,0.9695311242132384,1.8856972451417544,0.0338166779343646,0.1020549392493618,-42.57164238114137,11.773029219299918,25.992419858728635,71.99156671283943,9.410647676637964,2,0.0039691100889538,0.1979870273325351,0.1929479449254872,1.0,5.0494002952744665,5.428798971803513,13.350264487966095,13.350264487966095,0.0,0.08944444444444444,-2.9217253835029933,-0.046555505071560255,-2.3113026575485733,0.0,0,1.0430229233668564,12.71236950010524,15.823730198246492,-0.33333333333333337,0,-2.3605047751297903,-0.16432567894483352,-6.758961544087881,0.0,0,-0.46437222240792764,3.4157466807408223,0.3526775101562958,0.0,0,-4.969982334122836,-5.283579433051158,-13.15712384917617,0.0,0,-0.20090041026251448,0.9294185409743703,-0.49546353062781634,0.0,0,0.0,0.0,0.0,0.0,0,sensor_noise,4.969982334122836,0,none
R0465,465,EASY,10.0,4.0,0.7090358981665341,0.9848058983076512,0.0145030190445275,0.0831419944633162,-51.36729168622454,10.013740751078553,46.96119319139035,90.38950074621536,9.4225857200879,6,0.1079154076713138,0.1814894394516774,0.2220826205758904,0.6666666666666666,8.967789351445989,12.934250776980884,30.35257031746776,30.35257031746776,0.0,0.04388888888888889,-5.0465663124009374,-2.6658180797486466,-16.239282674291346,0.33333333333333337,0,0.14143697171463288,9.365535600157438,-1.1648651376712316,-0.3333333333333333,1,25.196086362155825,18.854704106724,46.429436086507714,-0.3333333333333333,1,-0.29941356900684646,-2.0579865140851084,-3.4628742223378595,0.0,0,-6.187122578234314,-7.502440667562536,-22.313868037309987,0.33333333333333337,0,-0.1755909972360783,0.3278001959340777,3.111003245543614,0.0,0,-1.8870214784774815,0.8083009246351818,-2.1081504535418,0.0,0,slew,25.196086362155825,2,backlash slew
R0466,466,EASY,10.0,4.0,1.5184362194599927,1.383301757726011,0.0106153858983217,0.105945943334466,-69.85723195319649,13.94962465243867,30.751029408665644,103.36927834851264,14.81161471021624,3,0.1042982857729092,0.0949110979584214,0.3837362889588802,0.6666666666666666,10.85423502780894,12.591463364524799,22.952322724956478,22.952322724956478,0.0,0.08166666666666667,-6.143891670936783,-0.6293266553060803,-7.305148495351618,0.0,0,-2.264453026724647,1.2302798449976056,1.5341472660474977,-0.3333333333333333,1,4.918051574178714,-3.8109453622017853,17.0824941743904,-0.3333333333333333,1,-0.06538288213402232,5.622993496434152,9.833180232284537,0.0,0,-9.867275700675409,-11.194062448753101,-20.266604649480648,0.33333333333333337,0,-0.1877806808299347,4.173716239251647,2.798565269512558,-0.3333333333333333,1,0.856682765384603,0.9949923904098892,5.867278284794985,0.0,0,sensor_noise,9.867275700675409,3,backlash slew thrust_var
R0467,467,FRAGILE,10.0,4.0,1.8799304327374304,1.941415386787784,0.0209997641068093,0.2122383600186279,-51.45445345953139,10.20563554061342,43.67888079846533,95.70212769506072,12.302229181537498,5,0.0318665869911663,0.1262713992359306,0.0630298625533894,1.0,9.273550451598698,8.352435612960285,19.369173890673753,19.369173890673753,0.0,0.05611111111111111,-2.505998873127907,8.673585719178934,0.7270586923037925,-0.6666666666666667,1,1.831123825485319,7.009119009444115,5.063616709666189,-1.0,1,19.501318247621352,18.19317021823135,42.4855888952529,-1.0,1,1.6402300642593328,6.163104219447996,1.8806825453498277,-0.6666666666666667,1,-8.85920898041875,-7.6828944645057975,-18.216552614249228,0.0,0,-1.7703619073004555,0.4692989378944734,-4.074020239072679,-0.33333333333333337,0,-0.21030802750454924,0.45016288272495153,-2.7125009992743117,0.0,0,slew,19.501318247621352,4,wind backlash slew latency
R0468,468,INFEASIBLE,10.0,4.0,1.3628081930117488,2.0334519403901576,0.0351360861121069,0.0951570739940093,-65.81993168377066,10.756781361575907,27.339394924370115,26.412739590283703,13.54335315518408,1,0.0056685368336933,0.2167443487551433,0.4102577195051226,0.3333333333333333,17.40538449671105,46.56058496917751,93.87953477071959,93.87953477071959,0.0,0.06777777777777778,-17.40538449671105,-46.56058496917751,-93.87953477071959,0.6666666666666667,1,-3.953324923315341,-13.189283094973241,-52.23050044541416,-0.3333333333333333,0,-8.796290046260241,-33.02221131831609,-70.56177548506422,0.3333333333333333,1,0.0,0.0,0.0,0.0,0,-15.333644594354654,-43.08031621645051,-84.63041459917946,0.6666666666666667,1,-1.0553067077224192,-4.000435720877626,-8.386715042816078,0.0,0,-0.04442407222900968,-0.19944762824004414,-0.598347896206306,0.0,0,wind,17.40538449671105,3,wind slew sensor_noise
R0469,469,FRAGILE,20.0,4.0,0.8722477538931072,1.0735595476547837,0.0216291091685236,0.1402324013927342,-33.10229127673261,9.354178183765091,36.66017142794213,27.696529526757367,13.065581710342444,1,0.0224240380613226,0.1256802396554198,0.0814104233225328,0.3333333333333333,6.354108513402661,12.750867865803981,18.22147365549719,18.22147365549719,0.0,0.03944444444444444,-6.354108513402661,-12.750867865803981,-18.22147365549719,0.6666666666666667,1,-1.7568311845278473,-7.392409199639266,-8.123123310338908,0.6666666666666667,1,0.8889073602122766,-1.176377814006747,4.038823076062716,0.3333333333333333,1,0.0,0.0,0.0,0.0,0,-6.031198522618542,-12.158186481789237,-17.221623191611787,0.6666666666666667,1,-0.3525522210593577,-1.1459413501767326,-1.5048297104072326,0.6666666666666667,1,-8.258442327324644e-06,-0.00037409671350552287,0.0,0.0,0,wind,6.354108513402661,5,wind backlash slew sensor_noise thrust_var
