rocket_id,design_id,regime_label,kp_simple,kd_simple,kp_full,kd_full,sr_simple_in_full,sr_full_in_full,sr_gap,sr_simple_go,sr_full_go,decision_agrees,false_approval,false_rejection,rms_simple_in_full,rms_full_in_full,rms_gap,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength
R0028,28,EASY,6.84,4.0,59.21,1.0,0.3333333333333333,1.0,0.6666666666666667,0,1,0,0,1,15.866704867285298,1.856247641790593,-14.010457225494704,1.2475363155900772,1.1971718654803363,0.015287047966118817,0.17074864254146777,-27.8766143099067,7.888977780583821,1.308540123113688,184.1777510854634,12.980399035434166,6,0.11538743975914739,0.23521585464269038,0.3082046486001493
R0029,29,EASY,320.0,1.0,88.81,1.0,0.0,1.0,1.0,0,1,0,0,1,51.97846469674143,2.2257245595052324,-49.7527401372362,0.0,1.0843646206243411,0.011016126191283985,-0.07274505119622468,-31.362860737686773,13.381045623818782,1.9233163448229922,165.98919621782449,7.7314608773967635,5,0.1056141795095986,0.11415711239522665,0.4081360777951867
R0030,30,EASY,46.78,16.0,295.07,1.0,1.0,1.0,0.0,1,1,1,0,0,4.468191468715234,0.71392256071834,-3.754268907996894,0.0,1.294009986410223,0.018156767991969268,-0.13269602023708535,-27.98863776069087,5.1666034506876555,2.260265489318057,107.54481524020912,6.1854510607405455,1,0.11764376400346319,0.15514070487966194,0.14834323426505075
R0031,31,EASY,46.78,16.0,24.65,1.0,1.0,1.0,0.0,1,1,1,0,0,4.857171084820603,1.1569355200446223,-3.700235564775981,0.0,0.9682956084452857,0.03187227964341629,-0.08689707656210224,-41.822407528478664,13.92861477562146,1.5974808332873367,69.42234226061974,8.72627803863056,4,0.024964639256223005,0.109614374772801,0.1360586752529665
R0032,32,EASY,295.07,4.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,0.8516436805624615,0.5586034452674743,-0.29304023529498724,0.6103630186342234,1.6816737834717397,0.028171047323102202,0.10355314194450349,-22.642160761987483,10.608382181768075,1.3264312369990197,181.66229498882373,6.341389329091713,1,0.03131959981957977,0.07407072320861507,0.08191606117913616
R0033,33,EASY,11.97,4.0,132.17,1.0,1.0,1.0,0.0,1,1,1,0,0,6.576394600722781,0.4784111437898602,-6.097983456932921,0.0,2.0187398624426303,0.024252501619865453,-0.02782861267293607,-32.963668198823285,10.51064696882556,1.6248793159121506,149.53746321642075,14.237105870106868,3,0.04410746178524164,0.12142352812078108,0.2541378342591348
R0034,34,EASY,320.0,64.0,59.67,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,7.469603451852394,0.787780368644702,-6.681823083207692,0.0,1.952843053315099,0.023015716342915937,-0.14625367071089002,-58.52584916951627,5.960537944911596,1.7089872275279254,85.3660392475548,10.414245447790297,5,0.1321021925399326,0.1476084969603228,0.21966742258790273
R0035,35,EASY,36.97,4.0,320.0,1.0,1.0,1.0,0.0,1,1,1,0,0,2.987651847652725,0.4779737470728125,-2.5096781005799125,0.0,1.960613947554323,0.02248361298112599,-0.2904219162622915,-48.36579394892138,13.574795593643136,1.9180824076723062,181.09937422070976,12.561367604349238,2,0.12448976554348386,0.16519105136792953,0.07336061595157496
R0036,36,EASY,88.81,16.0,50.74,1.0,1.0,1.0,0.0,1,1,1,0,0,4.377754165729111,0.7998630597899806,-3.57789110593913,0.0,1.9270054334986582,0.02366805038214964,-0.10895976743272046,-70.31219755201019,6.694469015417868,1.4182830774861932,69.36876659157589,5.347066399713583,2,0.14078538881079233,0.22151361177768847,0.3166415545043645
R0037,37,EASY,43.14,16.0,36.68,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,10.55964898974232,0.5879765317248951,-9.971672458017425,0.0,0.9239095366738845,0.030738661204723045,-0.11701116227224359,-43.44477663390449,13.58640477751132,1.4130310442266651,146.53245736490746,10.815661345964141,6,0.06717227078412152,0.21345379287658725,0.05706040188325359
