rocket_id,td,latency_steps,best_Kp,best_Kd,ablation,sr,rms,final_label
R2252,105.9973858673699,2,168.58,1.0,no_slew,1.0,0.36984418187639856,EASY
R2252,105.9973858673699,2,168.58,1.0,no_noise,1.0,0.06530205339727066,EASY
R2252,105.9973858673699,2,168.58,1.0,no_backlash,1.0,0.8423259843635906,EASY
R2252,105.9973858673699,2,168.58,1.0,no_deadband,1.0,0.8237615427297005,EASY
R2252,105.9973858673699,2,168.58,1.0,min_latency,1.0,1.0414517952893383,EASY
R0969,115.84897376423488,5,112.39,1.0,full,0.5,4.911043434112242,FRAGILE
R0969,115.84897376423488,5,112.39,1.0,no_wind,0.7,3.964814795272994,FRAGILE
R0969,115.84897376423488,5,112.39,1.0,no_slew,0.9,3.154894318767081,FRAGILE
R0969,115.84897376423488,5,112.39,1.0,no_noise,1.0,1.077704929938295,FRAGILE
R0969,115.84897376423488,5,112.39,1.0,no_backlash,0.9,4.233024471249651,FRAGILE
R0969,115.84897376423488,5,112.39,1.0,no_deadband,0.5,4.932725177756085,FRAGILE
R0969,115.84897376423488,5,112.39,1.0,min_latency,1.0,0.6029257704114143,FRAGILE
R1714,133.65978526451477,5,46.78,1.0,full,0.9,2.709122602870562,FRAGILE
R1714,133.65978526451477,5,46.78,1.0,no_wind,1.0,2.8980669012605325,FRAGILE
R1714,133.65978526451477,5,46.78,1.0,no_slew,1.0,2.5548856752733142,FRAGILE
R1714,133.65978526451477,5,46.78,1.0,no_noise,1.0,0.756979800233412,FRAGILE
R1714,133.65978526451477,5,46.78,1.0,no_backlash,1.0,2.7390373201320406,FRAGILE
R1714,133.65978526451477,5,46.78,1.0,no_deadband,0.9,2.7590682340583714,FRAGILE
R1714,133.65978526451477,5,46.78,1.0,min_latency,1.0,1.0002429967001665,FRAGILE
R2287,148.84459105291927,4,59.67,1.0,full,1.0,3.9862993045653914,FRAGILE
R2287,148.84459105291927,4,59.67,1.0,no_wind,0.9,3.888237378690853,FRAGILE
R2287,148.84459105291927,4,59.67,1.0,no_slew,1.0,3.169013690803314,FRAGILE
R2287,148.84459105291927,4,59.67,1.0,no_noise,1.0,1.4085620321958565,FRAGILE
R2287,148.84459105291927,4,59.67,1.0,no_backlash,0.9,4.002176929672428,FRAGILE
R2287,148.84459105291927,4,59.67,1.0,no_deadband,0.9,3.419727857775971,FRAGILE
R2287,148.84459105291927,4,59.67,1.0,min_latency,1.0,1.5106286833571285,FRAGILE
R0333,150.66632825684047,4,88.81,1.0,full,1.0,2.9641292548845684,FRAGILE
R0333,150.66632825684047,4,88.81,1.0,no_wind,1.0,3.1765442984052816,FRAGILE
R0333,150.66632825684047,4,88.81,1.0,no_slew,1.0,2.7384893022698633,FRAGILE
R0333,150.66632825684047,4,88.81,1.0,no_noise,1.0,0.8483763357408586,FRAGILE
R0333,150.66632825684047,4,88.81,1.0,no_backlash,1.0,2.94833504672975,FRAGILE
R0333,150.66632825684047,4,88.81,1.0,no_deadband,1.0,2.992185850638311,FRAGILE
R0333,150.66632825684047,4,88.81,1.0,min_latency,1.0,1.0189816920023627,FRAGILE
R1422,172.681499823234,4,43.14,1.0,full,0.9,3.5812649727439605,EASY
R1422,172.681499823234,4,43.14,1.0,no_wind,1.0,4.050834373755796,EASY
R1422,172.681499823234,4,43.14,1.0,no_slew,1.0,4.252406232996586,EASY
R1422,172.681499823234,4,43.14,1.0,no_noise,1.0,2.1108484104529572,EASY
R1422,172.681499823234,4,43.14,1.0,no_backlash,0.9,3.9353908789273637,EASY
R1422,172.681499823234,4,43.14,1.0,no_deadband,1.0,3.341858332955328,EASY
R1422,172.681499823234,4,43.14,1.0,min_latency,1.0,1.38022409730977,EASY
R0781,194.99872466642404,2,182.82,1.0,full,1.0,1.6506691453733466,EASY
R0781,194.99872466642404,2,182.82,1.0,no_wind,1.0,1.1407313113048543,EASY
R0781,194.99872466642404,2,182.82,1.0,no_slew,1.0,1.1092892454988463,EASY
R0781,194.99872466642404,2,182.82,1.0,no_noise,1.0,0.15528929580054024,EASY
R0781,194.99872466642404,2,182.82,1.0,no_backlash,1.0,1.1408003560152724,EASY
R0781,194.99872466642404,2,182.82,1.0,no_deadband,1.0,1.6506691453733466,EASY
R0781,194.99872466642404,2,182.82,1.0,min_latency,1.0,0.7372575427433284,EASY
R0354,235.4466984986432,3,59.21,1.0,full,1.0,3.0339743009088065,EASY
R0354,235.4466984986432,3,59.21,1.0,no_wind,1.0,2.8470686316879634,EASY
R0354,235.4466984986432,3,59.21,1.0,no_slew,1.0,2.1537520404915176,EASY
R0354,235.4466984986432,3,59.21,1.0,no_noise,1.0,0.3629129523335975,EASY
R0354,235.4466984986432,3,59.21,1.0,no_backlash,1.0,2.388755788045596,EASY
R0354,235.4466984986432,3,59.21,1.0,no_deadband,1.0,3.0127226678615586,EASY
R0354,235.4466984986432,3,59.21,1.0,min_latency,1.0,1.0815549340885684,EASY
R0028,411.8370450147294,3,113.27,1.0,full,0.9,4.020642891880216,EASY
R0028,411.8370450147294,3,113.27,1.0,no_wind,0.8,4.419803691041243,EASY
R0028,411.8370450147294,3,113.27,1.0,no_slew,1.0,2.679358270398341,EASY
R0028,411.8370450147294,3,113.27,1.0,no_noise,1.0,2.6003468609184166,EASY
R0028,411.8370450147294,3,113.27,1.0,no_backlash,1.0,3.7457192588925956,EASY
R0028,411.8370450147294,3,113.27,1.0,no_deadband,1.0,3.5701641876379058,EASY
R0028,411.8370450147294,3,113.27,1.0,min_latency,1.0,1.0620401743555932,EASY
