cell_id,regime,rank,factor,importance_pct,success_recovery,rms_recovery_deg,s2r_reduction,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,tuned_Kp,tuned_Kd
14,EASY,1,backlash,90.0353511816453,0,3.03775271109465,0.250756378258458,0,90,10,0.666666666666667,10,32
14,EASY,2,aero_mismatch,9.96464881835474,0,0.391092705656371,0.0183023664263264,0,90,10,0.666666666666667,10,32
14,EASY,3,deadband,0,-0.166666666666667,-0.590276445535043,-0.0106801164725456,0,90,10,0.666666666666667,10,32
15,FRAGILE,1,backlash,87.6451368492457,0.166666666666667,9.950202166375,0.295789887224995,0,20,8,0.533333333333333,10,32
15,FRAGILE,2,aero_mismatch,7.55632672768858,0,1.53363028930876,0.00055324459234618,0,20,8,0.533333333333333,10,32
15,FRAGILE,3,deadband,4.79853642306568,0,0.978939544248545,-0.00776737844333519,0,20,8,0.533333333333333,10,32
16,FRAGILE,1,backlash,73.3120406491592,0.833333333333333,11.1746980671591,0.225514651506748,3,90,15,1,10,32
16,FRAGILE,2,sensor_noise,13.9831510513659,0.166666666666667,2.24939184730132,0.0258051395821778,3,90,15,1,10,32
16,FRAGILE,3,thrust_mismatch,8.43078592823792,0.166666666666667,-1.44117716564558,-0.0196900998336108,3,90,15,1,10,32
17,FRAGILE,1,backlash,91.9444689657322,0.5,11.6014646020577,0.121955999260492,1,30,15,1,10,16
17,FRAGILE,2,sensor_noise,4.9107178754712,-0.333333333333333,-1.7633071216224,0.065470974302089,1,30,15,1,10,16
17,FRAGILE,3,aero_mismatch,3.14481315879661,0,0.917102474776573,-0.00485464041412464,1,30,15,1,10,16
18,FRAGILE,1,backlash,59.9277585326592,0.333333333333333,5.09680514223393,0.153603022739878,1,75,10,0.666666666666667,10,16
18,FRAGILE,2,aero_mismatch,27.6167187422262,0.333333333333333,0.797454155322599,0.0128951747088186,1,75,10,0.666666666666667,10,16
18,FRAGILE,3,deadband,12.2865598378303,0.166666666666667,0.194401821076407,-0.00721297836938439,1,75,10,0.666666666666667,10,16
19,FRAGILE,1,backlash,94.7875738734327,0.5,11.6014646020577,0.207923830652616,1,30,10,0.666666666666667,10,16
19,FRAGILE,2,aero_mismatch,4.10764680250995,0,0.917102474776573,0.0158053706784986,1,30,10,0.666666666666667,10,16
19,FRAGILE,3,sensor_noise,1.10477932405738,-0.333333333333333,-1.7633071216224,0.017218062488445,1,30,10,0.666666666666667,10,16
20,FRAGILE,1,backlash,85.9044785968429,0.166666666666667,9.950202166375,0.238940192272139,0,20,12,0.8,10,32
20,FRAGILE,2,aero_mismatch,8.29939019938124,0,1.53363028930876,0.0091500277315586,0,20,12,0.8,10,32
