rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew,static_margin,opt_Kd,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,td_bin,lat_bin,Pi,Kp_ZN,Kp_cons,Kp_floor_theory,ZN_inside,cons_inside,ZN_above_floor,ZN_below_ceil
R3095,134.10945668054418,12.121640639258544,11.063639046203186,4,0.0187498700811169,2.893808487823918,13.829548807753982,0.3668909998768195,185.77362570823368,0.2572913973607375,1.0,4.332910036713837,140.49252415648894,32.42451907980097,1.0,False,False,td120-180,lat4,193.9462502281367,57.0,47.5,2.9091937534220507,True,True,True,True
R3316,123.61081438724516,18.008013909747095,6.864211400921843,4,0.012776523560085,2.9294671761511686,8.580264251152304,0.0554414930712643,62.43532116227173,0.0326846770245058,1.0,1.016831587375873,140.49252415648894,138.16695498126344,1.0,False,False,td120-180,lat4,288.1282225559535,57.0,47.5,4.321923338339302,True,True,True,True
R3332,98.21039227829112,22.64229052354827,4.337476024174809,6,0.0057935966848057,1.6702394457631915,5.421845030218512,0.2642113586348519,167.26888510739516,-0.0310045091186161,4.0,58.87552997104207,250.87967161476035,4.261187487198086,1.0,False,False,td80-120,lat5-6,815.1224588477377,38.0,31.666666666666668,8.151224588477376,False,False,False,True
R3429,22.364842509492814,2.737771319869597,8.16899583510798,3,0.079355565809136,2.76620703064128,10.211244793884974,0.3828676737402626,133.3583511183796,-0.0902765822985505,1.0,0.4261187487198085,187.74109386255512,440.5839790588585,1.0,False,False,td0-40,lat2-3,24.639941878826374,76.0,63.333333333333336,0.4927988375765274,True,True,True,True
R3515,525.2981033934673,44.69590347142803,11.752712499239788,4,0.005021141912668,2.8574611541507378,14.690890624049736,0.1955395335293733,185.07193891474424,-0.2922155036253211,1.0,32.9702752058133,58.87552997104207,1.7857154544060696,0.8,False,False,td300+,lat4,715.1344555428485,57.0,47.5,10.727016833142727,True,True,True,True
R3686,96.76087718854484,9.619540736303277,10.05878345349462,4,0.0151238659034012,1.85236802081156,12.573479316868276,0.3805405892322066,157.54151533201954,-0.1431792556427479,1.0,1.8157718801053533,250.87967161476035,138.1669549812634,1.0,False,False,td80-120,lat4,153.91265178085243,57.0,47.5,2.3086897767127863,True,True,True,True
R3724,61.10966698595062,7.8221661868943935,7.812371346486666,1,0.0204066707197758,2.0324005979441138,9.765464183108332,0.3568693281253962,138.83892287461515,-0.0162998754472988,1.0,0.760926835001139,447.9997067987973,588.7552997104206,1.0,False,False,td40-80,lat1,7.8221661868943935,228.0,190.0,0.4693299712136636,True,True,True,True
R3761,260.9835896649666,23.227957389869054,11.23575290261189,2,0.0075720849762081,2.2394254962221747,14.044691128264862,0.2681689056595356,140.90725736643012,-0.0990885124922768,1.0,4.332910036713837,598.6649859805054,138.16695498126347,1.0,False,False,td180-300,lat2-3,92.91182955947622,114.0,95.0,2.7873548867842866,True,True,True,True
R3898,387.1041703768857,34.675735267602015,11.163546133614709,4,0.0062453654601949,2.757361163290064,13.954432667018384,0.132059379977846,170.96702420565754,-0.0505219419812634,4.0,250.87967161476035,250.87967161476035,1.0,0.8,False,False,td300+,lat4,554.8117642816322,57.0,47.5,8.322176464224484,False,False,False,True
R4018,346.45540488958306,29.56095556512956,11.720034020086477,4,0.0075250591190035,2.832295116143104,14.650042525108091,0.18907937146574,86.84068205175042,-0.1012185946132844,2.0,44.05839790588585,140.49252415648894,3.1887796841046794,1.0,False,False,td300+,lat4,472.975289042073,57.0,47.5,7.094629335631095,True,True,True,True
R4075,181.37476476554596,17.959792551040692,10.09893428613328,5,0.0106661010393671,2.4390299204014685,12.623667857666602,0.3830265444003425,137.80082191393004,-0.2837746130006278,2.0,24.672686679826995,105.13494375563756,4.2611874871980815,0.9333333333333332,False,False,td180-300,lat5-6,448.9948137760173,45.6,38.0,5.387937765312207,True,True,True,True
R4215,29.580633453465925,3.874267554740951,7.635155041697632,5,0.0526617847740637,2.5977377288780263,9.54394380212204,0.0597099426375028,126.32074275680364,-0.2221408538310136,1.0,0.3188779684104678,187.74109386255512,588.7552997104209,1.0,False,False,td0-40,lat5-6,96.85668886852378,45.6,38.0,1.1622802664222853,True,True,True,True
