method,p_unstable,gust_std,Kp,Kd,seed,theta0_deg,success,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,control_rms,cmd_deg,slew_code,u_max_code,servo_deadband
AMATEUR_BASIC_PID,0,0.9,45,8,102,0,1,0.322118578832794,1.3187886122687,0.224427072245231,20.918462580899,0,0.0208333333333333,0.527606997445102,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,103,0,1,0.713949770443319,1.91646883308395,1.26317315756121,20.5231605942155,0,0.0166666666666667,0.490296203943221,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,104,0,1,0.383811424208909,1.36392456237602,0.106711203156073,21.363924562376,0,0.0152777777777778,0.533864790504334,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,105,0,1,0.300324532737469,1.00832220521037,0.117269857202944,21.0083222052104,0,0.0166666666666667,0.488124240656601,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,106,0,1,0.869788666152009,2.05999263657682,1.39549509507173,20.7185974659239,0,0.0152777777777778,0.509592727559038,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,201,3,1,0.473510503352674,2.38611608040077,0.0681187559396677,20.8789951732807,0,0.0208333333333333,0.538407406406967,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,202,3,1,0.529418308830087,2.80676179770569,0.459729242097615,20.7187917156166,0,0.0152777777777778,0.511735143057206,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,203,3,1,0.641298838648088,3.64224363451644,0.117628647743,20.7369747641911,0,0.0166666666666667,0.550894236386393,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,204,3,1,0.857350932320801,3.78467835417692,1.44837188415271,20.9322423024955,0,0.0208333333333333,0.529842716163195,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,205,3,1,1.2957149164741,3.41883169698147,2.21823320461904,20.3546863069339,0,0.0180555555555556,0.553367602126292,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,206,3,1,1.1832559340613,2.71578269531987,2.15893635426049,21.5664747203711,0,0.0180555555555556,0.532528153561261,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,101,0,1,0.272882931348623,0.950664460822409,0.585930711608479,20.775373191099,0,0.0166666666666667,0.513594291965655,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,102,0,1,0.322118578832794,1.3187886122687,0.224427072245231,20.918462580899,0,0.0208333333333333,0.527606997445102,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,103,0,1,0.713949770443319,1.91646883308395,1.26317315756121,20.5231605942155,0,0.0166666666666667,0.490296203943221,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,104,0,1,0.383811424208909,1.36392456237602,0.106711203156073,21.363924562376,0,0.0152777777777778,0.533864790504334,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,105,0,1,0.300324532737469,1.00832220521037,0.117269857202944,21.0083222052104,0,0.0166666666666667,0.488124240656601,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,106,0,1,0.869788666152009,2.05999263657682,1.39549509507173,20.7185974659239,0,0.0152777777777778,0.509592727559038,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,201,3,1,0.473510503352674,2.38611608040077,0.0681187559396677,20.8789951732807,0,0.0208333333333333,0.538407406406967,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,202,3,1,0.529418308830087,2.80676179770569,0.459729242097615,20.7187917156166,0,0.0152777777777778,0.511735143057206,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,203,3,1,0.641298838648088,3.64224363451644,0.117628647743,20.7369747641911,0,0.0166666666666667,0.550894236386393,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,204,3,1,0.857350932320801,3.78467835417692,1.44837188415271,20.9322423024955,0,0.0208333333333333,0.529842716163195,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,205,3,1,1.2957149164741,3.41883169698147,2.21823320461904,20.3546863069339,0,0.0180555555555556,0.553367602126292,20,60,12,0.05
BENCH_TUNED_PID,0,0.9,45,8,206,3,1,1.1832559340613,2.71578269531987,2.15893635426049,21.5664747203711,0,0.0180555555555556,0.532528153561261,20,60,12,0.05
