rocket_id,keff,latency,Pi,window_ratio,fsat_floor,residual,abs_residual,Pi_quintile
R2866,25.640616518724965,3,230.76554866852467,43.3291003671384,0.55425,0.10787938265436603,0.10787938265436603,2
R2871,21.0016330459664,4,336.0261287354624,24.26428032541706,0.6010833333333334,-0.10715689630599767,0.10715689630599767,3
R2939,3.5283207332847795,1,3.5283207332847795,1404.925241564889,0.0435833333333333,-0.4713700585952738,0.4713700585952738,0
R2965,18.468441541442413,4,295.4950646630786,10.168315873758727,0.64475,-1.1016585889974708,1.1016585889974708,3
R3022,15.508487265962064,6,558.3055415746343,18.157718801053534,0.7020833333333332,0.09578398869133364,0.09578398869133364,4
R3095,12.121640639258544,4,193.9462502281367,32.42451907980097,0.55675,-0.3507615492922511,0.3507615492922511,2
R3316,18.008013909747095,4,288.1282225559535,138.16695498126344,0.7134166666666667,1.4830203177649812,1.4830203177649812,3
R3332,22.64229052354827,6,815.1224588477377,4.261187487198086,0.00025,-0.986413161593443,0.986413161593443,4
R3429,2.737771319869597,3,24.639941878826374,440.5839790588585,0.045,0.25562738562023224,0.25562738562023224,0
R3515,44.69590347142803,4,715.1344555428485,1.7857154544060696,0.8430833333333336,-1.9831775954576112,1.9831775954576112,4
R3686,9.619540736303277,4,153.91265178085243,138.1669549812634,0.4268333333333333,0.8743603927768655,0.8743603927768655,2
R3724,7.8221661868943935,1,7.8221661868943935,588.7552997104206,0.0405833333333333,-0.5682718848592279,0.5682718848592279,0
R3761,23.227957389869054,2,92.91182955947625,138.16695498126347,0.5319166666666666,0.38440576514648495,0.38440576514648495,1
R3898,34.675735267602015,4,554.8117642816322,1.0,0.8068333333333332,-2.809405427710982,2.809405427710982,4
R4018,29.56095556512956,4,472.975289042073,3.1887796841046794,0.7448333333333332,-1.80467988246268,1.80467988246268,3
R4075,17.959792551040692,5,448.9948137760173,4.2611874871980815,0.7648333333333334,-1.5652785177550033,1.5652785177550033,3
R4215,3.874267554740951,5,96.85668886852376,588.7552997104209,0.0580833333333333,1.87431752690512,1.87431752690512,1
