step,metric,metric_val,success,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,deadband,backlash,wind_strength,latency_steps,rocket_id,design_id,regime_label
2,rms_error_deg,4.888841494121517,1,1.9131355478938104,0.028292250022327995,0.12669971323810764,-41.63201521204361,6.001830560711393,27.912012978254925,32.26262248694442,10.830118170906758,0.027894133375119153,0.030476840955910647,0.23385364231592662,5,R0788,788,FRAGILE
3,rms_error_deg,3.5883412176734235,1,1.9154479494840149,0.028086586273297506,0.12576849231307702,-41.381800744497305,6.0377137095370195,27.953190606765247,34.9762903740897,10.775230003203811,0.027786314195033922,0.02532164576892189,0.22651182974976988,5,R0788,788,FRAGILE
4,rms_error_deg,2.4563550750693084,1,1.9239838314722926,0.028368055376720464,0.12475618403103453,-41.18214856213348,6.076816816876435,28.326690086984836,36.87094565973032,10.720693415060092,0.027786314195033922,0.022033084192998584,0.22080178720721919,5,R0788,788,FRAGILE
5,rms_error_deg,2.4332202893489177,1,1.9305360789237158,0.028504858921604478,0.12317573434040267,-41.22707939260714,6.1769242568324385,28.53199977138863,37.74269322032504,10.73369082224928,0.027786314195033922,0.013155442304736406,0.21458822539204683,5,R0788,788,FRAGILE
0,rms_error_deg,0.8488697864883685,1,1.2077954292472937,0.0396955255594102,0.185235534290171,-31.56577943989062,6.395920705529187,29.6036405857723,73.72718944796146,9.673249331489536,0.0818455487206752,0.0080830597531169,0.1367930415688059,2,R0789,789,EASY
1,rms_error_deg,3.7196662747049736,1,1.1959951541823075,0.04,0.18555444319632397,-31.640321618271734,6.384328360935543,29.38848147892697,73.66407813705338,9.602655409951621,0.0817173687660705,6.331953862080686e-05,0.13967041736193184,3,R0789,789,EASY
2,rms_error_deg,1.6029810310965158,1,1.1798952947329209,0.03928871850405938,0.18838554310382616,-32.24208676512239,6.324530921886453,29.306011186419383,73.91439610611819,9.590544924866885,0.0817173687660705,0.0041556225453155,0.14092201993879303,3,R0789,789,EASY
3,rms_error_deg,0.6743436317771565,1,1.1572455815524734,0.03951072902081785,0.18814791940583142,-32.18779042784839,6.274576719684708,29.289822041708046,73.40329843542821,9.441065057085648,0.0817173687660705,0.00444955607115405,0.15585816041877307,2,R0789,789,EASY
4,rms_error_deg,0.9934350796450451,1,1.136640363678516,0.03911488428204988,0.1872215053523154,-31.98911461586122,6.229053360312462,29.448508364425603,74.93547327005017,9.529441515516629,0.08168847211587714,0.0004889896383026377,0.1577172500998061,2,R0789,789,EASY
5,rms_error_deg,0.5105194147197343,1,1.1345604425986944,0.04,0.18701654279586039,-31.93976016241937,6.396603078476422,29.5759627907882,75.1900405713188,9.743601083573362,0.08160416627354779,0.001360984367869085,0.15723495256500816,2,R0789,789,EASY
0,rms_error_deg,4.638361259844145,1,1.663443813416425,0.0289443537129054,0.0670549391892438,-49.56990024037649,6.574854732004768,30.977449691860286,116.80292764783536,14.212645738087396,0.135780659237123,0.1557663550516184,0.2930935536448388,1,R0790,790,EASY
1,rms_error_deg,4.5403827965592995,1,1.658036604915552,0.029049806225391685,0.0667165154851713,-49.961346924569916,6.463766532872955,30.519890898968388,115.4393290484959,14.339095151265088,0.1367762706025554,0.1547589814679443,0.290098334734778,2,R0790,790,EASY
2,rms_error_deg,4.326042435366776,1,1.6229497977002887,0.029465909876030524,0.06677017306956508,-50.38630013016641,6.630421303161382,30.462930216714966,114.71059554413473,14.339036812827738,0.13492750209057944,0.1553865405659473,0.28886949419985464,2,R0790,790,EASY
3,rms_error_deg,4.495916447685787,1,1.6324059636397268,0.02928736819526451,0.06833514496282854,-50.3912729912664,6.159773970865483,30.36765282170878,115.05190578706038,14.271536409547602,0.13492750209057944,0.15509378979452823,0.28571468329502064,2,R0790,790,EASY
4,rms_error_deg,4.123712844403969,1,1.653307009548121,0.029231567136168375,0.06571884608356784,-50.004319787274476,6.100241991727935,30.41232709924122,116.32316173724365,14.161174104145319,0.13552966960229051,0.1526820213772861,0.2827445474486176,2,R0790,790,EASY
