rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code,sr_kp2,rms_kp2,sr_kp5,rms_kp5
R0023,23,0.5310743628943791,1.234952452125885,0.0294784285546466,0.1059788766952941,-21.5917481194594,6.049484720262358,1.6687928330771782,114.43661508972838,10.853034222475808,5,0.1217003053225635,0.1004222888476232,0.1164577694410268,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6540909113894471,2.9408266352975883,1.2431187084133974,2.9408266352975883,0.0,0.0788888888888888,1.0,7.333333333333333,0.0,0.0,EASY,2,1.0,3.0265064812565527,1.0,1.9925829163039979
R0024,24,2.164213774323993,1.433704962052321,0.0176238118850304,0.081845958574994,-89.1303528532529,9.651631435206978,1.021278718214548,69.24781753274276,5.171335744549304,2,0.0007625472052179,0.1507820673733775,0.2539000677597462,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.5830667285370437,5.432434265055515,1.015328058101698,5.432434265055515,0.0,0.1338888888888888,1.95,3.6666666666666665,0.0,0.0,EASY,2,1.0,4.705132336440051,1.0,3.2404045705087854
R0025,25,0.0,0.916317903991114,0.0113085695002474,-0.1232894029121562,-85.91086823039194,5.453989522012341,1.3682938499612511,150.04430634367134,14.232297535744664,3,0.0855664912508226,0.240335385261051,0.0604201050726459,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8146553776600388,2.2174437444793798,1.17685062688512,2.2174437444793798,0.0,0.1844444444444444,1.0,9.0,0.0,0.0,EASY,2,1.0,2.7627988860056383,1.0,1.92679675095685
R0026,26,0.0,1.700587300244402,0.0284713080121831,-0.2546146370204496,-40.51382231647087,9.05261777228209,2.9990432896921715,150.48775784793315,11.955234312773772,6,0.1344450499984807,0.1794495928710558,0.4440271839033899,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,2.126649470384088,6.152003608943684,2.181939003254053,6.152003608943684,0.0,0.5666666666666668,2.4466666666666668,8.333333333333334,0.0,0.0,EASY,2,0.6666666666666666,8.710389902449409,0.6666666666666666,6.202054469747412
R0027,27,0.352619354473679,0.9784467902340644,0.038575011190869,0.0315835788159733,-58.30156640673621,11.082160847273808,2.4511489235428163,145.22330836231308,10.074945514685613,3,0.0721389520037067,0.2345626870596653,0.4001815602954782,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6018637820234662,1.9642744464733315,1.3236463353832122,1.9642744464733315,0.0,0.0366666666666666,0.0,8.666666666666666,0.0,0.0,EASY,2,1.0,1.7207581662306122,1.0,1.288379907750679
R0028,28,1.2475363155900772,1.1971718654803365,0.0152870479661188,0.1707486425414677,-27.8766143099067,7.888977780583821,1.308540123113688,184.1777510854634,12.980399035434166,6,0.1153874397591473,0.2352158546426903,0.3082046486001493,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.3944821547006647,3.656225726773395,2.868052227792978,3.656225726773395,0.0,0.505,3.0,12.666666666666666,0.0,0.0,EASY,2,0.3333333333333333,7.997222061184318,1.0,5.436095224032596
R0029,29,0.0,1.0843646206243411,0.0110161261912839,-0.0727450511962246,-31.362860737686773,13.381045623818782,1.923316344822992,165.98919621782449,7.7314608773967635,5,0.1056141795095986,0.1141571123952266,0.4081360777951867,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,2.324754253095447,8.630818693218096,5.371861480377118,8.630818693218096,0.0,0.2761111111111111,3.0,8.666666666666666,0.0,0.0,EASY,2,0.6666666666666666,8.148195917143605,1.0,6.568991147247327
R0030,30,0.0,1.294009986410223,0.0181567679919692,-0.1326960202370853,-27.98863776069087,5.166603450687656,2.260265489318057,107.54481524020912,6.1854510607405455,1,0.1176437640034631,0.1551407048796619,0.1483432342650507,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.9791172379703772,3.2842811895463453,2.032541713144594,3.2842811895463453,0.0,0.0744444444444444,2.955,9.333333333333334,0.0,0.0,EASY,2,1.0,3.0513600580981994,1.0,2.5918855551149482
R0031,31,0.0,0.9682956084452856,0.0318722796434162,-0.0868970765621022,-41.82240752847866,13.92861477562146,1.5974808332873367,69.42234226061974,8.72627803863056,4,0.024964639256223,0.109614374772801,0.1360586752529665,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.3351845345620263,3.826637116347847,1.6960951983934354,3.826637116347847,0.0,0.1333333333333333,2.3833333333333333,5.0,0.0,0.0,EASY,2,1.0,3.1979481018084126,1.0,1.9412383379688951
R0032,32,0.6103630186342234,1.6816737834717397,0.0281710473231022,0.1035531419445034,-22.642160761987483,10.608382181768077,1.3264312369990197,181.66229498882373,6.341389329091713,1,0.0313195998195797,0.074070723208615,0.0819160611791361,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5293187421807416,2.2567027148481933,1.215817943826596,2.2567027148481933,0.0,0.0,1.0,6.0,0.0,0.0,EASY,2,1.0,1.7752950984023919,1.0,1.341465717206597
