rocket_id,Iyy,motor_scale,latency_steps,keff,wind_strength,ref_kd,floor_kd1,ceil_kd1,window_kd1,floorcens_kd1,ceilcens_kd1,npass_kd1,floor_frozen,ceil_frozen,window_frozen,floorcens_frozen,ceilcens_frozen,npass_frozen,floor_free,ceil_free,window_free,floorcens_free,ceilcens_free,npass_free
R0606,0.0060199634178653,2.7890183863718345,5.0,1667.8616619399638,0.3567069641785257,0.1,4.332910036713837,105.13494375563756,24.264280325417033,0,0,12,0.23862634310993056,13.816695498126338,57.90096482248505,0,0,15,0.13363066468464754,335.2521727374652,2508.7967161476026,0,0,28
R0624,0.0053259663360366,2.396564391030915,1.0,1619.9185769040514,0.2624679302841973,0.1,4.332910036713837,800.0,184.63342031599979,0,1,19,0.1,32.9702752058133,329.702752058133,1,0,21,0.1,800.0,8000.0,1,1,32
R0384,0.0060712989357618,2.2720763545538047,1.0,1347.2363925640525,0.4295001590350812,0.1,3.2424519079800946,800.0,246.7268667982696,0,1,20,1.3587988089338316,32.9702752058133,24.264280325417058,0,0,12,0.760926835001139,800.0,1051.3494375563748,0,1,25
R0477,0.0429462834366792,2.729107904784412,6.0,228.7692361484489,0.2153985432917086,0.1,0.1,187.74109386255512,1877.4109386255511,1,0,27,0.1,24.672686679826995,246.72686679826995,1,0,20,0.1,800.0,8000.0,1,1,32
R0606,0.0060199634178653,2.7890183863718345,5.0,1667.8616619399638,0.3567069641785257,0.1,4.332910036713837,105.13494375563756,24.264280325417033,0,0,12,0.23862634310993056,13.816695498126338,57.90096482248505,0,0,15,0.13363066468464754,335.2521727374652,2508.7967161476026,0,0,28
R0624,0.0053259663360366,2.396564391030915,1.0,1619.9185769040514,0.2624679302841973,0.1,4.332910036713837,800.0,184.63342031599979,0,1,19,0.1,32.9702752058133,329.702752058133,1,0,21,0.1,800.0,8000.0,1,1,32
R0787,0.0121637896861397,2.9717925297696137,2.0,879.5328909181321,0.0909964722234189,0.1,7.737344415111075,598.6649859805054,77.37344415111076,0,0,16,0.569425316260183,18.463342031599993,32.424519079800945,0,0,13,0.1,800.0,8000.0,1,1,32
R0787,0.0121637896861397,2.9717925297696137,2.0,879.5328909181321,0.0909964722234189,0.1,7.737344415111075,598.6649859805054,77.37344415111076,0,0,16,0.569425316260183,18.463342031599993,32.424519079800945,0,0,13,0.1,800.0,8000.0,1,1,32
R0890,0.0104582331596471,2.4026246981933044,4.0,827.0468616888018,0.3658809008906195,0.1,7.737344415111075,105.13494375563756,13.587988089338308,0,0,10,0.1,18.463342031599993,184.63342031599993,1,0,19,0.1,598.6649859805054,5986.649859805054,1,0,29
R1143,0.0102154776428961,1.5426280094551403,5.0,543.6320285914788,0.1067840388749219,0.25,1.3587988089338316,140.49252415648894,103.39464770853387,0,0,17,0.1,44.05839790588585,440.58397905885846,1,0,22,0.1,800.0,8000.0,1,1,32
R1330,0.0074497156149644,2.458868417205217,1.0,1188.2233845487647,0.3147975110964263,0.1,1.8157718801053535,800.0,440.58397905885784,0,1,22,0.569425316260183,32.9702752058133,57.900964822485086,0,0,15,0.23862634310993056,800.0,3352.521727374649,0,1,29
R1345,0.0052429730166667,2.175452038927996,2.0,1493.7378688093768,0.3193386345486193,0.1,10.33946477085338,598.6649859805054,57.900964822485086,0,0,15,0.31887796841046784,24.672686679826995,77.37344415111076,0,0,16,0.17857154544060705,800.0,4479.997067987969,0,1,30
R0890,0.0104582331596471,2.4026246981933044,4.0,827.0468616888018,0.3658809008906195,0.1,7.737344415111075,105.13494375563756,13.587988089338308,0,0,10,0.1,18.463342031599993,184.63342031599993,1,0,19,0.1,598.6649859805054,5986.649859805054,1,0,29
R1143,0.0102154776428961,1.5426280094551403,5.0,543.6320285914788,0.1067840388749219,0.25,1.3587988089338316,140.49252415648894,103.39464770853387,0,0,17,0.1,44.05839790588585,440.58397905885846,1,0,22,0.1,800.0,8000.0,1,1,32
R1345,0.0052429730166667,2.175452038927996,2.0,1493.7378688093768,0.3193386345486193,0.1,10.33946477085338,598.6649859805054,57.900964822485086,0,0,15,0.31887796841046784,24.672686679826995,77.37344415111076,0,0,16,0.17857154544060705,800.0,4479.997067987969,0,1,30
R1489,0.0086350110721607,2.4036089115347865,1.0,1002.0823377311584,0.1203729204976008,0.1,1.8157718801053535,800.0,440.58397905885784,0,1,22,0.760926835001139,18.463342031599993,24.264280325417037,0,0,12,0.23862634310993056,800.0,3352.521727374649,0,1,29
R1569,0.0053407775558939,2.4743118236737067,4.0,1667.8325341214231,0.2153449135667151,0.25,4.332910036713837,250.87967161476035,57.900964822485065,0,0,15,0.1,105.13494375563756,1051.3494375563755,1,0,25,0.1,800.0,8000.0,1,1,32
R1489,0.0086350110721607,2.4036089115347865,1.0,1002.0823377311584,0.1203729204976008,0.1,1.8157718801053535,800.0,440.58397905885784,0,1,22,0.760926835001139,18.463342031599993,24.264280325417037,0,0,12,0.23862634310993056,800.0,3352.521727374649,0,1,29
R1569,0.0053407775558939,2.4743118236737067,4.0,1667.8325341214231,0.2153449135667151,0.25,4.332910036713837,250.87967161476035,57.900964822485065,0,0,15,0.1,105.13494375563756,1051.3494375563755,1,0,25,0.1,800.0,8000.0,1,1,32
R1641,0.0607275586302751,1.760525520299533,1.0,104.36599158653857,0.1073722102157777,0.1,0.1,447.9997067987973,4479.9970679879725,1,0,30,0.1,105.13494375563756,1051.3494375563755,1,0,25,0.1,800.0,8000.0,1,1,32
R1687,0.0053205856532191,2.4593890320274348,3.0,1664.065028244019,0.3313635529237941,0.1,24.672686679826995,140.49252415648894,5.694253162601831,0,0,6,0.31887796841046784,44.05839790588585,138.16695498126342,0,0,18,0.31887796841046784,598.6649859805054,1877.4109386255516,0,0,25
R1809,0.0125530705105693,2.7086230262423228,4.0,776.7854793982304,0.2560231260191134,0.25,4.332910036713837,140.49252415648894,32.42451907980097,0,0,13,0.31887796841046784,78.67576203691237,246.72686679826978,0,0,20,0.31887796841046784,598.6649859805054,1877.4109386255516,0,0,27
R1641,0.0607275586302751,1.760525520299533,1.0,104.36599158653857,0.1073722102157777,0.1,0.1,447.9997067987973,4479.9970679879725,1,0,30,0.1,105.13494375563756,1051.3494375563755,1,0,25,0.1,800.0,8000.0,1,1,32
R1687,0.0053205856532191,2.4593890320274348,3.0,1664.065028244019,0.3313635529237941,0.1,24.672686679826995,140.49252415648894,5.694253162601831,0,0,6,0.31887796841046784,44.05839790588585,138.16695498126342,0,0,18,0.31887796841046784,598.6649859805054,1877.4109386255516,0,0,25
R1809,0.0125530705105693,2.7086230262423228,4.0,776.7854793982304,0.2560231260191134,0.25,4.332910036713837,140.49252415648894,32.42451907980097,0,0,13,0.31887796841046784,78.67576203691237,246.72686679826978,0,0,20,0.31887796841046784,598.6649859805054,1877.4109386255516,0,0,27
R1990,0.0065709808493783,2.1685199104636634,2.0,1188.0527209888005,0.1784794509145567,0.1,13.816695498126338,598.6649859805054,43.3291003671384,0,0,14,1.3587988089338316,44.05839790588585,32.424519079800966,0,0,13,1.0168315873758733,800.0,786.757620369123,0,1,24
R2068,0.0192105165611586,1.5972523536080008,6.0,299.32086702003863,0.2429181103009256,0.1,0.1,250.87967161476035,2508.7967161476035,1,0,28,0.42611874871980854,13.816695498126338,32.424519079800945,0,0,13,0.1,598.6649859805054,5986.649859805054,1,0,31
R1990,0.0065709808493783,2.1685199104636634,2.0,1188.0527209888005,0.1784794509145567,0.1,13.816695498126338,598.6649859805054,43.3291003671384,0,0,14,1.3587988089338316,44.05839790588585,32.424519079800966,0,0,13,1.0168315873758733,800.0,786.757620369123,0,1,24
R2068,0.0192105165611586,1.5972523536080008,6.0,299.32086702003863,0.2429181103009256,0.1,0.1,250.87967161476035,2508.7967161476035,1,0,28,0.42611874871980854,13.816695498126338,32.424519079800945,0,0,13,0.1,598.6649859805054,5986.649859805054,1,0,31
