cell_id,regime_label,regime_code,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,cmd_deg,success_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,n_trials
13,FRAGILE,1,0,60,8,0.533333333333333,10,24,30,0,36.2862152249309,77.4399686802963,56.3101151040495,85.1587946569114,0.760401370533529,0.99828431372549,3.4,6
14,EASY,2,0,60,10,0.666666666666667,10,24,5,1,6.81180284403154,14.3796832921134,8.45408997171098,15.7042712154181,0.430494371023005,0.997794117647059,3.4,6
14,EASY,2,0,60,10,0.666666666666667,10,24,10,1,8.79424393764481,21.3803233227716,18.9861586793495,22.6655669582608,0.387665198237885,0.996323529411765,3.4,6
14,EASY,2,0,60,10,0.666666666666667,10,24,15,0.833333333333333,12.3642685479078,25.6303632648033,14.7589941230355,35.7116708761945,0.580518844836025,0.997794117647059,3.4,6
14,EASY,2,0,60,10,0.666666666666667,10,24,20,0.333333333333333,17.9384348873739,37.3628333140015,23.6612858454406,52.6064848192257,0.629466470876163,0.997794117647059,3.39333333333333,6
14,EASY,2,0,60,10,0.666666666666667,10,24,25,0,28.3924892443515,61.7807557778375,47.9854116341943,70.9954455330675,0.692364170337739,0.997794117647059,3.4,6
14,EASY,2,0,60,10,0.666666666666667,10,24,30,0,36.2862152249309,77.4399686802963,56.3101151040495,85.1587946569114,0.738130200685267,0.99828431372549,3.4,6
15,EASY,2,0,60,12,0.8,10,24,5,1,6.81180284403154,14.3796832921134,8.45408997171098,15.7042712154181,0.356093979441997,0.997794117647059,3.4,6
15,EASY,2,0,60,12,0.8,10,24,10,1,8.79424393764481,21.3803233227716,18.9861586793495,22.6655669582608,0.33945178658835,0.996323529411765,3.4,6
15,EASY,2,0,60,12,0.8,10,24,15,0.833333333333333,12.3642685479078,25.6303632648033,14.7589941230355,35.7116708761945,0.505628976994616,0.997794117647059,3.4,6
15,EASY,2,0,60,12,0.8,10,24,20,0.333333333333333,17.9384348873739,37.3628333140015,23.6612858454406,52.6064848192257,0.582721488007832,0.997794117647059,3.39333333333333,6
15,EASY,2,0,60,12,0.8,10,24,25,0,28.3924892443515,61.7807557778375,47.9854116341943,70.9954455330675,0.648556045031816,0.997794117647059,3.4,6
15,EASY,2,0,60,12,0.8,10,24,30,0,36.2862152249309,77.4399686802963,56.3101151040495,85.1587946569114,0.715124816446402,0.99828431372549,3.4,6
16,EASY,2,0,60,15,1,10,24,5,1,6.81180284403154,14.3796832921134,8.45408997171098,15.7042712154181,0.274351443954968,0.997794117647059,3.4,6
16,EASY,2,0,60,15,1,10,24,10,1,8.79424393764481,21.3803233227716,18.9861586793495,22.6655669582608,0.282672540381792,0.996323529411765,3.4,6
16,EASY,2,0,60,15,1,10,24,15,0.833333333333333,12.3642685479078,25.6303632648033,14.7589941230355,35.7116708761945,0.429025942241801,0.997794117647059,3.4,6
16,EASY,2,0,60,15,1,10,24,20,0.333333333333333,17.9384348873739,37.3628333140015,23.6612858454406,52.6064848192257,0.516397454723446,0.997794117647059,3.39333333333333,6
16,EASY,2,0,60,15,1,10,24,25,0,28.3924892443515,61.7807557778375,47.9854116341943,70.9954455330675,0.595447870778267,0.997794117647059,3.4,6
16,EASY,2,0,60,15,1,10,24,30,0,36.2862152249309,77.4399686802963,56.3101151040495,85.1587946569114,0.664953499755262,0.99828431372549,3.4,6
17,FRAGILE,1,0,75,8,0.533333333333333,10,16,5,1,8.24386378185148,18.378382496299,8.84540130902735,18.9465979471931,0.446647087616251,0.995588235294118,3.385,6
17,FRAGILE,1,0,75,8,0.533333333333333,10,16,10,1,8.88721086101533,18.8380256435193,11.4580348148341,24.0210306023969,0.393049437102301,0.995343137254902,3.4,6
17,FRAGILE,1,0,75,8,0.533333333333333,10,16,15,0.666666666666667,13.9959082252007,32.5359825098801,18.7123370901101,35.0121285978477,0.518110621634851,0.995343137254902,3.39833333333333,6
17,FRAGILE,1,0,75,8,0.533333333333333,10,16,20,0.666666666666667,16.1008471797974,31.5079793610772,19.387000060871,45.8310692914387,0.612824278022516,0.99656862745098,3.3875,6
17,FRAGILE,1,0,75,8,0.533333333333333,10,16,25,0.333333333333333,22.2488095510949,45.9004534453641,27.997204068622,64.2230323055781,0.656877141458639,0.99656862745098,3.4,6
17,FRAGILE,1,0,75,8,0.533333333333333,10,16,30,0,30.4116842789968,67.362596858079,61.0041269520735,79.6660277495346,0.703132648066569,0.99656862745098,3.4,6
18,EASY,2,0,75,10,0.666666666666667,10,16,5,1,8.24386378185148,18.378382496299,8.84540130902735,18.9465979471931,0.366617719040627,0.995588235294118,3.385,6
18,EASY,2,0,75,10,0.666666666666667,10,16,10,1,8.88721086101533,18.8380256435193,11.4580348148341,24.0210306023969,0.316201664219285,0.995343137254902,3.4,6
18,EASY,2,0,75,10,0.666666666666667,10,16,15,0.666666666666667,13.9959082252007,32.5359825098801,18.7123370901101,35.0121285978477,0.445178658835047,0.995343137254902,3.39833333333333,6
18,EASY,2,0,75,10,0.666666666666667,10,16,20,0.666666666666667,16.1008471797974,31.5079793610772,19.387000060871,45.8310692914387,0.530837004405286,0.99656862745098,3.3875,6
18,EASY,2,0,75,10,0.666666666666667,10,16,25,0.333333333333333,22.2488095510949,45.9004534453641,27.997204068622,64.2230323055781,0.603768967205091,0.99656862745098,3.4,6
18,EASY,2,0,75,10,0.666666666666667,10,16,30,0,30.4116842789968,67.362596858079,61.0041269520735,79.6660277495346,0.651982378854625,0.99656862745098,3.4,6
19,EASY,2,0,75,12,0.8,10,16,5,1,8.24386378185148,18.378382496299,8.84540130902735,18.9465979471931,0.286588350465002,0.995588235294118,3.385,6
19,EASY,2,0,75,12,0.8,10,16,10,1,8.88721086101533,18.8380256435193,11.4580348148341,24.0210306023969,0.249143416544298,0.995343137254902,3.4,6
19,EASY,2,0,75,12,0.8,10,16,15,0.666666666666667,13.9959082252007,32.5359825098801,18.7123370901101,35.0121285978477,0.395986294664709,0.995343137254902,3.39833333333333,6
19,EASY,2,0,75,12,0.8,10,16,20,0.666666666666667,16.1008471797974,31.5079793610772,19.387000060871,45.8310692914387,0.472589329417523,0.99656862745098,3.3875,6
19,EASY,2,0,75,12,0.8,10,16,25,0.333333333333333,22.2488095510949,45.9004534453641,27.997204068622,64.2230323055781,0.551395007342144,0.99656862745098,3.4,6
19,EASY,2,0,75,12,0.8,10,16,30,0,30.4116842789968,67.362596858079,61.0041269520735,79.6660277495346,0.604258443465492,0.99656862745098,3.4,6
20,EASY,2,0,75,15,1,10,16,5,1,8.24386378185148,18.378382496299,8.84540130902735,18.9465979471931,0.173274596182085,0.995588235294118,3.385,6
20,EASY,2,0,75,15,1,10,16,10,1,8.88721086101533,18.8380256435193,11.4580348148341,24.0210306023969,0.184287812041116,0.995343137254902,3.4,6
20,EASY,2,0,75,15,1,10,16,15,0.666666666666667,13.9959082252007,32.5359825098801,18.7123370901101,35.0121285978477,0.32843857072932,0.995343137254902,3.39833333333333,6
20,EASY,2,0,75,15,1,10,16,20,0.666666666666667,16.1008471797974,31.5079793610772,19.387000060871,45.8310692914387,0.354870288790994,0.99656862745098,3.3875,6
20,EASY,2,0,75,15,1,10,16,25,0.333333333333333,22.2488095510949,45.9004534453641,27.997204068622,64.2230323055781,0.462799804209496,0.99656862745098,3.4,6
20,EASY,2,0,75,15,1,10,16,30,0,30.4116842789968,67.362596858079,61.0041269520735,79.6660277495346,0.545766030347528,0.99656862745098,3.4,6
21,EASY,2,0,90,8,0.533333333333333,10,16,5,1,7.70184570774602,18.1734703444053,9.51288658238537,18.1808568596641,0.423396965247186,0.994362745098039,3.395,6
21,EASY,2,0,90,8,0.533333333333333,10,16,10,1,7.06412793792862,19.097658691408,16.8997433631082,21.3249314630211,0.338472834067548,0.993382352941176,3.39666666666667,6
21,EASY,2,0,90,8,0.533333333333333,10,16,15,0.833333333333333,9.36058861595942,20.5620326419615,9.00974527681206,25.9772005671637,0.496818404307391,0.995343137254902,3.3925,6
21,EASY,2,0,90,8,0.533333333333333,10,16,20,0.833333333333333,13.9153710388168,31.9327161432368,20.9818638224531,45.40642644254,0.578071463534019,0.996323529411765,3.4,6
21,EASY,2,0,90,8,0.533333333333333,10,16,25,0.333333333333333,17.8560019260726,38.3100478096562,20.0659786493342,59.1433811429895,0.647821830641214,0.996078431372549,3.395,6
21,EASY,2,0,90,8,0.533333333333333,10,16,30,0,25.8038664122516,56.9467362875233,48.528905393371,74.3607320487996,0.694811551639746,0.996323529411765,3.4,6
22,EASY,2,0,90,10,0.666666666666667,10,16,5,1,7.70184570774602,18.1734703444053,9.51288658238537,18.1808568596641,0.356583455702398,0.994362745098039,3.395,6
22,EASY,2,0,90,10,0.666666666666667,10,16,10,1,7.06412793792862,19.097658691408,16.8997433631082,21.3249314630211,0.279980420949584,0.993382352941176,3.39666666666667,6
22,EASY,2,0,90,10,0.666666666666667,10,16,15,0.833333333333333,9.36058861595942,20.5620326419615,9.00974527681206,25.9772005671637,0.440773372491434,0.995343137254902,3.3925,6
22,EASY,2,0,90,10,0.666666666666667,10,16,20,0.833333333333333,13.9153710388168,31.9327161432368,20.9818638224531,45.40642644254,0.512971120900636,0.996323529411765,3.4,6
22,EASY,2,0,90,10,0.666666666666667,10,16,25,0.333333333333333,17.8560019260726,38.3100478096562,20.0659786493342,59.1433811429895,0.566324033284386,0.996078431372549,3.395,6
22,EASY,2,0,90,10,0.666666666666667,10,16,30,0,25.8038664122516,56.9467362875233,48.528905393371,74.3607320487996,0.644884973078806,0.996323529411765,3.4,6
23,EASY,2,0,90,12,0.8,10,16,5,1,7.70184570774602,18.1734703444053,9.51288658238537,18.1808568596641,0.271169848262359,0.994362745098039,3.395,6
23,EASY,2,0,90,12,0.8,10,16,10,1,7.06412793792862,19.097658691408,16.8997433631082,21.3249314630211,0.245717082721488,0.993382352941176,3.39666666666667,6
23,EASY,2,0,90,12,0.8,10,16,15,0.833333333333333,9.36058861595942,20.5620326419615,9.00974527681206,25.9772005671637,0.38228095937347,0.995343137254902,3.3925,6
23,EASY,2,0,90,12,0.8,10,16,20,0.833333333333333,13.9153710388168,31.9327161432368,20.9818638224531,45.40642644254,0.441997063142438,0.996323529411765,3.4,6
23,EASY,2,0,90,12,0.8,10,16,25,0.333333333333333,17.8560019260726,38.3100478096562,20.0659786493342,59.1433811429895,0.513705335291238,0.996078431372549,3.395,6
23,EASY,2,0,90,12,0.8,10,16,30,0,25.8038664122516,56.9467362875233,48.528905393371,74.3607320487996,0.573176700930005,0.996323529411765,3.4,6
24,EASY,2,0,90,15,1,10,16,5,1,7.70184570774602,18.1734703444053,9.51288658238537,18.1808568596641,0.180616740088106,0.994362745098039,3.395,6
24,EASY,2,0,90,15,1,10,16,10,1,7.06412793792862,19.097658691408,16.8997433631082,21.3249314630211,0.184287812041116,0.993382352941176,3.39666666666667,6
24,EASY,2,0,90,15,1,10,16,15,0.833333333333333,9.36058861595942,20.5620326419615,9.00974527681206,25.9772005671637,0.283162016642193,0.995343137254902,3.3925,6
24,EASY,2,0,90,15,1,10,16,20,0.833333333333333,13.9153710388168,31.9327161432368,20.9818638224531,45.40642644254,0.320851688693098,0.996323529411765,3.4,6
24,EASY,2,0,90,15,1,10,16,25,0.333333333333333,17.8560019260726,38.3100478096562,20.0659786493342,59.1433811429895,0.428046989720999,0.996078431372549,3.395,6
24,EASY,2,0,90,15,1,10,16,30,0,25.8038664122516,56.9467362875233,48.528905393371,74.3607320487996,0.503181595692609,0.996323529411765,3.4,6
25,INFEASIBLE,0,1,20,8,0.533333333333333,10,8,5,0,30.7477957432972,73.0926578184774,73.0926578184774,73.0926578184774,0.350709740577582,0.991421568627451,3.4,6
25,INFEASIBLE,0,1,20,8,0.533333333333333,10,8,10,0,37.3287614740941,75.1175384435462,73.0995152877175,75.1175384435462,0.463289280469897,0.991911764705882,3.4,6
25,INFEASIBLE,0,1,20,8,0.533333333333333,10,8,15,0,43.5037399919347,85.3814330294909,85.3814330294909,85.3814330294909,0.524473813020069,0.993382352941177,3.4,6
25,INFEASIBLE,0,1,20,8,0.533333333333333,10,8,20,0,48.5234201033623,90,90,90,0.562652961331375,0.993872549019608,3.4,6
25,INFEASIBLE,0,1,20,8,0.533333333333333,10,8,25,0,52.8393756188632,90,90,90,0.605237395986295,0.992647058823529,3.4,6
25,INFEASIBLE,0,1,20,8,0.533333333333333,10,8,30,0,56.4387620740535,90,90,90,0.631669114047969,0.993137254901961,3.4,6
26,INFEASIBLE,0,1,20,10,0.666666666666667,10,8,5,0,30.7477957432972,73.0926578184774,73.0926578184774,73.0926578184774,0.30714635340186,0.991421568627451,3.4,6
26,INFEASIBLE,0,1,20,10,0.666666666666667,10,8,10,0,37.3287614740941,75.1175384435462,73.0995152877175,75.1175384435462,0.370778267254038,0.991911764705882,3.4,6
26,INFEASIBLE,0,1,20,10,0.666666666666667,10,8,15,0,43.5037399919347,85.3814330294909,85.3814330294909,85.3814330294909,0.451541850220264,0.993382352941177,3.4,6
26,INFEASIBLE,0,1,20,10,0.666666666666667,10,8,20,0,48.5234201033623,90,90,90,0.484336759667156,0.993872549019608,3.4,6
26,INFEASIBLE,0,1,20,10,0.666666666666667,10,8,25,0,52.8393756188632,90,90,90,0.523739598629467,0.992647058823529,3.4,6
26,INFEASIBLE,0,1,20,10,0.666666666666667,10,8,30,0,56.4387620740535,90,90,90,0.574155653450808,0.993137254901961,3.4,6
27,INFEASIBLE,0,1,20,12,0.8,10,8,5,0,30.7477957432972,73.0926578184774,73.0926578184774,73.0926578184774,0.286588350465002,0.991421568627451,3.4,6
27,INFEASIBLE,0,1,20,12,0.8,10,8,10,0,37.3287614740941,75.1175384435462,73.0995152877175,75.1175384435462,0.320362212432697,0.991911764705882,3.4,6
27,INFEASIBLE,0,1,20,12,0.8,10,8,15,0,43.5037399919347,85.3814330294909,85.3814330294909,85.3814330294909,0.388399412628488,0.993382352941177,3.4,6
27,INFEASIBLE,0,1,20,12,0.8,10,8,20,0,48.5234201033623,90,90,90,0.430494371023005,0.993872549019608,3.4,6
27,INFEASIBLE,0,1,20,12,0.8,10,8,25,0,52.8393756188632,90,90,90,0.460107684777288,0.992647058823529,3.4,6
27,INFEASIBLE,0,1,20,12,0.8,10,8,30,0,56.4387620740535,90,90,90,0.496084189916789,0.993137254901961,3.4,6
28,INFEASIBLE,0,1,20,15,1,10,8,5,0,30.7477957432972,73.0926578184774,73.0926578184774,73.0926578184774,0.252080274106706,0.991421568627451,3.4,6
28,INFEASIBLE,0,1,20,15,1,10,8,10,0,37.3287614740941,75.1175384435462,73.0995152877175,75.1175384435462,0.256730298580519,0.991911764705882,3.4,6
28,INFEASIBLE,0,1,20,15,1,10,8,15,0,43.5037399919347,85.3814330294909,85.3814330294909,85.3814330294909,0.358051884483603,0.993382352941177,3.4,6
28,INFEASIBLE,0,1,20,15,1,10,8,20,0,48.5234201033623,90,90,90,0.365638766519824,0.993872549019608,3.4,6
