cell_id,regime_label,regime_code,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,envelope_cmd_deg,envelope_cmd_ratio,reference_cmd_deg,pass_at_reference_cmd,success_at_reference_cmd,rms_err_at_reference_cmd_deg,peak_err_at_reference_cmd_deg,slew_sat_at_reference_cmd
137,INFEASIBLE,0,5,75,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.99093137254902
138,INFEASIBLE,0,5,75,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.99093137254902
139,INFEASIBLE,0,5,75,12,0.8,10,4,0,0,20,0,0,90,90,0.99093137254902
140,INFEASIBLE,0,5,75,15,1,10,4,0,0,20,0,0,90,90,0.99093137254902
141,INFEASIBLE,0,5,90,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.985539215686274
142,INFEASIBLE,0,5,90,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.985539215686274
143,INFEASIBLE,0,5,90,12,0.8,10,4,0,0,20,0,0,90,90,0.985539215686274
144,INFEASIBLE,0,5,90,15,1,10,4,0,0,20,0,0,90,90,0.985539215686274
145,INFEASIBLE,0,6,20,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.993137254901961
146,INFEASIBLE,0,6,20,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.993137254901961
147,INFEASIBLE,0,6,20,12,0.8,10,4,0,0,20,0,0,90,90,0.993137254901961
148,INFEASIBLE,0,6,20,15,1,10,4,0,0,20,0,0,90,90,0.993137254901961
149,INFEASIBLE,0,6,30,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.992892156862745
150,INFEASIBLE,0,6,30,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.992892156862745
151,INFEASIBLE,0,6,30,12,0.8,10,4,0,0,20,0,0,90,90,0.992892156862745
152,INFEASIBLE,0,6,30,15,1,10,4,0,0,20,0,0,90,90,0.992892156862745
153,INFEASIBLE,0,6,45,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.992156862745098
154,INFEASIBLE,0,6,45,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.992156862745098
