rocket_id,regime,theta_ddot,Iyy,motor_scale,max_gimbal_deg,servo_slew_deg_s,latency_steps,A_deg,T_u_s,K_u,probe_rms,probe_slew_sat
R1634,EASY,15.570621071307915,0.0535179136543794,2.8954658438565914,4.580435751317588,175.88728488854736,4,4.531139899362511,0.5,58.99593147945139,2.893316413479642,0.0
R2023,EASY,16.72572447517124,0.0451259769237881,1.098540600864057,10.934919099977982,72.34916291351512,5,5.6440300863222035,2.705,113.07041657742192,3.528706558188309,0.5123333333333334
R0198,EASY,17.801417106810465,0.0492212265078122,1.0306456305603815,13.530622356070284,171.99409651268115,4,3.253828175264849,1.8033333333333335,242.6866548709528,2.1681938222631745,0.13166666666666665
R2120,EASY,18.86803594179601,0.0706587988549872,2.0360131127602883,10.421554554121188,151.99867447338173,2,2.3745180180899705,1.8033333333333335,256.1413976347453,1.5147009469238157,0.18266666666666667
R1711,EASY,20.082505794688693,0.0809685878970739,2.167928591926256,11.937396650173875,190.63497114732,3,1.8947138826186598,2.705,367.6958476508643,1.1882869646676317,0.09533333333333333
R1017,EASY,22.044941854776408,0.0590692707904487,2.2524271556793294,9.201104098698838,80.09841516944894,2,5.996537022217882,2.705,89.54929331279148,3.7562932102603894,0.4793333333333333
R0683,EASY,23.65655220250071,0.0719381841323222,2.932833321219817,9.235143967039567,155.68434082724465,1,2.69446592022691,2.254166666666667,200.0293451234185,1.7665658651763843,0.21866666666666665
R1201,EASY,25.632918376242333,0.0677057879108581,2.7408396860640014,10.07767500409895,148.7575179864589,4,2.9992171143803383,1.8033333333333335,196.09891061644748,1.949855670104398,0.19966666666666666
R0356,EASY,27.658724803239185,0.0201684215175045,2.515019047245762,3.530066736220693,72.12250431911433,1,10.410836532294535,2.705,19.788825847943738,5.480524484973529,0.526
R1087,EASY,29.70733807835752,0.0447396971005739,2.523301763633914,8.383159293667045,122.7708984631394,4,4.929299277196268,1.8033333333333335,99.25337191559746,3.3315084787935065,0.29933333333333334
R0235,EASY,32.10579351895688,0.0146652846633605,2.032516764903461,3.686887626168641,193.6794550910298,3,7.586851492147488,2.705,28.360968384417376,4.780238287224675,0.0
