p_unstable,latency_steps,latency_s,gyro_noise_std,slew_code_units,best_success,best_theta_rms_deg,best_Kp,best_Kd
8,2,0.01,0.005,18,1,1.30981331817627,30,10
8,2,0.01,0.005,24,1,0.96615106289703,30,3
8,2,0.01,0.005,36,1,0.893269835953117,30,3
8,2,0.01,0.01,6,0.75,36389921.0072906,10,1
8,2,0.01,0.01,9,1,2.26382105482984,10,1
8,2,0.01,0.01,12,1,2.05437974145388,10,1
8,2,0.01,0.01,18,1,1.3074849173182,30,10
8,2,0.01,0.01,24,1,0.963220406317753,30,3
8,2,0.01,0.01,36,1,0.889913148477197,30,3
8,2,0.01,0.02,6,0.75,36389920.9779702,10,1
8,2,0.01,0.02,9,1,2.19843987944578,10,1
8,2,0.01,0.02,12,1,1.98681736301047,10,1
8,2,0.01,0.02,18,1,1.30406022454271,30,10
8,2,0.01,0.02,24,1,0.960183567528464,30,3
8,2,0.01,0.02,36,1,0.886365544210491,30,3
8,2,0.01,0.04,6,0.75,36389920.9905993,10,1
8,2,0.01,0.04,9,1,2.20428078180365,10,1
8,2,0.01,0.04,12,1,1.98272103037787,10,1
8,2,0.01,0.04,18,1,1.30238033377765,30,10
8,2,0.01,0.04,24,1,0.967099782554242,30,3
8,2,0.01,0.04,36,1,0.894083034119831,30,3
8,4,0.02,0.005,6,0.75,36389921.0527157,10,1
8,4,0.02,0.005,9,1,2.3086703843178,10,1
8,4,0.02,0.005,12,1,2.09851658295525,10,1
8,4,0.02,0.005,18,1,1.30981331817627,30,10
8,4,0.02,0.005,24,1,0.96615106289703,30,3
8,4,0.02,0.005,36,1,0.893269835953117,30,3
8,4,0.02,0.01,6,0.75,36389921.0072906,10,1
8,4,0.02,0.01,9,1,2.26382105482984,10,1
8,4,0.02,0.01,12,1,2.05437974145388,10,1
8,4,0.02,0.01,18,1,1.3074849173182,30,10
8,4,0.02,0.01,24,1,0.963220406317753,30,3
8,4,0.02,0.01,36,1,0.889913148477197,30,3
8,4,0.02,0.02,6,0.75,36389920.9779702,10,1
8,4,0.02,0.02,9,1,2.19843987944578,10,1
8,4,0.02,0.02,12,1,1.98681736301047,10,1
8,4,0.02,0.02,18,1,1.30406022454271,30,10
8,4,0.02,0.02,24,1,0.960183567528464,30,3
8,4,0.02,0.02,36,1,0.886365544210491,30,3
8,4,0.02,0.04,6,0.75,36389920.9905993,10,1
8,4,0.02,0.04,9,1,2.20428078180365,10,1
8,4,0.02,0.04,12,1,1.98272103037787,10,1
8,4,0.02,0.04,18,1,1.30238033377765,30,10
8,4,0.02,0.04,24,1,0.967099782554242,30,3
8,4,0.02,0.04,36,1,0.894083034119831,30,3
8,8,0.04,0.005,6,0.75,36389921.0527157,10,1
8,8,0.04,0.005,9,1,2.3086703843178,10,1
8,8,0.04,0.005,12,1,2.09851658295525,10,1
8,8,0.04,0.005,18,1,1.30981331817627,30,10
8,8,0.04,0.005,24,1,0.96615106289703,30,3
8,8,0.04,0.005,36,1,0.893269835953117,30,3
8,8,0.04,0.01,6,0.75,36389921.0072906,10,1
8,8,0.04,0.01,9,1,2.26382105482984,10,1
8,8,0.04,0.01,12,1,2.05437974145388,10,1
8,8,0.04,0.01,18,1,1.3074849173182,30,10
8,8,0.04,0.01,24,1,0.963220406317753,30,3
8,8,0.04,0.01,36,1,0.889913148477197,30,3
8,8,0.04,0.02,6,0.75,36389920.9779702,10,1
8,8,0.04,0.02,9,1,2.19843987944578,10,1
8,8,0.04,0.02,12,1,1.98681736301047,10,1
8,8,0.04,0.02,18,1,1.30406022454271,30,10
8,8,0.04,0.02,24,1,0.960183567528464,30,3
8,8,0.04,0.02,36,1,0.886365544210491,30,3
8,8,0.04,0.04,6,0.75,36389920.9905993,10,1
8,8,0.04,0.04,9,1,2.20428078180365,10,1
8,8,0.04,0.04,12,1,1.98272103037787,10,1
8,8,0.04,0.04,18,1,1.30238033377765,30,10
8,8,0.04,0.04,24,1,0.967099782554242,30,3
8,8,0.04,0.04,36,1,0.894083034119831,30,3
10,1,0.005,0.005,6,0,516489449727.19,10,1
10,1,0.005,0.005,9,0,226208454531.431,10,10
10,1,0.005,0.005,12,0.5,2760755939.51443,10,10
10,1,0.005,0.005,18,1,1.62243631338408,30,10
10,1,0.005,0.005,24,1,1.18613895039557,30,3
10,1,0.005,0.005,36,1,1.0172676908891,30,3
10,1,0.005,0.01,6,0,516489449727.19,10,1
10,1,0.005,0.01,9,0,226208454531.425,10,10
10,1,0.005,0.01,12,0.5,2760755939.56057,10,10
10,1,0.005,0.01,18,1,1.60787229128602,30,10
10,1,0.005,0.01,24,1,1.18088030200635,30,3
10,1,0.005,0.01,36,1,1.01406837458906,30,3
10,1,0.005,0.02,6,0,516489449727.19,10,1
10,1,0.005,0.02,9,0,226208454531.42,10,10
10,1,0.005,0.02,12,0.5,2760755939.63472,10,10
10,1,0.005,0.02,18,1,1.59002262868773,30,10
10,1,0.005,0.02,24,1,1.17588866770943,30,3
10,1,0.005,0.02,36,1,1.00991760204289,30,3
10,1,0.005,0.04,6,0,516489449727.19,10,1
10,1,0.005,0.04,9,0,226208454531.524,10,10
10,1,0.005,0.04,12,0.5,11293729983.6566,30,10
10,1,0.005,0.04,18,1,1.58150892677781,30,10
10,1,0.005,0.04,24,1,1.18136198397163,30,3
10,1,0.005,0.04,36,1,1.0192319378366,30,3
10,2,0.01,0.005,6,0,516489449727.19,10,1
10,2,0.01,0.005,9,0,226208454531.431,10,10
10,2,0.01,0.005,12,0.5,2760755939.51443,10,10
10,2,0.01,0.005,18,1,1.62243631338408,30,10
10,2,0.01,0.005,24,1,1.18613895039557,30,3
10,2,0.01,0.005,36,1,1.0172676908891,30,3
10,2,0.01,0.01,6,0,516489449727.19,10,1
10,2,0.01,0.01,9,0,226208454531.425,10,10
10,2,0.01,0.01,12,0.5,2760755939.56057,10,10
10,2,0.01,0.01,18,1,1.60787229128602,30,10
10,2,0.01,0.01,24,1,1.18088030200635,30,3
10,2,0.01,0.01,36,1,1.01406837458906,30,3
10,2,0.01,0.02,6,0,516489449727.19,10,1
10,2,0.01,0.02,9,0,226208454531.42,10,10
10,2,0.01,0.02,12,0.5,2760755939.63472,10,10
10,2,0.01,0.02,18,1,1.59002262868773,30,10
10,2,0.01,0.02,24,1,1.17588866770943,30,3
10,2,0.01,0.02,36,1,1.00991760204289,30,3
10,2,0.01,0.04,6,0,516489449727.19,10,1
10,2,0.01,0.04,9,0,226208454531.524,10,10
10,2,0.01,0.04,12,0.5,11293729983.6566,30,10
10,2,0.01,0.04,18,1,1.58150892677781,30,10
10,2,0.01,0.04,24,1,1.18136198397163,30,3
10,2,0.01,0.04,36,1,1.0192319378366,30,3
10,4,0.02,0.005,6,0,516489449727.19,10,1
10,4,0.02,0.005,9,0,226208454531.431,10,10
10,4,0.02,0.005,12,0.5,2760755939.51443,10,10
10,4,0.02,0.005,18,1,1.62243631338408,30,10
10,4,0.02,0.005,24,1,1.18613895039557,30,3
10,4,0.02,0.005,36,1,1.0172676908891,30,3
10,4,0.02,0.01,6,0,516489449727.19,10,1
10,4,0.02,0.01,9,0,226208454531.425,10,10
10,4,0.02,0.01,12,0.5,2760755939.56057,10,10
10,4,0.02,0.01,18,1,1.60787229128602,30,10
10,4,0.02,0.01,24,1,1.18088030200635,30,3
10,4,0.02,0.01,36,1,1.01406837458906,30,3
10,4,0.02,0.02,6,0,516489449727.19,10,1
10,4,0.02,0.02,9,0,226208454531.42,10,10
10,4,0.02,0.02,12,0.5,2760755939.63472,10,10
10,4,0.02,0.02,18,1,1.59002262868773,30,10
10,4,0.02,0.02,24,1,1.17588866770943,30,3
10,4,0.02,0.02,36,1,1.00991760204289,30,3
10,4,0.02,0.04,6,0,516489449727.19,10,1
10,4,0.02,0.04,9,0,226208454531.524,10,10
10,4,0.02,0.04,12,0.5,11293729983.6566,30,10
10,4,0.02,0.04,18,1,1.58150892677781,30,10
10,4,0.02,0.04,24,1,1.18136198397163,30,3
10,4,0.02,0.04,36,1,1.0192319378366,30,3
10,8,0.04,0.005,6,0,516489449727.19,10,1
10,8,0.04,0.005,9,0,226208454531.431,10,10
10,8,0.04,0.005,12,0.5,2760755939.51443,10,10
10,8,0.04,0.005,18,1,1.62243631338408,30,10
10,8,0.04,0.005,24,1,1.18613895039557,30,3
10,8,0.04,0.005,36,1,1.0172676908891,30,3
10,8,0.04,0.01,6,0,516489449727.19,10,1
10,8,0.04,0.01,9,0,226208454531.425,10,10
10,8,0.04,0.01,12,0.5,2760755939.56057,10,10
10,8,0.04,0.01,18,1,1.60787229128602,30,10
10,8,0.04,0.01,24,1,1.18088030200635,30,3
10,8,0.04,0.01,36,1,1.01406837458906,30,3
10,8,0.04,0.02,6,0,516489449727.19,10,1
10,8,0.04,0.02,9,0,226208454531.42,10,10
10,8,0.04,0.02,12,0.5,2760755939.63472,10,10
10,8,0.04,0.02,18,1,1.59002262868773,30,10
10,8,0.04,0.02,24,1,1.17588866770943,30,3
10,8,0.04,0.02,36,1,1.00991760204289,30,3
10,8,0.04,0.04,6,0,516489449727.19,10,1
10,8,0.04,0.04,9,0,226208454531.524,10,10
10,8,0.04,0.04,12,0.5,11293729983.6566,30,10
10,8,0.04,0.04,18,1,1.58150892677781,30,10
10,8,0.04,0.04,24,1,1.18136198397163,30,3
10,8,0.04,0.04,36,1,1.0192319378366,30,3
