rocket_id,design_id,regime_label,best_Kp,best_Kd,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,baseline_success_rate,baseline_rms,baseline_peak,baseline_max_theta,baseline_u_sat,baseline_slew_sat,baseline_go,abl_success_wind,delta_success_wind,delta_rms_wind,delta_peak_wind,delta_theta_wind,decision_flip_wind,flip_dir_wind,abl_success_backlash,delta_success_backlash,delta_rms_backlash,delta_peak_backlash,delta_theta_backlash,decision_flip_backlash,flip_dir_backlash,abl_success_slew,delta_success_slew,delta_rms_slew,delta_peak_slew,delta_theta_slew,decision_flip_slew,flip_dir_slew,abl_success_latency,delta_success_latency,delta_rms_latency,delta_peak_latency,delta_theta_latency,decision_flip_latency,flip_dir_latency,abl_success_sensor_noise,delta_success_sensor_noise,delta_rms_sensor_noise,delta_peak_sensor_noise,delta_theta_sensor_noise,decision_flip_sensor_noise,flip_dir_sensor_noise,abl_success_deadband,delta_success_deadband,delta_rms_deadband,delta_peak_deadband,delta_theta_deadband,decision_flip_deadband,flip_dir_deadband,abl_success_nonlinear_aero,delta_success_nonlinear_aero,delta_rms_nonlinear_aero,delta_peak_nonlinear_aero,delta_theta_nonlinear_aero,decision_flip_nonlinear_aero,flip_dir_nonlinear_aero,abl_success_dyn_aero,delta_success_dyn_aero,delta_rms_dyn_aero,delta_peak_dyn_aero,delta_theta_dyn_aero,decision_flip_dyn_aero,flip_dir_dyn_aero,abl_success_thrust_curve,delta_success_thrust_curve,delta_rms_thrust_curve,delta_peak_thrust_curve,delta_theta_thrust_curve,decision_flip_thrust_curve,flip_dir_thrust_curve,abl_success_cg_shift,delta_success_cg_shift,delta_rms_cg_shift,delta_peak_cg_shift,delta_theta_cg_shift,decision_flip_cg_shift,flip_dir_cg_shift,dominant_module,dominant_delta_rms,n_decision_flips,decision_flip_modules,fidelity_complexity
R0683,683,MARGINAL,20.0,4.0,1.529202995770801,0.908600905500228,0.0383267849090444,0.1604376842397432,-59.18044110026418,13.417820291577089,49.89996510825384,106.3609615735246,14.248374680735116,2,0.0192594259308351,0.2252283495974143,0.4058269504711382,1.0,8.112650441464062,22.79437334201904,22.79437334201904,0.0,0.064,1,1.0,0.0,-7.541023264046391,-18.2784624675071,-18.2784624675071,0,,0.8,-0.19999999999999996,-2.1115043215370886,-7.667177724979522,-7.667177724979522,0,,1.0,0.0,-5.134577760133201,-12.290369961719618,-12.290369961719618,0,,1.0,0.0,-0.2507969291936849,-1.6352908365580596,-1.6352908365580596,0,,1.0,0.0,-7.348894095933125,-19.883531386919156,-19.883531386919156,0,,1.0,0.0,0.0008402743774293953,0.32518936638614093,0.32518936638614093,0,,1.0,0.0,-0.030704637708181437,-0.13268540389227113,-0.13268540389227113,0,,1.0,0.0,-1.1698503840542953,-3.9101799564953055,-3.9101799564953055,0,,0.6,-0.4,1.2014410115193481,18.5179853036641,18.5179853036641,0,,1.0,0.0,-0.28193897290797043,-2.109250956616826,-2.109250956616826,0,,wind,7.541023264046391,0,none,0
R0684,684,INFEASIBLE,10.0,4.0,1.1126376275831538,1.4463752577622129,0.0210196796737449,0.1359253420936697,-39.64009011203066,5.472335174907943,30.35456451941402,56.06173779035748,11.339040201531429,4,0.0515786722974736,0.120750466341962,0.3955549844228918,0.8,9.06544629664634,25.224831187400106,25.224831187400106,0.0,0.038,1,1.0,0.19999999999999996,-8.331502440950253,-18.573184964933947,-18.573184964933947,0,,1.0,0.19999999999999996,-2.993947580612259,-10.736375978565865,-10.736375978565865,0,,1.0,0.19999999999999996,-2.0778102978114594,-1.5943274583116853,-1.5943274583116853,0,,0.8,0.0,-0.185004020198555,-0.1743252461118665,-0.1743252461118665,0,,1.0,0.19999999999999996,-8.135381417839987,-21.81015014420303,-21.81015014420303,0,,0.8,0.0,-0.1542631794185354,-0.7926929306973705,-0.7926929306973705,0,,0.8,0.0,2.3426593998010503e-11,1.2661871551244985e-10,1.2661871551244985e-10,0,,1.0,0.19999999999999996,-2.2886071777089345,-6.156972414721004,-6.156972414721004,0,,0.6,-0.20000000000000007,-1.679700527045183,-5.415300688545965,-5.415300688545965,0,,0.8,0.0,-0.04927132979756976,-0.4139272831303451,-0.4139272831303451,0,,wind,8.331502440950253,0,none,0
R0685,685,EASY,10.0,4.0,1.1224418383227708,1.71536260024066,0.0340009765932377,0.0840952275583322,-67.6991108908018,10.477491520719914,33.2998513292704,28.39690801235009,11.178799629215586,4,0.0490532523670069,0.0290803304453281,0.2170626775593038,1.0,3.618991617678419,14.881834829366527,14.881834829366527,0.0,0.04066666666666666,1,1.0,0.0,-2.420909390102111,-10.332907110979827,-10.332907110979827,0,,1.0,0.0,0.3446683499032339,-2.262502482308694,-2.262502482308694,0,,1.0,0.0,0.986738018550219,0.448454028922912,0.448454028922912,0,,1.0,0.0,-0.23602587325717828,-2.400455265674381,-2.400455265674381,0,,1.0,0.0,-3.369862938643762,-14.001015391159893,-14.001015391159893,0,,1.0,0.0,-0.06598472275738088,-2.9821789270893753,-2.9821789270893753,0,,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,-0.8383911128215034,-4.152401420927649,-4.152401420927649,0,,0.8,-0.19999999999999996,0.6158267247983504,0.23294643977759932,0.23294643977759932,0,,1.0,0.0,0.07380686261883085,-2.8537638556188316,-2.8537638556188316,0,,sensor_noise,3.369862938643762,0,none,0
R0686,686,FRAGILE,10.0,4.0,2.322740274602032,1.4836894196174226,0.0230554095686008,0.2169453393607656,-54.36402937288014,7.772990248441573,33.3721342892172,114.77515860763756,8.903216724357122,4,0.0961680556109513,0.2066185706955657,0.3989303936885716,0.6,6.70646741814758,18.534872222238455,18.534872222238455,0.0,0.036000000000000004,1,1.0,0.4,-3.3991422067186585,-4.6827106820054105,-4.6827106820054105,0,,1.0,0.4,-2.4245309018851193,-7.725482639219299,-7.725482639219299,0,,1.0,0.4,0.2524437046733903,4.258867903096622,4.258867903096622,0,,0.6,0.0,0.8605664567610232,8.898910394582202,8.898910394582202,0,,1.0,0.4,-6.124251659159528,-16.8038329264925,-16.8038329264925,0,,0.4,-0.19999999999999996,0.6092676602910538,0.7704918218050629,0.7704918218050629,0,,0.6,0.0,-8.553158181712206e-13,-3.8546943414985435e-12,-3.8546943414985435e-12,0,,0.8,0.20000000000000007,-0.8783476342538119,1.8496012787766816,1.8496012787766816,0,,0.6,0.0,1.734836446760304,2.4648476513786903,2.4648476513786903,0,,0.6,0.0,0.9239616045659913,11.651937987439705,11.651937987439705,0,,sensor_noise,6.124251659159528,0,none,0
R0687,687,INFEASIBLE,10.0,4.0,0.6316107738644191,1.1340761249608795,0.0142848035521787,0.0715177106655546,-51.70367417349486,12.965559558533156,44.36416563933346,64.52763150697238,12.226991559749342,1,0.0988802534448322,0.1427094586814357,0.3755451510504132,0.8,12.758111677467046,33.67269950264739,33.67269950264739,0.0,0.042333333333333334,1,1.0,0.19999999999999996,-11.934370823180517,-23.803429945485924,-23.803429945485924,0,,0.8,0.0,-3.8737641826182845,-9.468104124020279,-9.468104124020279,0,,1.0,0.19999999999999996,-6.92206664053876,-14.065146018809578,-14.065146018809578,0,,0.8,0.0,0.0,0.0,0.0,0,,1.0,0.19999999999999996,-11.423035468470461,-28.404427332973984,-28.404427332973984,0,,0.4,-0.4,0.557699104631979,-0.004526308563882253,-0.004526308563882253,0,,0.8,0.0,-0.05331620426511563,0.00505784724874303,0.00505784724874303,0,,0.8,0.0,-3.803233207312033,-7.574777388918434,-7.574777388918434,0,,0.4,-0.4,2.1967173954834536,15.350387251412009,15.350387251412009,0,,0.6,-0.20000000000000007,-0.12044878516976709,-0.5905811081950816,-0.5905811081950816,0,,wind,11.934370823180517,0,none,0
R0688,688,MARGINAL,10.0,4.0,0.78738914543779,1.430056132070248,0.0333458068427259,0.0708075525917235,-66.33577039466697,7.157065479443119,46.06141036978788,47.63377856753226,13.838359389166213,1,0.1047708296688329,0.0594400384525424,0.4435998352825213,0.8,8.59030066021684,27.975971501697305,27.975971501697305,0.0,0.046,1,1.0,0.19999999999999996,-7.79977478381593,-22.306105907318305,-22.306105907318305,0,,0.8,0.0,-2.0035508068860635,-5.135728733354249,-5.135728733354249,0,,1.0,0.19999999999999996,-4.358027518661314,-12.989628667776708,-12.989628667776708,0,,0.8,0.0,0.0,0.0,0.0,0,,1.0,0.19999999999999996,-7.849983342103755,-25.063085862611395,-25.063085862611395,0,,0.8,0.0,-0.4316460327362073,-1.5094620644326753,-1.5094620644326753,0,,0.8,0.0,2.5725199748194427e-11,1.5237233697007468e-10,1.5237233697007468e-10,0,,0.8,0.0,-2.3939586387072245,-7.706301485489451,-7.706301485489451,0,,0.8,0.0,-2.529311748748168,-10.013661175354656,-10.013661175354656,0,,0.8,0.0,-0.1593141852440354,0.017285701804929943,0.017285701804929943,0,,sensor_noise,7.849983342103755,0,none,0
R0689,689,FRAGILE,10.0,4.0,1.4307535634608606,1.5342331518070922,0.0316187624950741,0.1347067519005052,-57.75224658582988,8.522249656127816,38.26909390879133,102.26437420751608,13.285352024628676,3,0.0228794323041633,0.166680393454366,0.0839351305330654,1.0,1.994179423075052,10.970528443552766,10.970528443552766,0.0,0.014666666666666666,1,1.0,0.0,-1.0224767866793643,-2.8092227436642236,-2.8092227436642236,0,,1.0,0.0,0.5903088480234475,-1.571040802627163,-1.571040802627163,0,,1.0,0.0,2.1987181775881224,6.111404978659252,6.111404978659252,0,,1.0,0.0,-0.036350190133089155,-0.8848764304162788,-0.8848764304162788,0,,1.0,0.0,-1.8710879702899412,-10.672264731450774,-10.672264731450774,0,,1.0,0.0,0.07678456974726289,1.2532521564280472,1.2532521564280472,0,,1.0,0.0,6.661338147750939e-16,0.0,0.0,0,,1.0,0.0,0.190677985868984,-1.0807029964808983,-1.0807029964808983,0,,1.0,0.0,0.7804634287832342,3.495869999456904,3.495869999456904,0,,1.0,0.0,-0.03784680199264612,-0.9530908669426381,-0.9530908669426381,0,,slew,2.1987181775881224,0,none,0
R0690,690,EASY,10.0,4.0,1.8641528793176163,1.189268787651402,0.030116267379514,0.151085413773239,-68.03856551437163,7.895189154289568,39.35987213785258,53.89442430753075,8.948666415140686,4,0.011406558284482,0.0298071464027563,0.0592261866223384,1.0,2.7295987413836835,8.542468696383255,8.542468696383255,0.0,0.06666666666666668,1,1.0,0.0,-0.6275241581752415,-1.3102368205550299,-1.3102368205550299,0,,1.0,0.0,-0.7947099121373578,-2.381006827689795,-2.381006827689795,0,,1.0,0.0,1.6692216569106941,4.726235200066531,4.726235200066531,0,,1.0,0.0,0.3523293451324161,1.290918999535176,1.290918999535176,0,,1.0,0.0,-2.6588679189146216,-8.30363572198516,-8.30363572198516,0,,1.0,0.0,-0.05966243940974181,0.0,0.0,0,,1.0,0.0,3.286075833308644e-05,0.0002292195641544481,0.0002292195641544481,0,,1.0,0.0,-0.4679459135198658,0.3041559752374976,0.3041559752374976,0,,1.0,0.0,2.1117404027322975,8.697297027134434,8.697297027134434,0,,1.0,0.0,-0.45112710275818557,0.7462688178164019,0.7462688178164019,0,,sensor_noise,2.6588679189146216,0,none,0
R0691,691,INFEASIBLE,80.0,8.0,1.015185142138797,1.0505274999117196,0.0156351698106791,0.1814344426679332,-33.15013937744552,10.83420719278235,45.43400678358917,23.63324156189832,8.362162855764671,4,0.1222187758989243,0.1858869037039897,0.3150169566113078,0.4,12.8761466084914,77.38343013863434,77.38343013863434,0.0,0.17666666666666667,1,1.0,0.6,-12.8761466084914,-77.38343013863434,-77.38343013863434,0,,0.0,-0.4,-0.22541546727343764,-5.673884826816774,-5.673884826816774,1,hurts,1.0,0.6,-8.990189823541831,-67.53338480697015,-67.53338480697015,0,,0.4,0.0,0.07498218333961937,1.635766976062854,1.635766976062854,0,,0.2,-0.2,1.8637575035840648,3.4197905043881747,3.4197905043881747,1,hurts,0.4,0.0,0.02122369000403701,-0.2592988952334281,-0.2592988952334281,0,,0.4,0.0,-0.021490405798999745,-0.9939364171417964,-0.9939364171417964,0,,0.8,0.4,-3.5351096828349835,-41.47892699407546,-41.47892699407546,0,,0.0,-0.4,16.195091163434995,108.94109765895172,108.94109765895172,1,hurts,0.4,0.0,0.28767985286732056,5.171422771157481,5.171422771157481,0,,thrust_curve,16.195091163434995,3,backlash sensor_noise thrust_curve,3
R0692,692,MARGINAL,10.0,4.0,2.592541374624941,1.9775408763829367,0.0142247848761108,0.2087186417780873,-56.68050202672054,8.75244765847538,26.95254757258689,66.16646598801526,11.602990438723984,4,0.0403258608396238,0.1389126720542389,0.2075119977119553,0.8,5.4780207344215865,19.649319991007154,19.649319991007154,0.0,0.02266666666666667,1,1.0,0.19999999999999996,-4.300739920733729,-11.545980719825408,-11.545980719825408,0,,1.0,0.19999999999999996,-1.354311250564292,-8.042196563114036,-8.042196563114036,0,,0.8,0.0,1.2664911296470214,4.518909275760137,4.518909275760137,0,,0.8,0.0,0.6223301786473909,3.526469463458998,3.526469463458998,0,,1.0,0.19999999999999996,-4.953471731059212,-17.937801156460218,-17.937801156460218,0,,0.8,0.0,0.21775517070230777,2.4780222962462055,2.4780222962462055,0,,0.8,0.0,0.0,0.0,0.0,0,,0.8,0.0,-0.7293010177439232,-3.9121085164184635,-3.9121085164184635,0,,0.8,0.0,0.3852639041222714,3.9573662439357165,3.9573662439357165,0,,0.8,0.0,0.5237652325867161,2.483267857009391,2.483267857009391,0,,sensor_noise,4.953471731059212,0,none,0
