rocket_id,Kp,opt_Kd,sr,rms
R0624,35.230779367293174,1.0,1.0,1.79451022538866
R0624,48.143651237104336,1.0,1.0,1.5858932823746565
R0624,65.78938065138858,1.0,1.0,1.429942293317503
R0624,89.90266619324312,1.0,1.0,1.0550164907036128
R0624,122.85401243525928,1.0,1.0,1.0333095292236123
R0624,167.8827671139434,1.0,1.0,0.9523086520147224
R0624,229.41557166223677,1.0,1.0,0.8096666962741731
R0624,313.5015310141363,1.0,1.0,0.6934783199601419
R0624,428.4068829159843,1.0,1.0,0.7292541331039175
R0624,585.4276268957477,1.0,1.0,0.7006880290279793
R0624,800.0,1.0,0.95,1.150319632835899
R0787,0.05,1.0,0.45,13.239886357124982
R0787,0.06832612292675956,1.0,0.2,14.964128423090107
R0787,0.09336918148405317,1.0,0.3,13.923539644134376
R0787,0.1275910834330068,1.0,0.3,13.753933966430068
R0787,0.17435608102004116,1.0,0.15,13.670696683356912
R0787,0.23826150049606765,1.0,0.45,10.968957465722198
R0787,0.32558969143217004,1.0,0.55,10.898842164610073
R0787,0.4449256256096033,1.0,0.45,10.102631096045288
R0787,0.6080008597733432,1.0,0.35,10.538456463079026
R0787,0.830846829688979,1.0,0.45,9.94024654876846
R0787,1.135370852372753,1.0,0.4,8.632606426473837
R0787,1.5515097685336101,1.0,0.75,6.868348361802617
R0787,2.1201729433379146,1.0,0.85,6.446470909415007
R0787,2.8972639430499196,1.0,0.9,5.554503057891434
R0787,3.9591762464819387,1.0,0.95,4.561548648757666
R0787,5.410303258116627,1.0,0.95,4.538350838591151
R0787,7.393300909702492,1.0,1.0,3.7698511961545043
R0787,10.103111735817121,1.0,1.0,3.55600373772373
R0787,13.806129088084548,1.0,1.0,2.907854965994784
R0787,18.866385464303505,1.0,1.0,2.602721063382724
R0787,25.781339448352636,1.0,1.0,2.0978547854440883
R0787,35.230779367293174,1.0,1.0,1.6862089955590762
R0787,48.143651237104336,1.0,1.0,1.53178610272953
R0787,65.78938065138858,1.0,1.0,1.508739765856628
R0787,89.90266619324312,1.0,1.0,1.1641263537073354
R0787,122.85401243525928,1.0,1.0,1.222548107764288
R0787,167.8827671139434,1.0,1.0,0.994425203044538
R0787,229.41557166223677,1.0,1.0,1.0018766799945085
R0787,313.5015310141363,1.0,1.0,0.8494296852580454
R0787,428.4068829159843,1.0,1.0,0.8686105102387195
R0787,585.4276268957477,1.0,1.0,1.025321918808586
R0787,800.0,1.0,0.85,1.5042391684102645
R0890,0.05,1.0,0.3,20.37910700391779
R0890,0.06832612292675956,1.0,0.3,20.854073768702378
R0890,0.09336918148405317,1.0,0.25,22.174833498565814
R0890,0.1275910834330068,1.0,0.1,22.47978489297858
R0890,0.17435608102004116,1.0,0.15,23.702186103270442
R0890,0.23826150049606765,1.0,0.3,21.29068072431309
R0890,0.32558969143217004,1.0,0.25,20.44869252745068
R0890,0.4449256256096033,1.0,0.3,17.929451014262487
R0890,0.6080008597733432,1.0,0.45,14.971436441173632
R0890,0.830846829688979,1.0,0.35,16.168759727757752
R0890,1.135370852372753,1.0,0.5,13.889355811450912
R0890,1.5515097685336101,1.0,0.5,11.75100226413188
R0890,2.1201729433379146,1.0,0.45,12.100334060192257
R0890,2.8972639430499196,1.0,0.65,8.833198589096387
R0890,3.9591762464819387,1.0,0.85,7.375242693579894
R0890,5.410303258116627,1.0,0.75,7.431921150031171
R0890,7.393300909702492,1.0,0.8,6.765876163201861
R0890,10.103111735817121,1.0,0.95,4.817279741796272
R0890,13.806129088084548,1.0,0.85,5.299382682187905
R0890,18.866385464303505,1.0,1.0,3.6235230643665317
R0890,25.781339448352636,1.0,1.0,3.8476696415993645
R0890,35.230779367293174,1.0,0.95,3.3409203913507133
R0890,48.143651237104336,1.0,1.0,2.867568786192573
R0890,65.78938065138858,1.0,1.0,2.8725404053946573
R0890,89.90266619324312,1.0,0.95,3.1584032212431703
R0890,122.85401243525928,1.0,0.95,3.421916397955304
R0890,167.8827671139434,1.0,0.65,5.292980305472451
R0890,229.41557166223677,1.0,0.2,9.24354315390519
R0890,313.5015310141363,1.0,0.05,70.6620854910028
R0890,428.4068829159843,1.0,0.0,246.2751644982965
R0890,585.4276268957477,1.0,0.0,423.10755300514546
R0890,800.0,1.0,0.0,558.7094415840731
R1143,0.05,1.0,0.4,14.978494361195477
R1143,0.06832612292675956,1.0,0.35,15.880583881251932
R1143,0.09336918148405317,1.0,0.3,15.508076575668104
R1143,0.1275910834330068,1.0,0.25,14.971305055760755
R1143,0.17435608102004116,1.0,0.45,11.940227016627558
R1143,0.23826150049606765,1.0,0.55,11.118937003747709
R1143,0.32558969143217004,1.0,0.5,13.180431323935005
R1143,0.4449256256096033,1.0,0.45,13.291432468249033
R1143,0.6080008597733432,1.0,0.45,12.838009847114478
R1143,0.830846829688979,1.0,0.65,9.785921039581421
R1143,1.135370852372753,1.0,0.65,9.74297659690826
R1143,1.5515097685336101,1.0,0.8,7.424271366458015
R1143,2.1201729433379146,1.0,0.85,7.352577903077244
R1143,2.8972639430499196,1.0,1.0,6.888973044242691
R1143,3.9591762464819387,1.0,0.95,5.992453850409175
R1143,5.410303258116627,1.0,1.0,4.938139126388281
R1143,7.393300909702492,1.0,1.0,4.296004801027563
R1143,10.103111735817121,1.0,0.95,3.998424755899613
