rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code,is_stable
R0967,967,0.3766492014746435,1.9951926666494963,0.0119223393943535,0.125939446778166,-16.671085944294944,6.851608171133598,2.7930332523578274,78.6331317629544,11.40792712083271,1,0.0463670482638305,0.1468291927001076,0.448666159993942,80.0,32.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,10.898814459999436,25.926220816976286,20.329197663780644,25.926220816976286,0.0,0.0411111111111111,3.0,2.333333333333333,0.0,0.0,INFEASIBLE,0,False
R0195,195,0.8288987420123631,1.206842922555961,0.0154107338841614,0.1021832665877655,-45.46436500941381,5.2152409363919245,2.8235645951320865,19.4329836717085,3.727567522240869,2,0.1119231185528714,0.2034390245247741,0.2570489835696012,15.0,8.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,9.20037426595087,22.98210810646582,16.535078988133808,22.98210810646582,0.0,0.0244444444444444,3.0,1.0,0.0,0.0,INFEASIBLE,0,False
R1079,1079,2.1742508922106114,1.296864403532098,0.011742376342168,0.1954110245612963,-63.01945023624758,7.90846368471858,2.883546073812889,9.458439265859166,4.582285825281113,2,0.1139547229727935,0.0499834875942492,0.2725340156419871,2.0,1.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,9.626186798383232,20.81993715603468,15.29780628220099,20.81993715603468,0.0,0.0455555555555555,3.0,1.0,0.0,0.0,INFEASIBLE,0,False
R0783,783,0.0,1.2455531648093892,0.0104617446583038,-0.1520977826739836,-24.970437652449263,7.265003866280908,1.699047510934895,89.68864505006111,8.46632000855751,3,0.1082844035396214,0.167674710397657,0.3899964476824275,5.0,1.0,1.0,0.0,0.0,0.3333333333333333,1,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,11.00290602092622,27.092670448058023,14.5328170349498,27.092670448058023,0.0,0.0577777777777777,3.0,2.6666666666666665,0.0,0.0,FRAGILE,1,True
R0284,284,0.0,1.1766348931324275,0.0243631295576477,-0.07569150835165,-55.55866173019934,6.396801552284106,2.5616330007247736,31.920402555767307,2.557546448927024,5,0.0484342529685151,0.1975111998521729,0.3455514076421487,80.0,16.0,0.6666666666666666,0.0,1.0,0.6666666666666666,2,0.0,1.0,1.0,0.0,0.0,0.0,7.050597271315302,16.632424113363413,9.22716965888053,16.632424113363413,0.0,0.0405555555555555,3.0,2.6666666666666665,0.0,0.0,FRAGILE,1,True
R0886,886,0.0,2.0133023044969978,0.0283837649558944,-0.1572299935999843,-81.60895850444084,10.80269628030693,2.429483488803503,117.80199487647886,6.256797230888491,5,0.035000393075979,0.1930199079373306,0.4120486342077308,5.0,2.0,1.0,1.0,0.0,0.6666666666666666,2,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,5.437544418601857,13.84203167932788,6.426201487419285,13.84203167932788,0.0,0.0244444444444444,3.0,2.0,0.0,0.0,FRAGILE,1,True
R0696,696,0.0,1.009910088572172,0.0137737175803467,-0.249048983138392,-57.61861263817028,7.128901879497386,2.3367114167177654,65.47328366924712,7.218556020626716,2,0.0912656170515256,0.1478023864437611,0.0752619646520858,5.0,1.0,1.0,0.0,1.0,0.6666666666666666,2,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,4.391860140055557,13.363762793910237,9.376057861051576,13.363762793910237,0.0,0.015,3.0,1.3333333333333333,0.0,0.0,FRAGILE,1,True
R0061,61,0.0,1.2754173443383163,0.03290933430657,-0.1047900780062455,-76.3703729111811,7.427809145524771,2.2731925735130005,52.61498175865223,2.3338223815491053,3,0.1443274990642659,0.1039820465637839,0.1714655310787476,40.0,2.0,0.6666666666666666,0.0,1.0,0.6666666666666666,2,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,8.487346896709704,38.956416085611394,16.626687440043327,38.956416085611394,0.0,0.1744444444444444,3.0,2.6666666666666665,0.0,0.0,FRAGILE,1,True
R0777,777,0.0,1.3622041805727103,0.0203021113747125,-0.1316480667222893,-18.12341783839348,11.64757105759162,1.6808354985349951,51.14481975556341,5.449834243681736,3,0.0387492769553337,0.1330743215365205,0.3811410996104385,2.0,1.0,1.0,1.0,0.0,0.6666666666666666,2,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,5.52276549798779,14.236305297397545,11.44745937388903,14.236305297397545,0.0,0.0311111111111111,3.0,1.6666666666666667,0.0,0.0,FRAGILE,1,True
R1082,1082,0.0,1.746234877910946,0.0122465570619681,-0.1011572579221778,-62.44914848070873,11.730422244696252,2.1066079220954923,87.9248752574963,8.74289626578474,6,0.1337855150805037,0.1680296801729455,0.3988010998452474,2.0,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1,0.0,1.0,1.0,0.0,0.0,0.0,7.112528678752642,15.757632208881516,13.405179697682833,15.757632208881516,0.0,0.0255555555555555,3.0,2.333333333333333,0.0,0.0,FRAGILE,1,True
